trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,1.556335756,2.7801224,None,399.3897514,None,402.15598913999946,402.15598913999946,402.17248103999935,None,[],['b'],[0.2964616000008391],404.15092959999856,None,b,2.296461600000839,0,0,0.6388888888888888,None,405.71276129999933,None,405.71276129999933,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
36,0,36,0,,,,,,,,,,1,1.0,2.0,b,9.0,1.0,3.278108735,3.274187802,None,407.72254639999846,None,410.9726589399999,410.9726589399999,410.98924473999995,None,[],['z'],[0.2323169000010239],412.9716043999997,None,z,2.232316900001024,0,0,0.6216216216216216,None,416.2644292999994,None,416.2644292999994,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
37,0,37,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,1.109698721,1.08099246,None,418.2724827000002,None,419.33914123999983,419.33914123999983,419.354709039999,z,['z'],None,,421.34849829999985,None,z,1.341000400001576,1,1,0.631578947368421,None,422.46547479999936,None,422.46547479999936,None,1.341000400001576,[1.341000400001576],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
38,0,38,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.917714675,3.388090306,None,424.4718309,None,427.83934053999855,427.83934053999855,427.85600623999943,z,['z'],None,,429.85654559999966,None,z,1.8647794999997132,0,0,0.6153846153846154,None,432.7654745,None,432.7654745,None,1.8647794999997132,[1.8647794999997132],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
39,0,39,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,1.3262934849999999,1.53162701,None,434.7717479999992,None,436.2726681400001,436.2726681400001,436.2892267399986,None,[],['z'],[0.35802960000182793],438.27482059999966,None,z,2.358029600001828,1,1,0.625,None,439.6058567,None,439.6058567,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
40,0,40,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.742099981,1.24796184,None,441.61557339999854,None,442.8386492399988,442.8386492399988,442.8555185399984,b,['b'],None,,444.87253210000017,None,b,1.1564917000014248,1,1,0.6341463414634146,None,447.6224594999985,None,447.6224594999985,None,1.1564917000014248,[1.1564917000014248],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
41,0,41,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,2.208904638,3.264468617,None,449.6227952999998,None,452.8725579399999,452.8725579399999,452.88909083999914,z,['z'],None,,454.90703629999916,None,z,1.5142444000011892,1,1,0.6428571428571429,None,457.1341595999984,None,457.1341595999984,None,1.5142444000011892,[1.5142444000011892],,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
42,0,42,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,1.899747326,0.977134615,None,459.1395358999998,None,460.0896275399993,460.0896275399993,460.1061544400001,None,[],['z'],[0.12938000000031025],462.091480699999,None,z,2.1293800000003102,0,0,0.627906976744186,None,464.00378049999927,None,464.00378049999927,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
43,0,43,0,,,,,,,,,,1,1.0,0.0,b,63.0,1.0,3.478547126,2.128027194,None,466.0063903999999,None,468.1223510399997,468.1223510399997,468.13862073999934,None,[],['b'],[0.5900610999997298],470.1155641999994,None,b,2.5900610999997298,1,1,0.6363636363636364,None,473.59017289999974,None,473.59017289999974,None,,,,,,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,475.58946429999924,None,,,,,,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.57299129999956,None,None,480.57299129999956,485.5570728999992,,,,,,,,,,CBC_1002,3,6,1,3,1,0.95,2023-05-31_17h12.40.954,MSI_TV_v3,2022.1.1,59.96638284547856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 1, 3, 2]",0.7272727272727273,0.7272727272727273,0.45454545454545453,0.6363636363636364,,,,,,,,,,,,
