trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
33,0,33,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.792365600763554,1.34668860557497,None,496.0414928,None,497.3748183699997,497.3748183699997,497.39224596999946,None,[],,,['z'],499.38087429999996,None,z,3.258505700000569,1,1,0.5588235294117647,None,502.18109559999994,None,502.18109559999994,None,[1.258505700000569],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
34,0,34,0,,,,,,,,,,2,0.0,1.0,b,63.0,0.0,4.77723667052879,2.78346932462847,None,503.9918351999995,None,506.75846667000013,506.75846667000013,506.77529376999945,None,[],,,['b'],508.7662273999995,None,b,2.735536000001048,1,0,0.5714285714285714,None,513.5456141999994,None,513.5456141999994,None,[0.7355360000010478],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
35,0,35,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.190022164497369,1.60731937853708,None,515.3583485999998,None,516.9420727699996,516.9420727699996,516.9586486699998,None,[],,,['z'],518.9466281999994,None,z,2.5589452000003803,1,1,0.5833333333333334,None,523.1396899000001,None,523.1396899000001,None,[0.5589452000003803],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
36,0,36,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,4.77034425507967,1.1243895841892,None,524.9419849999995,None,526.0410421699996,526.0410421699996,526.0576775699999,None,[],,,['b'],528.0373753999993,None,b,3.951947100000325,1,1,0.5945945945945946,None,532.8057583,None,532.8057583,None,[1.951947100000325],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
37,0,37,0,,,,,,,,,,2,2.0,0.0,z,27.0,1.0,2.7134565917469198,1.90743690794447,None,534.6085552999994,None,536.4910671699997,536.4910671699997,536.5074049699995,z,['z'],1.8150630000009187,[1.8150630000009187],None,538.5249559999993,None,z,1.8150630000009187,1,1,0.6052631578947368,None,541.2406548999998,None,541.2406548999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
38,0,38,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.82320408183943,0.952147612306987,None,543.0419289000001,None,543.97433987,543.97433987,543.9915360699995,b,['b'],1.5918770000007498,[1.5918770000007498],None,546.0099163999994,None,b,1.5918770000007498,1,1,0.6153846153846154,None,548.8378555999998,None,548.8378555999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
39,0,39,0,,,,,,,,,,1,1.0,3.0,z,27.0,1.0,4.40017271499661,3.06992456303453,None,550.6418383,None,553.6917657699994,553.6917657699994,553.7082815699994,z,['z'],-0.017240499999388703,[-0.017240499999388703],['b'],555.7333785000001,None,z,-0.017240499999388703,1,1,0.625,None,560.1305236999997,None,560.1305236999997,None,[0.22824990000026446],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
40,0,40,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.3728785608729996,1.21250262048173,None,561.9410483000001,None,563.1254301699998,563.1254301699998,563.1421292699995,None,[],,,['z'],565.1304335999994,None,z,3.0273507000010795,0,0,0.6097560975609756,None,568.5166780999998,None,568.5166780999998,None,[1.0273507000010795],,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
41,0,41,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,2.433630701072358,1.53243550275999,None,570.3250511999995,None,571.8418969699994,571.8418969699994,571.8585967699998,z,['z'],1.0340742000007594,[1.0340742000007594],None,573.8864969999995,None,z,1.0340742000007594,1,1,0.6190476190476191,None,576.3225235,None,576.3225235,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
42,0,42,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.6438386551209,2.6299100644723,None,578.1255174999997,None,580.7419862699996,580.7419862699996,580.7590409699994,b,['b'],1.9390837000009924,[1.9390837000009924],None,582.7891405,None,b,1.9390837000009924,1,1,0.627906976744186,None,586.4375891999998,None,586.4375891999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
43,0,43,0,,,,,,,,,,0,1.0,0.0,b,63.0,1.0,2.91303524001082,2.96653053743745,None,588.2422025999995,None,591.1923517699995,591.1923517699995,591.2089847699997,b,['b'],1.89912220000042,[1.89912220000042],None,593.2364161999994,None,b,1.89912220000042,1,1,0.6363636363636364,None,596.1540882999998,None,596.1540882999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,597.9574955999997,None,,,,,,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.9411520999993,None,None,602.9411520999993,607.9244025999997,,,,,,,,,,,,,CBC_1036,001,2,3,3,13,0.95,2023-12-06_14h51.37.594,MSI_TV_v3,2022.1.1,60.2431413183772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 0, 3, 1]",0.5454545454545454,0.45454545454545453,0.6363636363636364,0.9090909090909091,28,2,14,,,,,,,,,,,,
