trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
25,0,25,0,,,,,,,,,,0,2,0,b,27,1,4.77034425507967,1.95130344756745,None,404.92196850000073,None,406.85512122000165,406.85512122000165,406.8717388200001,b,['b'],1.0615823999978602,[1.0615823999978602],None,408.90213080000103,None,b,1.0615823999978602,1,1,0.34615384615384615,None,413.6679066000015,None,413.6679066000015,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
26,0,26,0,,,,,,,,,,3,1,0,b,63,1,2.693348633324513,2.22427187882546,None,415.4722262000014,None,417.6717529200012,417.6717529200012,417.68830792000136,None,[],,,['b'],419.6765314000004,None,b,2.294057299999622,1,1,0.37037037037037035,None,422.3658873000004,None,422.3658873000004,None,[0.29405729999962205],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
27,0,27,0,,,,,,,,,,2,0,1,b,63,1,3.31929419319838,1.64421109900286,None,424.1717991000005,None,425.78872422000114,425.78872422000114,425.80533022000037,None,[],,,['z'],427.79382070000065,None,z,2.526522999998633,0,0,0.35714285714285715,None,431.11689900000056,None,431.11689900000056,None,[0.5265229999986332],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
28,0,28,0,,,,,,,,,,0,3,2,z,63,1,4.11514536789087,1.36309078069689,None,432.9218954000007,None,434.2721726200014,434.2721726200014,434.2886910200012,b,['b'],1.5998189999991155,[1.5998189999991155],None,436.3131142000002,None,b,1.5998189999991155,0,0,0.3448275862068966,None,440.4322568000007,None,440.4322568000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
29,0,29,0,,,,,,,,,,1,3,1,b,27,1,4.190022164497369,1.12425433982333,None,442.23854420000134,None,443.33872332000084,443.33872332000084,443.3554222200017,b,['b'],1.4608853999980056,[1.4608853999980056],None,445.3781103000001,None,b,1.4608853999980056,1,1,0.36666666666666664,None,449.5850014000007,None,449.5850014000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
30,0,30,0,,,,,,,,,,2,1,0,z,63,1,2.678526077912375,1.78643585472448,None,451.3887586000001,None,453.1553367200011,453.1553367200011,453.1719807200005,None,[],,,['z'],455.16017830000055,None,z,2.293123799998284,1,1,0.3870967741935484,None,457.8500350000013,None,457.8500350000013,None,[0.2931237999982841],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
31,0,31,0,,,,,,,,,,1,3,2,b,63,1,3.7500315165247198,1.60731937853708,None,459.65575480000007,None,461.23862812000135,461.23862812000135,461.2552663200002,b,['b'],1.9072476000001188,[1.9072476000001188],None,463.2816158000005,None,b,1.9072476000001188,1,1,0.40625,None,467.0334533000005,None,467.0334533000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
32,0,32,0,,,,,,,,,,3,2,1,z,9,1,4.12485271162806,1.25817747924478,None,468.83881940000174,None,470.071787820001,470.071787820001,470.08870782000105,b,['b'],1.7778662000000622,[1.7778662000000622],None,472.11523770000167,None,b,1.7778662000000622,0,0,0.3939393939393939,None,476.2269303000012,None,476.2269303000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
33,0,33,0,,,,,,,,,,2,1,0,z,63,1,3.2062024266105302,1.1243895841892,None,478.0386159000009,None,479.13893722000086,479.13893722000086,479.15536142000184,None,[],,,['b'],481.1430666000015,None,b,2.5629753999983222,0,0,0.38235294117647056,None,484.35539470000003,None,484.35539470000003,None,[0.5629753999983222],,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
34,0,34,0,,,,,,,,,,0,2,1,b,9,1,2.7134565917469198,0.974903167432984,None,486.15524390000064,None,487.10541042000096,487.10541042000096,487.1219456200013,z,['z'],1.5636548999991646,[1.5636548999991646],None,489.15109400000074,None,z,1.5636548999991646,0,0,0.37142857142857144,None,491.8647886000017,None,491.8647886000017,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1087,003,2,3,6,16,0.95,2024-03-23_11h27.59.968,MSI_TV_v3,2022.1.1,60.347116615266756,
