trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,2.2759877950103027,1.25817747924478,None,547.4505608999989,None,548.7245583999993,None,548.7245583999993,None,548.7336650399997,None,None,548.7245583999993,None,['b'],[0.4744344999999157],550.7007635999998,None,b,2.4744344999999157,0,0,0.4666666666666667,552.9710491000005,None,None,552.9710491000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
30,0,30,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,4.40017271499661,0.952147612306987,None,554.7841546999989,None,555.7562736,None,555.7562736,None,555.7671340399996,None,['z'],555.7562736,None,None,,557.7528058999997,None,z,1.892183500000101,0,0,0.45161290322580644,562.1566304999997,None,None,562.1566304999997,None,[1.892183500000101],,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
31,0,31,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,2.294664843639333,0.979776149765883,None,563.9676727999995,None,564.9741744000003,None,564.9741744000003,None,564.9838242400004,None,None,564.9741744000003,None,['b'],[1.297814900000958],566.9510955000005,None,b,3.297814900000958,1,1,0.46875,569.2338679999993,None,None,569.2338679999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
32,0,32,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.26539063535182,1.25920145784721,None,571.0345132999992,None,572.308705899999,None,572.308705899999,None,572.3173903399987,None,None,572.308705899999,None,['z'],[0.3767459999999119],574.2843713999991,None,z,2.376745999999912,1,1,0.48484848484848486,577.5394596999995,None,None,577.5394596999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
33,0,33,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,3.3728785608729996,1.43470440954152,None,579.3511421000003,None,580.8043538999991,None,580.8043538999991,None,580.8003152300006,None,None,580.8043538999991,None,None,,582.7838563000005,None,[],[],0,3,0.47058823529411764,586.1364094,None,['z'],586.1364094,None,,,[0.11951439999938884],,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
34,0,34,0,,,,,,,,,,0,1.0,3.0,b,27.0,1.0,2.526044641065533,1.27538462653558,['z'],587.9508222000004,None,589.2365331000001,None,589.2365331000001,None,589.2338824300003,None,None,589.2365331000001,None,['z'],[0.6993371000007755],591.2177651000002,None,z,2.6993371000007755,0,0,0.45714285714285713,593.7413051999993,None,None,593.7413051999993,None,,[1.1604210000004969],,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
35,0,35,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,3.2062024266105302,1.64421109900286,None,595.550797599999,None,597.2050820999993,None,597.2050820999993,None,597.2010915299996,None,None,597.2050820999993,None,['b'],[0.7567286000012245],599.1844235999997,None,b,2.7567286000012245,1,1,0.4722222222222222,602.3816668999989,None,None,602.3816668999989,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
36,0,36,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,4.190022164497369,1.96568735158996,None,604.1845364000001,None,606.1689129999995,None,606.1689129999995,None,606.1673102299991,None,None,606.1689129999995,None,['z'],[1.0987691999998788],608.1511202999991,None,z,3.0987691999998788,1,1,0.4864864864864865,612.3244460999995,None,None,612.3244460999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
37,0,37,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,4.77723667052879,1.52290599571961,None,614.1344162000005,None,615.6745360000004,None,615.6745360000004,None,615.6838498399997,None,None,615.6745360000004,None,['z'],[2.5458502000001317],617.6506905999995,None,z,4.545850200000132,1,1,0.5,622.4203994,None,None,622.4203994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
38,0,38,0,,,,,,,,,,2,0.0,3.0,b,9.0,1.0,2.496959177995529,3.1424449555106,None,624.2342895999991,None,627.391359199999,None,627.391359199999,None,627.4007737399992,None,None,627.391359199999,None,['b'],[0.35098670000115817],629.3677857000002,None,b,2.350986700001158,1,1,0.5128205128205128,631.8556116,None,None,631.8556116,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
39,0,39,0,,,,,,,,,,1,2.0,3.0,b,63.0,0.0,4.12485271162806,3.40155979865722,None,633.6677043,None,637.0902540999996,None,637.0902540999996,None,637.10081054,None,None,637.0902540999996,None,['z'],[0.788712100000339],639.0674343999999,None,z,2.788712100000339,0,1,0.5,643.1912993000005,None,None,643.1912993000005,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
40,0,40,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,4.53337421950507,1.12425433982333,None,645.0013309999995,None,646.1381423000003,None,646.1381423000003,None,646.1342059300003,None,None,646.1381423000003,None,['b'],[0.16057910000017728],648.1179852999994,None,b,2.1605791000001773,1,1,0.5121951219512195,652.6491163999999,None,None,652.6491163999999,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
41,0,41,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,4.61004669244928,1.34668860557497,None,654.4509099999996,None,655.8205051000004,None,655.8205051000004,None,655.81758703,None,None,655.8205051000004,None,['z'],[2.0183458999999857],657.800986799999,None,z,4.018345899999986,1,1,0.5238095238095238,662.4007815999994,None,None,662.4007815999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
42,0,42,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,4.11514536789087,2.49839527409216,None,664.2014221999998,None,666.7201863999999,None,666.7201863999999,None,666.7173991300004,None,None,666.7201863999999,None,['b'],[0.42753559999982826],668.701186799999,None,b,2.4275355999998283,0,0,0.5116279069767442,672.7996490999994,None,None,672.7996490999994,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
43,0,43,0,,,,,,,,,,3,3.0,1.0,b,27.0,1.0,3.71372710086949,1.36309078069689,None,674.6013705000005,None,675.9880945999994,None,675.9880945999994,None,675.9842849300002,None,None,675.9880945999994,None,['z'],[0.9464277999995829],677.9681522999999,None,z,2.946427799999583,0,0,0.5,681.6628041999993,None,None,681.6628041999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,683.4679376999993,None,,,,,,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,688.4679476000001,None,None,688.4679476000001,None,,,,,,,,,,,,,CBC_1035,003,4,3,2,12,0.95,2024-07-26_16h27.09.209,MSI_AV_v3,2022.1.1,60.079870179527845,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 0, 1, 3]",0.36363636363636365,0.45454545454545453,0.6363636363636364,0.5454545454545454,24,1,19,,,,,,,,,,,,
