trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
36,0,36,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,3.31929419319838,3.4543169006169,None,528.9143724000005,None,532.3854835999991,None,532.3854835999991,None,532.3810522899993,None,['z'],532.3854835999991,None,None,,534.3801093999991,None,z,1.9163392999998905,0,0,0.4594594594594595,537.7037574999995,None,None,537.7037574999995,None,[1.9163392999998905],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
37,0,37,0,,,,,,,,,,3,1.0,0.0,b,63.0,1.0,2.526044641065533,2.40378712856304,None,539.5143921999988,None,541.9353245000002,None,541.9353245000002,None,541.9311168899993,None,['b'],541.9353245000002,None,None,,543.9303352000006,None,b,0.592424000000392,1,1,0.47368421052631576,546.4531109999989,None,None,546.4531109999989,None,[0.592424000000392],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
38,0,38,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,4.72585056748869,3.24569326556923,None,548.2643143999994,None,551.5178290000003,None,551.5178290000003,None,551.514349689999,None,None,551.5178290000003,None,['z'],[4.176707100001295],553.4978200999994,None,z,6.176707100001295,1,1,0.48717948717948717,558.2097783999998,None,None,558.2097783999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
39,0,39,0,,,,,,,,,,1,3.0,2.0,z,63.0,0.0,2.496959177995529,1.25920145784721,None,560.0151336999988,None,561.2852542,None,561.2852542,None,561.2815802899994,None,None,561.2852542,None,['b'],[2.267557200000738],563.2644328000006,None,b,4.267557200000738,0,1,0.475,565.7436094000004,None,None,565.7436094000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
40,0,40,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.82320408183943,1.95130344756745,None,567.5478000999992,None,569.5187693999997,None,569.5187693999997,None,569.5145963900003,None,['z'],569.5187693999997,None,None,,571.5133432999992,None,z,0.6147483000004286,1,1,0.4878048780487805,574.3385663999998,None,None,574.3385663999998,None,[0.6147483000004286],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
41,0,41,0,,,,,,,,,,2,3.0,2.0,b,63.0,1.0,3.6438386551209,0.974903167432984,None,576.1478741999999,None,577.1360153000005,None,577.1360153000005,None,577.1482457199992,None,['b'],577.1360153000005,None,None,,579.1315484999996,None,b,1.6775431000005483,1,1,0.5,582.7884656000006,None,None,582.7884656000006,None,[1.6775431000005483],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
42,0,42,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,3.73326136168326,2.22427187882546,None,584.5986821999995,None,586.8378253999999,None,586.8378253999999,None,586.848032519999,None,None,586.8378253999999,None,['z'],[0.16309740000178863],588.815411399999,None,z,2.1630974000017886,0,0,0.4883720930232558,592.5476321999995,None,None,592.5476321999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
43,0,43,0,,,,,,,,,,2,1.0,3.0,z,27.0,1.0,4.77723667052879,1.94858485820231,None,594.347907899999,None,596.3176426999999,None,596.3176426999999,None,596.3146687899997,None,['z'],596.3176426999999,None,None,,598.3185952999993,None,z,1.8598833000014565,1,1,0.5,603.1052655999993,None,None,603.1052655999993,None,[1.8598833000014565],,,,,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,604.9147457999989,None,,,,,,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609.9147780000003,None,None,609.9147780000003,None,,,,,,,,,,,,,CBC_1031,001,1,1,6,4,0.95,2023-10-20_10h25.09.885,MSI_AV_v3,2022.1.1,59.99948400421923,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[0, 3, 1, 2]",0.45454545454545453,0.45454545454545453,0.6363636363636364,0.45454545454545453,24,2,18,,,,,,,,,,,,
