trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.rt,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.77034425507967,1.78643585472448,None,533.8195312000003,None,535.5859407900001,535.5859407900001,535.6026112900003,None,[],['z'],537.5894515,None,z,2.772611300000335,1,1,0.3333333333333333,None,542.3588731,None,,542.3588731,None,,,[0.7726113000003352],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
9,0,9,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.02234236141277,3.06992456303453,None,544.1695490000002,None,547.2196481899999,547.2196481899999,547.23631539,None,[],['b'],549.2213356000002,None,b,2.658954200000153,1,1,0.4,None,552.2507220000002,None,,552.2507220000002,None,,,[0.6589542000001529],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
10,0,10,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.31929419319838,1.12425433982333,None,554.0527373,None,555.15305909,555.15305909,555.1697031900002,None,[],['z'],557.1557210999999,None,z,2.792560400000184,1,1,0.45454545454545453,None,560.4739410000002,None,,560.4739410000002,None,,,[0.792560400000184],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
11,0,11,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,3.35133458220192,3.40155979865722,None,562.2858599000001,None,565.6695059900002,565.6695059900002,565.6864137900001,None,[],['z'],567.6718996,None,z,2.576922900000227,1,1,0.5,None,571.0336545999999,None,,571.0336545999999,None,,,[0.576922900000227],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
12,0,12,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.73326136168326,1.43470440954152,None,572.8361334000001,None,574.2528819900002,574.2528819900002,574.2696925900003,None,[],['b'],576.2508898000001,None,b,2.3540225000001556,1,1,0.5384615384615384,None,579.9923839000003,None,,579.9923839000003,None,,,[0.35402250000015556],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
13,0,13,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,4.77723667052879,0.761758675042088,None,581.8028680000002,None,582.5359501900001,582.5359501900001,582.5528004900001,None,[],['z'],584.5396699000003,None,z,2.6686392000001433,1,1,0.5714285714285714,None,589.3277834999999,None,,589.3277834999999,None,,,[0.6686392000001433],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
14,0,14,0,,,,,,,,,,2,1.0,0.0,z,63.0,1.0,4.40017271499661,1.96568735158996,None,591.1360797000002,None,593.0866499900002,593.0866499900002,593.10294539,None,[],['z'],595.0890985999999,None,z,2.9187591999998403,1,1,0.6,None,599.4962834000003,None,,599.4962834000003,None,,,[0.9187591999998403],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
15,0,15,0,,,,,,,,,,0,3.0,1.0,z,27.0,1.0,2.629554641171433,1.36309078069689,None,601.3025966999999,None,602.6527886900002,602.6527886900002,602.6694036900002,None,[],['z'],604.6542106000002,None,z,3.038569500000449,1,1,0.625,None,607.2866124000002,None,,607.2866124000002,None,,,[1.038569500000449],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
16,0,16,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.92731383428727,0.952147612306987,None,609.1019812,None,610.0364795899999,610.0364795899999,610.0530958900002,None,[],['z'],612.0350407000001,None,z,2.75766909999993,0,0,0.5882352941176471,None,614.9619642000002,None,,614.9619642000002,None,,,[0.75766909999993],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
17,0,17,0,,,,,,,,,,1,3.0,2.0,b,63.0,0.0,2.2759877950103027,3.1963008326951,None,616.7695139000002,None,619.9362158900002,619.9362158900002,619.9528444900001,None,[],['z'],621.9342427000001,None,z,2.644831200000226,0,1,0.5555555555555556,None,624.2120674000003,None,,624.2120674000003,None,,,[0.6448312000002261],,,,,,,,,,,,,,,,,,CBC_1014,001,4,3,4,13,0.95,2023-06-25_10h42.28.156,MSI_TV_v3,2022.1.1,59.978072016931435,
