trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,1,2.0,1.0,z,9.0,1.0,2.678526077912375,2.6299100644723,None,350.42367940000076,None,353.07448699999986,None,353.07448699999986,None,353.0737013299995,None,None,353.07448699999986,None,['z'],355.05726139999933,None,z,3.6787196999994194,1,1,0.4074074074074074,357.7238362999997,None,None,357.7238362999997,None,,[1.6787196999994194],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
27,0,27,0,,,,,,,,,,2,3.0,1.0,b,27.0,1.0,4.40017271499661,1.96568735158996,None,359.53946019999967,None,361.5067990999996,None,361.5067990999996,None,361.5069398300011,None,['b'],361.5067990999996,None,None,363.5069509999994,None,b,1.7508458999982395,1,1,0.42857142857142855,367.91332089999923,None,None,367.91332089999923,None,[1.7508458999982395],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
28,0,28,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.02234236141277,1.60731937853708,None,369.7228310999999,None,371.34173120000014,None,371.34173120000014,None,371.34031423000033,None,None,371.34173120000014,None,['z'],373.3237695000007,None,z,4.1620756999982405,0,0,0.41379310344827586,376.33462859999963,None,None,376.33462859999963,None,,[2.1620756999982405],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
29,0,29,0,,,,,,,,,,3,1.0,0.0,z,63.0,1.0,4.12485271162806,1.25817747924478,None,378.14058079999995,None,379.4069254999995,None,379.4069254999995,None,379.4070997299996,None,['b'],379.4069254999995,None,None,381.4061536999998,None,b,1.3408634999996139,0,0,0.4,385.52791120000074,None,None,385.52791120000074,None,[1.3408634999996139],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
30,0,30,0,,,,,,,,,,0,2.0,0.0,b,27.0,1.0,2.342239579230602,0.974903167432984,None,387.34055400000034,None,388.3228600000002,None,388.3228600000002,None,388.32328743000016,None,['z'],388.3228600000002,None,None,390.3233455999998,None,z,1.089242899997771,0,0,0.3870967741935484,392.6563900000001,None,None,392.6563900000001,None,[1.089242899997771],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
31,0,31,0,,,,,,,,,,3,0.0,1.0,b,63.0,1.0,3.35133458220192,1.1243895841892,None,394.4571741,None,395.58227500000066,None,395.58227500000066,None,395.58962212999995,None,['z'],395.58227500000066,None,None,397.57552980000037,None,z,1.1810310000000754,0,0,0.375,400.9282554000001,None,None,400.9282554000001,None,[1.1810310000000754],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
32,0,32,0,,,,,,,,,,1,0.0,1.0,z,63.0,1.0,3.26539063535182,0.952147612306987,None,402.7405722000003,None,403.70903139999973,None,403.70903139999973,None,403.7073149300004,None,None,403.70903139999973,None,['b'],405.6897207000002,None,b,2.484015299998646,0,0,0.36363636363636365,408.94672999999966,None,None,408.94672999999966,None,,[0.4840152999986458],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
33,0,33,0,,,,,,,,,,2,2.0,3.0,z,63.0,1.0,2.526044641065533,1.53243550275999,None,410.75635630000033,None,412.2878013999998,None,412.2878013999998,None,412.29050953000024,None,['z'],412.2878013999998,None,None,414.28992970000036,None,z,1.9290515999982745,1,1,0.38235294117647056,416.8294783000001,None,None,416.8294783000001,None,[1.9290515999982745],,,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
34,0,34,0,,,,,,,,,,1,1.0,3.0,b,27.0,1.0,4.77034425507967,3.33124983260532,None,418.6406559999996,None,421.9915768999999,None,421.9915768999999,None,421.9906296300005,None,None,421.9915768999999,None,['b'],423.9740535000001,None,b,2.4290333000008104,1,1,0.4,428.73542740000084,None,None,428.73542740000084,None,,[0.4290333000008104],,,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
35,0,35,0,,,,,,,,,,0,2.0,3.0,b,63.0,1.0,4.72585056748869,2.78346932462847,['z'],430.54065470000023,None,433.34040409999943,None,433.34040409999943,None,433.34045412999967,None,None,433.34040409999943,None,['z'],435.3239279999998,None,z,2.5571575999983907,0,0,0.3888888888888889,440.03824390000045,None,None,440.03824390000045,None,,[0.5571575999983907],[2.7049931999990804],,,,,,,,,,,,,,,,,,,,,CBC_1021,003,4,3,2,20,0.95,2023-07-18_16h15.57.561,MSI_AV_v3,2022.1.1,60.04606734347593,
