trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
9;0;9;0;;;;;;;;;;2;2;3;z;63;1;4.124852712;0.91751991;None;230.5053956;None;231.4053884;231.4053884;231.4219912;None;[];['z'];[0.46740780000072846];233.4085846;None;z;2.4674078;1;1;0.6;None;237.5325266;None;237.5325266;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
10;0;10;0;;;;;;;;;;0;1;0;b;63;0;4.115145368;1.965687352;None;239.3387062;None;241.2887058;241.2887058;241.305289;None;[];['b'];[0.03706900000179303];243.2914457;None;b;2.037069;1;0;0.636363636;None;247.4055622;None;247.4055622;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
11;0;11;0;;;;;;;;;;3;0;1;b;63;1;3.733261362;1.522905996;None;249.2054224;None;250.7055641;250.7055641;250.7220554;b;['b'];None;;252.7466752;None;b;1.6263769;1;1;0.666666667;None;256.4834721;None;256.4834721;None;1.6263769;[1.626376899999741];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
12;0;12;0;;;;;;;;;;2;2;3;z;63;1;4.777236671;2.403787129;None;258.2888995;None;260.6727108;260.6727108;260.6888587;None;[];['z'];[0.2609267000007094];262.6759384;None;z;2.2609267;1;1;0.692307692;None;267.4740167;None;267.4740167;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
13;0;13;0;;;;;;;;;;1;2;0;b;27;1;2.526044641;1.382898925;None;269.2884246;None;270.6555344;270.6555344;270.6725061;None;[];['b'];[1.5527193000016268];272.657702;None;b;3.5527193;1;1;0.714285714;None;275.1896686;None;275.1896686;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
14;0;14;0;;;;;;;;;;3;0;1;b;63;1;4.190022164;2.783469325;None;276.9890178;None;279.7555781;279.7555781;279.7722108;b;['b'];None;;281.79704;None;b;1.7953932;1;1;0.733333333;None;285.9839437;None;285.9839437;None;1.7953932;[1.795393200001854];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
15;0;15;0;;;;;;;;;;0;1;3;b;27;1;3.206202427;1.607319379;None;287.7889457;None;289.3722419;289.3722419;289.3887776;None;[];['b'];[1.385292400002072];291.3753028;None;b;3.3852924;1;1;0.75;None;294.5937574;None;294.5937574;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
16;0;16;0;;;;;;;;;;1;3;2;z;63;1;4.725850567;2.966530537;None;296.4055708;None;299.3553741;299.3553741;299.3714392;None;[];['b'];[0.3441867000001366];301.3458038;None;b;2.3441867;0;0;0.705882353;None;306.0839772;None;306.0839772;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
17;0;17;0;;;;;;;;;;2;2;3;z;63;0;2.823204082;0.952147612;None;307.8887965;None;308.8215257;308.8215257;308.8382653;None;[];['z'];[0.475348899999517];310.8153291;None;z;2.4753489;1;0;0.722222222;None;313.6416452;None;313.6416452;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
18;0;18;0;;;;;;;;;;0;1;0;b;63;1;3.319294193;3.142444956;None;315.4553082;None;318.5720628;318.5720628;318.5887791;b;['b'];None;;320.6042873;None;b;1.6834246;1;1;0.736842105;None;323.9338979;None;323.9338979;None;1.6834246;[1.683424600001672];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
19;0;19;0;;;;;;;;;;3;2;0;z;27;1;2.275987795;1.124389584;None;325.7390936;None;326.8390541;326.8390541;326.8560101;z;['z'];None;;328.8803503;None;z;1.2793285;1;1;0.75;None;331.1494904;None;331.1494904;None;1.2793285;[1.2793285000007018];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
20;0;20;0;;;;;;;;;;2;0;3;z;9;1;4.610046692;1.259201458;None;332.9558453;None;334.1894044;334.1894044;334.2060147;None;[];['z'];[0.1857573000015691];336.1921545;None;z;2.1857573;1;1;0.761904762;None;340.8013176;None;340.8013176;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
21;0;21;0;;;;;;;;;;1;2;3;b;63;1;2.639174735;2.104215073;None;342.6057177;None;344.6895651;344.6895651;344.7056733;None;[];['b'];[0.6993144000007305];346.6965385;None;b;2.6993144;1;1;0.772727273;None;349.3266128;None;349.3266128;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
22;0;22;0;;;;;;;;;;0;3;1;z;27;1;2.517541938;0.807880636;None;351.1394668;None;351.9223592;351.9223592;351.9391008;None;[];['z'];[0.30489400000078604];353.9239475;None;z;2.304894;1;1;0.782608696;None;356.4493701;None;356.4493701;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
23;0;23;0;;;;;;;;;;1;3;2;z;63;1;2.713456592;1.258177479;None;358.2559639;None;359.4891496;359.4891496;359.5057412;None;[];['z'];[0.387349800001175];361.492687;None;z;2.3873498;1;1;0.791666667;None;364.2042491;None;364.2042491;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
24;0;24;0;;;;;;;;;;2;2;3;z;63;1;2.496959178;2.629910064;None;366.005895;None;368.6225256;368.6225256;368.6391835;None;[];['z'];[0.31751059999987774];370.6261652;None;z;2.3175106;1;1;0.8;None;373.1279816;None;373.1279816;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
25;0;25;0;;;;;;;;;;0;1;0;b;63;1;2.91303524;1.907436908;None;374.9394434;None;376.8226093;376.8226093;376.8392925;None;[];['b'];[1.5240417000004527];378.826335;None;b;3.5240417;1;1;0.807692308;None;381.7401046;None;381.7401046;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
26;0;26;0;;;;;;;;;;3;0;3;b;9;1;3.351334582;1.644211099;None;383.5398104;None;385.1565442;385.1565442;385.1725661;b;['b'];['b'];[0.05195319999984349];387.1966603;None;b;1.144349;1;1;0.814814815;None;390.5521189;None;390.5521189;None;1.144349;[1.1443490000019665];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
27;0;27;0;;;;;;;;;;2;2;3;z;63;1;4.53337422;1.532435503;None;392.3559398;None;393.8726707;393.8726707;393.8893041;None;[];['z'];[0.4462701000011293];395.8752289;None;z;2.4462701;1;1;0.821428571;None;400.410919;None;400.410919;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
28;0;28;0;;;;;;;;;;1;2;0;b;27;1;3.683710799;1.346688606;None;402.2227741;None;403.5560874;403.5560874;403.5727107;None;[];['b'];[0.1984097999993537];405.5583511;None;b;2.1984098;1;1;0.827586207;None;409.2458884;None;409.2458884;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
29;0;29;0;;;;;;;;;;3;1;0;z;63;0;2.433630701;1.275384627;None;411.0560698;None;412.3061049;412.3061049;412.3228463;z;['z'];None;;414.3485903;None;z;1.8848253;1;0;0.833333333;None;416.7827335;None;416.7827335;None;1.8848253;[1.8848253000014665];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
30;0;30;0;;;;;;;;;;0;1;0;b;63;1;3.713727101;2.224271879;None;418.5900102;None;420.7893586;420.7893586;420.8065977;b;['b'];None;;422.8308192;None;b;1.6043737;1;1;0.838709677;None;426.5507384;None;426.5507384;None;1.6043737;[1.6043737000018155];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
31;0;31;0;;;;;;;;;;2;3;1;b;27;1;4.52047235;1.43470441;None;428.3563253;None;429.7727524;429.7727524;429.7894075;None;[];['b'];[0.2580061000007845];431.7743298;None;b;2.2580061;1;1;0.84375;None;436.2928104;None;436.2928104;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
32;0;32;0;;;;;;;;;;1;3;2;z;63;1;2.693348633;3.401559799;None;438.1060179;None;441.4893011;441.4893011;441.5059012;None;[];['z'];[0.326337100001183];443.4917957;None;z;2.3263371;1;1;0.848484848;None;446.1833734;None;446.1833734;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
33;0;33;0;;;;;;;;;;0;1;0;b;63;1;3.372878561;2.498395274;None;447.9894046;None;450.4727229;450.4727229;450.4891351;None;[];['b'];[0.29425040000205627];452.4728344;None;b;2.2942504;1;1;0.852941176;None;455.8555074;None;455.8555074;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
34;0;34;0;;;;;;;;;;3;0;1;b;63;1;2.678526078;3.245693266;None;457.6561246;None;460.8897377;460.8897377;460.9063305;b;['b'];['b'];[0.09835700000076031];462.9319141;None;b;0.9883907;1;1;0.857142857;None;465.6178289;None;465.6178289;None;0.9883907;[0.9883907000003092];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
35;0;35;0;;;;;;;;;;1;1;2;z;9;1;2.294664844;1.180657385;None;467.4230079;None;468.5895485;468.5895485;468.6062209;None;[];['z'];[0.5698470000006637];470.5919639;None;z;2.569847;1;1;0.861111111;None;472.8875362;None;472.8875362;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
36;0;36;0;;;;;;;;;;3;1;0;z;63;1;2.792365601;1.12425434;None;474.6890472;None;475.7896073;475.7896073;475.8062864;z;['z'];None;;477.8313778;None;z;1.873662;1;1;0.864864865;None;480.6159657;None;480.6159657;None;1.873662;[1.8736620000017865];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
37;0;37;0;;;;;;;;;;2;3;1;b;27;1;2.592312597;0.97977615;None;482.4233636;None;483.3901679;483.3901679;483.4065324;None;[];['b'];[0.7315329000011843];485.393912;None;b;2.7315329;1;1;0.868421053;None;487.994588;None;487.994588;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
38;0;38;0;;;;;;;;;;0;0;1;z;63;1;4.770344255;1.948584858;None;489.8062115;None;491.7397107;491.7397107;491.756373;z;['z'];['z'];[0.05238959999951476];493.7809483;None;z;1.2661621;1;1;0.871794872;None;498.5513666;None;498.5513666;None;1.2661621;[1.2661621000024752];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
39;0;39;0;;;;;;;;;;1;2;3;b;63;0;3.643838655;0.761758675;None;500.3562915;None;501.0897728;501.0897728;501.1064111;None;[];['b'];[0.5286731000014697];503.0936517;None;b;2.5286731;1;0;0.875;None;506.7421898;None;506.7421898;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
40;0;40;0;;;;;;;;;;3;2;0;z;27;1;3.750031517;3.454316901;None;508.5568239;None;511.9898183;511.9898183;512.0064675;z;['z'];None;;514.031247;None;z;1.836847;1;1;0.87804878;None;517.7838304;None;517.7838304;None;1.836847;[1.836847000000489];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
41;0;41;0;;;;;;;;;;2;3;2;b;63;1;3.265390635;2.098878705;None;519.5901786;None;521.6736139;521.6736139;521.6901295;None;[];['b'];[0.5341692000001785];523.6764069;None;b;2.5341692;1;1;0.880952381;None;526.9501725;None;526.9501725;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
42;0;42;0;;;;;;;;;;0;3;1;z;27;1;4.469240022;0.974903167;None;528.7564619;None;529.7069559;529.7069559;529.7232121;z;['z'];None;;531.7469039;None;z;1.4314789;1;1;0.88372093;None;536.2179949;None;536.2179949;None;1.4314789;[1.4314789000000019];;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
43;0;43;0;;;;;;;;;;1;2;3;b;63;1;4.017143546;1.951303448;None;538.0232271;None;539.956757;539.956757;539.9732264;None;[];['b'];[0.946202600000106];541.9592658;None;b;2.9462026;1;1;0.886363636;None;545.9823356;None;545.9823356;None;;;;;;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;547.7898324;None;;;;;;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;552.7731781;None;None;552.7731781;557.7399868;;;;;;;;;;;;;CBC_1019;4;1;3;0;18;0.9;2023-06-28_18h00.13.129;MSI_TV_v3;01.01.2022;59.86539864
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;z;b;hard;[0, 1, 2, 3];[3, 0, 1, 2];0.636363636;0.909090909;1;1;35;0;9;;;;;;;;;;;
