trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,1,0,2,b,27,1,3.68371079902891,1.95130344756745,None,463.38139409999985,None,465.3157522299997,465.3157522299997,465.33308643,z,['z'],1.5170633000002454,[1.5170633000002454],None,467.3526238999998,None,z,1.5170633000002454,0,0,0.2222222222222222,None,471.03136059999997,None,471.03136059999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
9,0,9,0,,,,,,,,,,0,0,3,z,9,1,2.693348633324513,2.10421507306074,None,472.8322194999996,None,474.9163572299998,474.9163572299998,474.93221552999955,None,[],,,['z'],476.9193342999997,None,z,2.2746359000002485,1,1,0.3,None,479.6161098999996,None,479.6161098999996,None,[0.2746359000002485],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
10,0,10,0,,,,,,,,,,2,3,2,z,63,1,2.7134565917469198,2.78346932462847,None,481.43168779999996,None,484.19812322999985,484.19812322999985,484.2147619299998,None,[],,,['b'],486.1932619999998,None,b,2.4359905999999683,0,0,0.2727272727272727,None,488.9042503999999,None,488.9042503999999,None,[0.43599059999996825],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
11,0,11,0,,,,,,,,,,3,1,0,b,63,1,2.629554641171433,3.40155979865722,None,490.7161056,None,494.0982721299996,494.0982721299996,494.1151314299999,None,[],,,['z'],496.0929034999999,None,z,3.1994156999999177,0,0,0.25,None,498.72179949999963,None,498.72179949999963,None,[1.1994156999999177],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
12,0,12,0,,,,,,,,,,0,3,2,b,63,1,3.26539063535182,1.27538462653558,None,500.53230459999986,None,501.78193372999965,501.78193372999965,501.79813742999966,z,['z'],1.9070166000001336,[1.9070166000001336],None,503.8162471999999,None,z,1.9070166000001336,0,0,0.23076923076923078,None,507.08182659999966,None,507.08182659999966,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
13,0,13,0,,,,,,,,,,2,3,2,z,63,1,2.792365600763554,1.38289892513751,None,508.8825465,None,510.24925472999973,510.24925472999973,510.26563572999964,None,[],,,['z'],512.2456732999999,None,z,2.755326600000444,1,1,0.2857142857142857,None,515.0377156,None,515.0377156,None,[0.7553266000004442],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
14,0,14,0,,,,,,,,,,3,1,3,b,27,1,4.82531807167306,1.96568735158996,None,516.8487772999997,None,518.7992149299997,518.7992149299997,518.8159065299996,b,['b'],1.7812915000004068,[1.7812915000004068],None,520.8404115999997,None,b,1.7812915000004068,1,1,0.3333333333333333,None,525.6620681999998,None,525.6620681999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
15,0,15,0,,,,,,,,,,1,3,0,z,9,1,2.2759877950103027,1.64421109900286,None,527.4652140999997,None,529.0824987299997,529.0824987299997,529.0991505299997,None,[],,,['z'],531.0875670999999,None,z,2.6022968000006585,1,1,0.375,None,533.3660379999997,None,533.3660379999997,None,[0.6022968000006585],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
16,0,16,0,,,,,,,,,,0,3,2,b,63,1,3.35133458220192,1.21250262048173,None,535.1653357999999,None,536.3499415299997,536.3499415299997,536.36577123,z,['z'],1.478457800000342,[1.478457800000342],None,538.3904619999998,None,z,1.478457800000342,0,0,0.35294117647058826,None,541.7424193999996,None,541.7424193999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
17,0,17,0,,,,,,,,,,2,2,0,b,27,1,4.7533305109883095,1.90743690794447,None,543.5490458999998,None,545.4319768299996,545.4319768299996,545.4486180299999,None,[],,,['b'],547.4271497,None,b,2.5682630999999674,1,1,0.3888888888888889,None,552.1727980999999,None,552.1727980999999,None,[0.5682630999999674],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
18,0,18,0,,,,,,,,,,1,1,0,z,63,1,4.01714354611405,1.78643585472448,None,553.982665,None,555.7488123299999,555.7488123299999,555.7650482299999,None,[],,,['b'],557.7455617999999,None,b,2.775518500000544,0,0,0.3684210526315789,None,561.7508270999997,None,561.7508270999997,None,[0.775518500000544],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
19,0,19,0,,,,,,,,,,3,0,1,z,63,0,4.53337421950507,1.53122835510861,None,563.5651344999997,None,565.06599563,565.06599563,565.0825355299997,None,[],,,['z'],567.0687863999997,None,z,3.1156646000004002,1,0,0.4,None,571.6078433999996,None,571.6078433999996,None,[1.1156646000004002],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
20,0,20,0,,,,,,,,,,0,1,3,z,27,1,4.52047235037039,1.25817747924478,None,573.4153033999996,None,574.6492763299997,574.6492763299997,574.6658758299999,b,['b'],1.9408324000000903,[1.9408324000000903],None,576.6902249999998,None,b,1.9408324000000903,0,0,0.38095238095238093,None,581.1982410999999,None,581.1982410999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
21,0,21,0,,,,,,,,,,2,2,3,b,63,1,4.72585056748869,0.974903167432984,None,582.9995151999997,None,583.9488903299997,583.9488903299997,583.9653137299996,z,['z'],1.9165302000001248,[1.9165302000001248],None,585.9822612999997,None,z,1.9165302000001248,0,0,0.36363636363636365,None,590.7108578999996,None,590.7108578999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
22,0,22,0,,,,,,,,,,3,1,0,b,63,1,3.73326136168326,2.40378712856304,None,592.5165479999996,None,594.9001026299997,594.9001026299997,594.9161303299996,None,[],,,['b'],596.8963581999997,None,b,2.3685365000001184,1,1,0.391304347826087,None,600.6287692999999,None,600.6287692999999,None,[0.3685365000001184],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
23,0,23,0,,,,,,,,,,1,2,0,z,27,1,4.40017271499661,2.96653053743745,None,602.4327493999999,None,605.3828785299996,605.3828785299996,605.3995363299999,b,['b'],1.903003400000216,[1.903003400000216],None,607.4247441999996,None,b,1.903003400000216,0,0,0.375,None,611.8154252999998,None,611.8154252999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
24,0,24,0,,,,,,,,,,0,2,3,z,63,1,4.190022164497369,0.80788063606262,None,613.6161466999997,None,614.3989832299998,614.3989832299998,614.4151685299997,None,[],,,['b'],616.3938550999997,None,b,2.6889327000003505,0,0,0.36,None,620.5763376,None,620.5763376,None,[0.6889327000003505],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
25,0,25,0,,,,,,,,,,2,2,0,b,27,1,2.6391747348430608,0.917519910446003,None,622.3821995999997,None,623.2829374299998,623.2829374299998,623.2995389299998,z,['z'],1.9811624000003576,[1.9811624000003576],None,625.3237678999999,None,z,1.9811624000003576,0,0,0.34615384615384615,None,627.9596444999997,None,627.9596444999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
26,0,26,0,,,,,,,,,,3,1,0,b,63,1,2.294664843639333,0.761758675042088,None,629.7654935999999,None,630.4996930299998,630.4996930299998,630.5169751299999,b,['b'],0.8102272000000994,[0.8102272000000994],None,632.5189355999996,None,b,0.8102272000000994,1,1,0.37037037037037035,None,634.8153803999999,None,634.8153803999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
27,0,27,0,,,,,,,,,,1,0,1,b,63,1,4.77034425507967,3.06992456303453,None,636.6163904999999,None,639.66643883,639.66643883,639.6830511299999,None,[],,,['b'],641.6750324,None,b,2.673476600000413,1,1,0.39285714285714285,None,646.4452726,None,646.4452726,None,[0.6734766000004129],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
28,0,28,0,,,,,,,,,,2,3,2,z,63,1,4.77723667052879,1.53243550275999,None,648.2496914999997,None,649.7663393299998,649.7663393299998,649.7829417299998,None,[],,,['b'],651.7718140999996,None,b,2.003407700000025,0,0,0.3793103448275862,None,656.5613853999998,None,656.5613853999998,None,[0.0034077000000252156],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
29,0,29,0,,,,,,,,,,0,3,1,b,27,1,3.71372710086949,3.1424449555106,None,658.3662494,None,661.4830624299997,661.4830624299997,661.4997685299999,z,['z'],1.9505936000005022,[1.9505936000005022],None,663.5172565999997,None,z,1.9505936000005022,0,0,0.36666666666666664,None,667.2429985999997,None,667.2429985999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
30,0,30,0,,,,,,,,,,1,1,0,z,63,1,2.526044641065533,1.94858485820231,None,669.0498181999997,None,670.9822158299997,670.9822158299997,670.9990103299996,None,[],,,['b'],672.9775267999999,None,b,2.8854673000005278,0,0,0.3548387096774194,None,675.4932613999999,None,675.4932613999999,None,[0.8854673000005278],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
31,0,31,0,,,,,,,,,,0,3,2,b,63,1,3.02234236141277,1.36309078069689,None,677.2998579999999,None,678.6489768299997,678.6489768299997,678.6660139299996,None,[],,,['b'],680.6473153999996,None,b,2.0952915000002577,1,1,0.375,None,683.6665715999998,None,683.6665715999998,None,[0.09529150000025766],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
32,0,32,0,,,,,,,,,,3,2,1,z,9,1,4.61004669244928,1.1243895841892,None,685.4664922999996,None,686.5665972299997,686.5665972299997,686.5833451299999,None,[],,,['b'],688.5650401999997,None,b,2.2935850000003484,0,0,0.36363636363636365,None,693.1726090999996,None,693.1726090999996,None,[0.2935850000003484],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
33,0,33,0,,,,,,,,,,1,1,0,z,63,1,2.82320408183943,0.952147612306987,None,694.9831084999996,None,695.9167135299998,695.9167135299998,695.9333821299996,None,[],,,['z'],697.9215644999999,None,z,2.106524199999967,1,1,0.38235294117647056,None,700.7495018999998,None,700.7495018999998,None,[0.1065241999999671],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
34,0,34,0,,,,,,,,,,2,2,1,b,9,1,2.666404967794728,2.15533949826702,None,702.5500470999996,None,704.6833838299998,704.6833838299998,704.70026933,None,[],,,['z'],706.6824484999997,None,z,2.4776025000005575,0,0,0.37142857142857144,None,709.3528296,None,709.3528296,None,[0.4776025000005575],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
35,0,35,0,,,,,,,,,,3,1,0,b,63,1,2.592312596923728,3.24569326556923,None,711.1666320999998,None,714.39934463,714.39934463,714.4158175299998,None,[],,,['b'],716.3944095999996,None,b,3.5242536999999174,1,1,0.3888888888888889,None,718.9795811999998,None,718.9795811999998,None,[1.5242536999999174],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
36,0,36,0,,,,,,,,,,1,0,1,b,63,0,2.91303524001082,0.979776149765883,None,720.7832180999999,None,721.7499761299999,721.7499761299999,721.7665032299996,None,[],,,['b'],723.7542543999998,None,b,2.9920290999998542,1,0,0.40540540540540543,None,726.6655953999998,None,726.6655953999998,None,[0.9920290999998542],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
37,0,37,0,,,,,,,,,,3,0,1,z,63,1,3.7500315165247198,1.34668860557497,None,728.4665878999999,None,729.7992426299996,729.7992426299996,729.8159292299996,z,['z'],1.328013700000156,[1.328013700000156],None,731.8330305,None,z,1.328013700000156,1,1,0.42105263157894735,None,735.5933910999997,None,735.5933910999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
38,0,38,0,,,,,,,,,,0,1,3,z,27,1,3.6438386551209,3.4543169006169,None,737.3993968,None,740.8334170299999,740.8334170299999,740.8500462299997,None,[],,,['z'],742.8369680999999,None,z,2.257134600000427,1,1,0.4358974358974359,None,746.482258,None,746.482258,None,[0.25713460000042687],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
39,0,39,0,,,,,,,,,,2,3,2,z,63,1,2.433630701072358,2.22427187882546,None,748.2833860999999,None,750.48313533,750.48313533,750.50016963,None,[],,,['b'],752.488171,None,b,3.3309322000004613,0,0,0.425,None,754.9184263999996,None,754.9184263999996,None,[1.3309322000004613],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
40,0,40,0,,,,,,,,,,1,0,2,b,27,1,2.517541937862754,2.6299100644723,None,756.7334108,None,759.3502400299998,759.3502400299998,759.3669620299996,None,[],,,['z'],761.3556194999996,None,z,2.4646866000002774,0,0,0.4146341463414634,None,763.8767920999999,['b'],763.8767920999999,None,[0.4646866000002774],[0.08634420000043974],,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
41,0,41,0,,,,,,,,,,0,2,3,z,63,1,2.92731383428727,1.25920145784721,None,765.6828561999996,None,766.9169549299999,766.9169549299999,766.9343204299997,None,[],,,['z'],768.9243812999998,None,z,2.0150609000002078,1,1,0.42857142857142855,None,771.8654010999999,None,771.8654010999999,None,[0.015060900000207766],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
42,0,42,0,,,,,,,,,,3,1,3,b,27,1,4.11514536789087,1.60731937853708,None,773.6670620999998,None,775.2502230299996,775.2502230299996,775.2668033299996,None,[],,,['b'],777.2557231999999,None,b,2.8902810000004138,1,1,0.4418604651162791,None,781.3725356999998,None,781.3725356999998,None,[0.8902810000004138],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
43,0,43,0,,,,,,,,,,2,3,2,z,63,1,4.46924002178158,1.52290599571961,None,783.1835302999998,None,784.6836061299999,784.6836061299999,784.7003416299998,None,[],,,['z'],786.6893442999999,None,z,2.3376318000005085,1,1,0.45454545454545453,None,791.1567654999999,None,791.1567654999999,None,[0.3376318000005085],,,,,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,792.9670283999999,None,,,,,,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.9504063999998,None,None,797.9504063999998,802.9171116999996,,,,,,,,,,,,,CBC_1034,001,1,1,6,11,0.95,2023-12-13_13h56.17.502,MSI_TV_v3,2022.1.1,59.990125625372904,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 3, 2, 0]",0.2727272727272727,0.45454545454545453,0.36363636363636365,0.7272727272727273,18,0,26,,,,,,,,,,,,
