trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,1,1,0,b,63,1,2.526044641065533,2.15533949826702,None,166.82512789999964,None,168.9590257199994,168.9590257199994,168.97536652000016,None,[],,,['b'],170.959036799999,None,b,3.3509725000003527,1,1,0.7777777777777778,None,173.49179430000004,None,173.49179430000004,None,[1.3509725000003527],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
9,0,9,0,,,,,,,,,,0,1,3,z,27,1,4.77723667052879,1.1243895841892,None,175.292402199997,None,176.39249841999808,176.39249841999808,176.40906861999937,None,[],,,"['b', 'z']",178.3959978999992,None,b,3.195698800001992,0,0,0.7,None,183.1759566999972,None,183.1759566999972,None,"[1.195698800001992, 1.6186292999991565]",,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
10,0,10,0,,,,,,,,,,3,3,2,z,63,1,2.792365600763554,0.761758675042088,None,184.9917170999979,None,185.72612821999755,185.72612821999755,185.74277281999784,None,[],,,['z'],187.72941699999865,None,z,2.1560882999983733,1,1,0.7272727272727273,None,190.53241290000005,None,190.53241290000005,None,[0.15608829999837326],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
11,0,11,0,,,,,,,,,,1,1,0,b,63,1,3.73326136168326,3.4543169006169,None,192.34189539999716,None,195.77608131999986,195.77608131999986,195.79259921999946,None,[],,,['z'],197.77460259999862,None,z,2.399569799999881,0,0,0.6666666666666666,None,201.507436099997,None,201.507436099997,None,[0.39956979999988107],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
12,0,12,0,,,,,,,,,,2,0,1,b,63,1,2.7134565917469198,0.80788063606262,None,203.30913389999841,None,204.09257251999915,204.09257251999915,204.1091266199979,None,[],,,['z'],206.11511189999874,None,z,2.8162866000020585,0,0,0.6153846153846154,None,208.81415139999808,None,208.81415139999808,None,[0.8162866000020585],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
13,0,13,0,,,,,,,,,,3,1,2,z,9,1,4.61004669244928,3.33124983260532,None,210.62549109999964,None,213.92639271999687,213.92639271999687,213.94265471999788,None,[],,,['z'],215.93002999999953,None,z,2.088586000001669,1,1,0.6428571428571429,None,220.54464599999847,None,220.54464599999847,None,[0.08858600000166916],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
14,0,14,0,,,,,,,,,,2,1,0,z,63,1,4.11514536789087,3.1963008326951,None,222.35926199999813,None,225.52595851999976,225.52595851999976,225.54293831999857,None,[],,,['z'],227.53150379999715,None,z,2.8656482999977015,1,1,0.6666666666666666,None,231.659473599997,None,231.659473599997,None,[0.8656482999977015],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
15,0,15,0,,,,,,,,,,0,3,1,b,27,1,4.77034425507967,2.96653053743745,None,233.47542429999885,None,236.42588781999766,236.42588781999766,236.44237181999742,None,[],,,['b'],238.44334849999723,None,b,2.352690600000642,1,1,0.6875,None,243.22325350000028,None,243.22325350000028,None,[0.352690600000642],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
16,0,16,0,,,,,,,,,,1,0,1,z,63,1,4.7533305109883095,1.36309078069689,None,245.02579699999842,None,246.3750914199987,246.3750914199987,246.39202601999895,None,[],,,['b'],248.3793377999973,None,b,2.408542299999681,0,0,0.6470588235294118,None,253.13808939999944,None,253.13808939999944,None,[0.40854229999968084],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
17,0,17,0,,,,,,,,,,3,2,3,b,63,0,4.53337421950507,3.1424449555106,None,254.94229169999744,None,258.0592515200002,258.0592515200002,258.0758449199999,None,[],,,['b'],260.06160230000023,None,b,2.3166049999999814,1,0,0.6666666666666666,None,264.6006626999988,None,264.6006626999988,None,[0.3166049999999814],,,,,,,,,,,,,,,,,,CBC_1016,4,3,2,1,15,0.95,2023-06-25_16h33.10.466,MSI_TV_v3,2022.1.1,59.97156148673703,
