trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
37,0,37,0,,,,,,,,,,2,0,1,z,63,1,4.11514536789087,0.77703640172831,None,442.5464578000001,None,443.3339417999996,None,443.3339417999996,None,443.3462495399994,None,['z'],443.3339417999996,None,None,445.32791739999993,None,z,1.226972299999943,1,1,0.42105263157894735,449.45378939999955,None,None,449.45378939999955,None,[1.226972299999943],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
38,0,38,0,,,,,,,,,,3,1,3,z,27,1,4.7533305109883095,1.21250262048173,None,451.2632657999993,None,452.5010739999998,None,452.5010739999998,None,452.5130241399997,None,['z'],452.5010739999998,None,None,454.4964522999999,None,z,1.6308296000006521,1,1,0.4358974358974359,459.24576199999956,None,None,459.24576199999956,None,[1.6308296000006521],,,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
39,0,39,0,,,,,,,,,,0,3,2,z,63,1,2.342239579230602,1.1243895841892,None,461.0464704999995,None,462.1857178,None,462.1857178,None,462.19645193999935,None,None,462.1857178,None,['z'],464.1633332000001,None,z,2.2685333999997965,1,1,0.45,466.49862179999946,None,None,466.49862179999946,None,,[0.26853339999979653],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
40,0,40,0,,,,,,,,,,1,0,2,b,27,1,2.678526077912375,3.4543169006169,None,468.3133305000001,None,471.7856340999997,None,471.7856340999997,None,471.7965403399998,None,None,471.7856340999997,None,['b'],473.7632230999998,None,b,2.773267300000043,1,1,0.4634146341463415,476.43650699999944,None,None,476.43650699999944,None,,[0.7732673000000432],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
41,0,41,0,,,,,,,,,,3,2,3,z,63,1,3.76873691643126,1.95130344756745,None,478.24648029999935,None,480.2160258999993,None,480.2160258999993,None,480.2133172799998,None,None,480.2160258999993,None,['z'],482.19649129999925,None,z,2.102906200000689,1,1,0.47619047619047616,485.9523220000001,None,None,485.9523220000001,None,,[0.10290620000068884],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
42,0,42,0,,,,,,,,,,2,1,3,b,27,1,3.3728785608729996,1.25817747924478,None,487.76304939999955,None,489.0360471999993,None,489.0360471999993,None,489.04669743999915,None,None,489.0360471999993,None,['b'],491.0134172999997,None,b,2.2334246000009443,1,1,0.4883720930232558,494.3818986999995,None,None,494.3818986999995,None,,[0.23342460000094434],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
43,0,43,0,,,,,,,,,,0,3,2,z,63,1,4.52047235037039,3.1963008326951,None,496.1965059999993,None,499.41736649999984,None,499.41736649999984,None,499.41340487999906,None,None,499.41736649999984,None,['z'],501.39654100000007,None,z,3.2976446000002397,1,1,0.5,505.9036637999998,None,None,505.9036637999998,None,,[1.2976446000002397],,,,,,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,507.71338769999966,None,,,,,,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.7133392999995,None,None,512.7133392999995,None,,,,,,,,,,,,,CBC_1076,2,5,3,6,8,0.95,2024-03-13_14h06.57.958,MSI_AV_v3,2022.1.1,60.0065767208957,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 2, 0, 3]",0.36363636363636365,0.2727272727272727,0.5454545454545454,0.8181818181818182,22,7,15,,,,,,,,,,,,
