trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,3.02234236141277,1.1243895841892,None,231.90988130000005,None,233.01023844999963,233.01023844999963,233.02666845000022,None,[],['z'],[0.5123395999999047],235.01790279999932,None,z,2.5123395999999047,1,1,0.5555555555555556,None,238.02368879999995,None,238.02368879999995,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
9,0,9,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,2.91303524001082,1.18065738546375,None,239.82630579999932,None,240.99324815,240.99324815,241.01009044999955,None,[],['b'],[0.5169046999999409],242.99922530000003,None,b,2.516904699999941,1,1,0.6,None,245.92086319999999,None,245.92086319999999,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
10,0,10,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.92731383428727,1.34668860557497,None,247.72652089999974,None,249.05974564999997,249.05974564999997,249.07667204999962,z,['z'],None,,251.1033822999998,None,z,1.5093193999991854,0,0,0.5454545454545454,None,254.03760669999974,None,254.03760669999974,None,1.5093193999991854,[1.5093193999991854],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
11,0,11,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,4.11514536789087,2.78346932462847,None,255.84304780000002,None,258.60954855,258.60954855,258.62630114999956,z,['z'],None,,260.65215199999966,None,z,1.9971404999996594,1,1,0.5833333333333334,None,264.7740414,None,264.7740414,None,1.9971404999996594,[1.9971404999996594],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
12,0,12,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,3.26539063535182,0.974903167432984,None,266.5764841,None,267.52641714999936,267.52641714999936,267.5430431499999,None,[],['b'],[0.5540931999994427],269.5321371,None,b,2.5540931999994427,1,1,0.6153846153846154,None,272.80987579999965,None,272.80987579999965,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
13,0,13,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.46924002178158,2.10421507306074,None,274.6098091999993,None,276.6932064499997,276.6932064499997,276.7095639499994,z,['z'],None,,278.7370069999997,None,z,1.9671975000001112,1,1,0.6428571428571429,None,283.2065533999994,None,283.2065533999994,None,1.9671975000001112,[1.9671975000001112],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
14,0,14,0,,,,,,,,,,0,3.0,0.0,z,9.0,1.0,2.496959177995529,1.12425433982333,None,285.0098984999995,None,286.11028904999966,286.11028904999966,286.1266808499995,None,[],['z'],[0.5365140000003521],288.1166536999999,None,z,2.536514000000352,1,1,0.6666666666666666,None,290.5967658999998,['b'],290.5967658999998,None,,,[0.6604403000001184],,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
15,0,15,0,,,,,,,,,,2,1.0,0.0,b,63.0,0.0,3.6438386551209,3.1963008326951,None,292.4098505000002,None,295.5768664500001,295.5768664500001,295.59275815,None,[],['z'],[0.2892853000003015],297.5854571,None,z,2.2892853000003015,0,1,0.625,None,301.2263954,None,301.2263954,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
16,0,16,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.71372710086949,1.27538462653558,None,303.0268638999996,None,304.2765940499994,304.2765940499994,304.29317945,None,[],['z'],[0.5974420000002283],306.28275099999973,None,z,2.5974420000002283,0,0,0.5882352941176471,None,309.99765149999985,None,309.99765149999985,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
17,0,17,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,4.52047235037039,2.96653053743745,None,311.8100470999998,None,314.76000054999986,314.76000054999986,314.77693224999985,None,[],None,,316.76699409999947,None,None,[],0,3,0.5555555555555556,None,321.3204218000001,None,321.3204218000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
18,0,18,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.6391747348430608,1.60731937853708,['z'],323.09371809999993,None,324.67671195,324.67671195,324.69328594999934,None,[],"['b', 'z']","[0.4499206000000413, 1.7275337000000945]",326.68137990000014,None,b,2.4499206000000413,0,0,0.5263157894736842,None,329.33286150000004,None,329.33286150000004,None,,,,[0.2902321999999913],,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
19,0,19,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,4.40017271499661,1.36309078069689,None,331.14379869999993,None,332.47664604999954,332.47664604999954,332.4933300499997,None,[],"['b', 'z']","[0.5533325999995213, 1.6521751999998742]",334.48195510000005,None,b,2.5533325999995213,0,0,0.5,None,338.8869956999997,['z'],338.8869956999997,None,,,[1.708471300000383],,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
20,0,20,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,4.12485271162806,2.15533949826702,['b'],340.6932945999997,None,342.82694914999956,342.82694914999956,342.8436067499997,None,[],"['z', 'b']","[0.4572637000001123, 1.1572282999995878]",344.8324698999995,None,z,2.4572637000001123,0,0,0.47619047619047616,None,348.96114639999996,"['z', 'b']",348.96114639999996,None,,,"[0.20347270000002027, 0.8334415999997873]",[0.3884744999995746],,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
21,0,21,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.72585056748869,0.761758675042088,None,350.760362,None,351.5100413499995,351.5100413499995,351.52657844999976,None,[],"['z', 'b']","[0.414904000000206, 0.8421253999995315]",353.5168665000001,None,z,2.414904000000206,0,0,0.45454545454545453,None,358.2264887000001,"['z', 'b']",358.2264887000001,None,,,"[1.0491254999997182, 1.5078561999998783]",,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
22,0,22,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.592312596923728,3.06992456303453,"['b', 'b']",360.026742,None,363.0771344499999,363.0771344499999,363.09370175000004,b,['b'],"['z', 'b', 'z']","[0.11252149999927497, 0.7174222999992708, 2.3788072999996075]",365.12636099999963,None,b,0.08556979999957548,0,0,0.43478260869565216,None,367.7209761999993,"['b', 'z', 'b']",367.7209761999993,None,0.08556979999957548,[0.08556979999957548],"[0.05339360000016313, 0.8715526999994836, 1.1335690999994767]","[1.2351682999997138, 1.8436748999993142]",,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
23,0,23,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.53337421950507,1.21250262048173,"['z', 'b']",369.52666169999975,None,370.7102990499998,370.7102990499998,370.7267399499997,None,[],['z'],[0.2963289999997869],372.71601419999934,None,z,2.296328999999787,0,0,0.4166666666666667,None,377.2430097999995,None,377.2430097999995,None,,,,"[0.16841439999916474, 0.7056140999993659]",,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
24,0,24,0,,,,,,,,,,3,0.0,2.0,z,27.0,1.0,3.68371079902891,3.4543169006169,None,379.0436985999995,None,382.4768233499999,382.4768233499999,382.4933668499998,None,[],None,,384.48267039999973,None,None,[],0,3,0.4,None,388.1557869999997,['z'],388.1557869999997,None,,,[0.14201540000067325],,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
25,0,25,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.792365600763554,1.52290599571961,None,389.9603073999997,None,391.4600417499996,391.4600417499996,391.4768411499999,z,['z'],None,,393.5048956999999,None,z,1.6957019999990735,1,1,0.4230769230769231,None,396.30499210000016,None,396.30499210000016,None,1.6957019999990735,[1.6957019999990735],,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
26,0,26,0,,,,,,,,,,2,3.0,1.0,z,27.0,1.0,3.3728785608729996,1.25920145784721,None,398.11052389999986,None,399.34363374999975,399.34363374999975,399.36010604999956,None,[],['b'],[0.16856009999992239],401.34894389999954,None,b,2.1685600999999224,0,0,0.4074074074074074,None,404.73073059999933,None,404.73073059999933,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
27,0,27,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,4.77034425507967,1.25817747924478,None,406.54343340000014,None,407.77705094999965,407.77705094999965,407.7938276499999,None,[],['b'],[0.4302376000005097],409.78224539999974,None,b,2.4302376000005097,1,1,0.42857142857142855,None,414.56329279999954,None,414.56329279999954,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
28,0,28,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.294664843639333,0.77703640172831,None,416.3773379999993,None,417.12736785000016,417.12736785000016,417.1439637499998,None,[],['z'],[1.3204015999999683],419.13355649999994,None,z,3.3204015999999683,1,1,0.4482758620689655,None,421.42347919999975,None,421.42347919999975,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
29,0,29,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,3.76873691643126,3.40155979865722,None,423.22679919999973,None,426.6103264499998,426.6103264499998,426.6269640499995,None,[],['z'],[0.5308422999996765],428.6181152999998,None,z,2.5308422999996765,0,0,0.43333333333333335,None,432.3730337999996,None,432.3730337999996,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
30,0,30,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,3.73326136168326,1.90743690794447,None,434.17725809999956,None,436.06055194999954,436.06055194999954,436.07710574999965,None,[],['z'],[3.083818500000234],438.06483489999937,None,z,5.083818500000234,0,0,0.41935483870967744,None,441.79789019999953,None,441.79789019999953,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
31,0,31,0,,,,,,,,,,1,0.0,3.0,z,9.0,1.0,4.77723667052879,0.952147612306987,None,443.61035379999976,None,444.54370694999943,444.54370694999943,444.5600871500001,None,[],None,,446.54815599999984,None,None,[],0,3,0.40625,None,451.33717290000004,['b'],451.33717290000004,None,,,[0.04972350000025472],,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
32,0,32,0,,,,,,,,,,3,2.0,3.0,b,63.0,1.0,2.433630701072358,3.1424449555106,['z'],453.1438813999994,None,456.26035844999933,456.26035844999933,456.2767536499996,None,[],['z'],[0.8493938000001435],458.26740269999937,None,z,2.8493938000001435,0,0,0.3939393939393939,None,460.6840407999998,None,460.6840407999998,None,,,,[0.043462499999805004],,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
33,0,33,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,4.190022164497369,1.78643585472448,None,462.49345859999994,None,464.2600509499998,464.2600509499998,464.2773353499997,None,[],['z'],[2.289287300000069],466.26748880000014,None,z,4.289287300000069,0,0,0.38235294117647056,None,470.4487644000001,None,470.4487644000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
34,0,34,0,,,,,,,,,,0,1.0,0.0,z,63.0,0.0,4.7533305109883095,1.38289892513751,None,472.2604782999997,None,473.62719664999986,473.62719664999986,473.6437736500002,None,[],['z'],[4.224647099999856],475.62918439999976,None,z,6.224647099999856,1,0,0.4,None,480.39451139999983,None,480.39451139999983,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
35,0,35,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.31929419319838,1.43470440954152,None,482.19383469999957,None,483.61069614999997,483.61069614999997,483.6272154500002,None,[],['b'],[0.41036869999970804],485.6157384999997,None,b,2.410368699999708,1,1,0.4166666666666667,None,488.9675542999994,None,488.9675542999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
36,0,36,0,,,,,,,,,,2,2.0,1.0,z,9.0,1.0,3.2062024266105302,3.33124983260532,None,490.76083560000006,None,494.0773858499997,494.0773858499997,494.0943549499998,None,[],['z'],[0.49126739999974234],496.08591350000006,None,z,2.4912673999997423,1,1,0.43243243243243246,None,499.2806413999997,None,499.2806413999997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
37,0,37,0,,,,,,,,,,0,0.0,2.0,b,27.0,1.0,4.61004669244928,2.09887870490381,None,501.09412840000005,None,503.1775913499996,503.1775913499996,503.1942612499997,None,[],['b'],[1.4990591000005224],505.18257339999946,None,b,3.4990591000005224,1,1,0.4473684210526316,None,509.8007096000001,None,509.8007096000001,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
38,0,38,0,,,,,,,,,,3,3.0,2.0,z,63.0,1.0,2.526044641065533,2.49839527409216,None,511.61072090000016,None,514.0941577499998,514.0941577499998,514.1108028499993,None,[],None,,516.0980069999996,None,None,[],0,3,0.4358974358974359,None,518.6388314999995,['z'],518.6388314999995,None,,,[0.019274700000096345],,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
39,0,39,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,3.35133458220192,0.979776149765883,None,520.4443099,None,521.4107815500001,521.4107815500001,521.4275895499995,None,[],['z'],[1.1985658999992665],523.4171925,None,z,3.1985658999992665,0,0,0.425,None,526.7683155999994,None,526.7683155999994,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
40,0,40,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.666404967794728,0.917519910446003,None,528.5772978999994,None,529.47741185,529.47741185,529.4941937499998,None,[],['z'],[0.550257099999726],531.4839339999999,None,z,2.550257099999726,1,1,0.43902439024390244,None,534.1444141000002,['b'],534.1444141000002,None,,,[0.06474849999995058],,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
41,0,41,0,,,,,,,,,,3,2.0,0.0,b,27.0,1.0,2.517541937862754,2.6299100644723,['z'],535.9443013999999,None,538.5607411499996,538.5607411499996,538.5774933499997,b,['b'],None,,540.6053462999998,None,b,1.7114311999994243,1,1,0.4523809523809524,None,543.1257808,None,543.1257808,None,1.7114311999994243,[1.7114311999994243],,[0.3259078999999474],,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
42,0,42,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.678526077912375,2.22427187882546,None,544.9279542999993,None,547.1276606499996,547.1276606499996,547.1444406499995,None,[],['z'],[0.0397116999993159],549.1324771999998,None,z,2.039711699999316,1,1,0.46511627906976744,None,551.8095110999993,None,551.8095110999993,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
43,0,43,0,,,,,,,,,,2,0.0,1.0,z,63.0,1.0,4.01714354611405,1.95130344756745,None,553.6107855,None,555.5440563499997,555.5440563499997,555.5607638499996,None,[],['z'],[1.0139317000002848],557.5538814000001,None,z,3.0139317000002848,1,1,0.4772727272727273,None,561.5602240999997,None,561.5602240999997,None,,,,,,,,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,563.3615365999995,None,,,,,,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568.3440897999999,None,None,568.3440897999999,573.3262067999995,,,,,,,,,,,,,CBC_1122,002,5,1,7,3,0.95,2024-08-25_13h49.30.818,MSI_TV_v3,2022.1.1,60.06886294447505,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 2, 3, 1]",0.5454545454545454,0.36363636363636365,0.2727272727272727,0.7272727272727273,21,4,19,,,,,,,,,,,,
