trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,,,,,,3,3,2,b,63,0,2.232488062,2.573610938,None,393.0457631999998,None,395.5957421299996,395.5957421299996,395.61235892999923,None,[],,,['b'],397.59936129999915,None,b,2.3105211000020063,1,0,0.5714285714285714,None,399.8239117999983,None,399.8239117999983,None,[0.3105211000020063],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
35,0,35,0,,,,,,,,,,0,0,2,z,27,1,2.818459073,3.276660373,None,401.8293717999986,None,405.07885422999846,405.07885422999846,405.09517962999837,None,[],,,['b'],407.07811760000004,None,b,2.5766966999999568,0,0,0.5555555555555556,None,409.90704899999946,None,409.90704899999946,None,[0.5766966999999568],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
36,0,36,0,,,,,,,,,,1,1,0,z,63,1,4.176609572,2.407383959,None,411.91213759999846,None,414.29600642999924,414.29600642999924,414.31275453,None,[],,,['b'],416.30165009999837,None,b,2.4607320000013715,0,0,0.5405405405405406,None,420.4717628999988,None,420.4717628999988,None,[0.4607320000013715],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
37,0,37,0,,,,,,,,,,2,3,1,z,27,1,4.309752164,1.293060736,None,422.4795706999994,None,423.7461826299992,423.7461826299992,423.76289612999847,None,[],,,['z'],425.76817369999844,None,z,2.313002700002471,1,1,0.5526315789473685,None,430.07435970000006,None,430.07435970000006,None,[0.3130027000024711],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
38,0,38,0,,,,,,,,,,0,2,3,b,63,1,1.219965572,1.086048241,None,432.0792042999983,None,433.14557472999934,433.14557472999934,433.1614794299991,None,[],,,['b'],435.13848489999873,None,b,2.0394941000013205,1,1,0.5641025641025641,None,436.36137939999935,None,436.36137939999935,None,[0.039494100001320476],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
39,0,39,0,,,,,,,,,,3,2,3,z,63,1,3.884449499,3.321420384,None,438.3625792999992,None,441.66285522999954,441.66285522999954,441.6796074299988,None,[],,,['z'],443.66589380000005,None,z,2.563993300002039,1,1,0.575,None,447.551877599999,None,447.551877599999,None,[0.5639933000020392],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
40,0,40,0,,,,,,,,,,2,1,0,b,63,1,4.21669271,0.789129603,None,449.56275319999986,None,450.32922132999977,450.32922132999977,450.3458208299986,None,[],,,['b'],452.34973229999923,None,b,2.3253592000000936,1,1,0.5853658536585366,None,456.53296520000004,None,456.53296520000004,None,[0.32535920000009355],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
41,0,41,0,,,,,,,,,,1,0,2,b,27,1,2.117809983,1.24796184,None,458.5457031999995,None,459.76284432999876,459.76284432999876,459.7794333299995,None,[],,,['z'],461.76530789999924,None,z,2.8683450000007724,0,0,0.5714285714285714,None,463.87847859999965,None,463.87847859999965,None,[0.8683450000007724],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
42,0,42,0,,,,,,,,,,3,0,3,z,9,1,3.044827724,2.210349838,None,465.87964549999924,None,468.0622684299984,468.0622684299984,468.0792537299991,None,[],,,['b'],470.0660868999985,None,b,2.449635400000261,0,0,0.5581395348837209,None,473.09589949999827,None,473.09589949999827,None,[0.44963540000026114],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
43,0,43,0,,,,,,,,,,0,2,3,b,63,1,1.543156518,3.388090306,None,475.09617529999923,None,478.46286292999923,478.46286292999923,478.4798041299988,None,[],,,['b'],480.46650319999935,None,b,2.3350162000006094,1,1,0.5681818181818182,None,482.00443619999896,None,482.00443619999896,None,[0.3350162000006094],,,,,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,484.01195349999944,None,,,,,,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.9796505999984,None,None,488.9796505999984,493.9631240999988,,,,,,,,,,CBC_1006,4,5,1,5,8,0.95,2023-06-03_13h42.16.778,MSI_TV_v3,2022.1.1,59.98983772180339,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[1, 2, 0, 3]",0.7272727272727273,0.5454545454545454,0.45454545454545453,0.5454545454545454,,,,,,,,,,,,
