trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
36,0,36,0,,,,,,,,,,2,1.0,2.0,b,9.0,1.0,2.949122761,3.388090306,None,391.2438239999992,None,394.6105551299994,394.6105551299994,394.6271767299992,None,[],['b'],[0.3516077000003861],396.61248819999855,None,b,2.351607700000386,1,1,0.6756756756756757,None,399.57283259999895,None,399.57283259999895,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
37,0,37,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,1.556335756,3.276660373,None,401.57722569999896,None,404.8273500299989,404.8273500299989,404.84399093000013,None,[],['b'],[0.12313030000041181],406.83146139999917,None,b,2.123130300000412,0,0,0.6578947368421053,None,408.37631729999885,None,408.37631729999885,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
38,0,38,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.268032915,2.407383959,None,410.37726889999976,None,412.76064392999854,412.76064392999854,412.7772172299998,None,[],"['z', 'b', 'b']","[0.03314940000018396, 0.5548469999994268, 2.205482600000323]",414.7633552999996,None,z,2.033149400000184,0,0,0.6410256410256411,None,419.0338058999987,None,419.0338058999987,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
39,0,39,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,2.67601813,2.573610938,None,421.0439074999995,None,423.59453002999965,423.59453002999965,423.6106329299988,b,['b'],None,,425.6338641000002,None,b,1.598996900000202,0,0,0.625,None,428.3034536999985,None,428.3034536999985,None,1.598996900000202,[1.598996900000202],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
40,0,40,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.589438522,2.962224669,None,430.31056199999875,None,433.2439416299991,433.2439416299991,433.26116092999894,z,['z'],None,,435.28348670000014,None,z,1.6698168000002624,0,0,0.6097560975609756,None,438.87082849999933,None,438.87082849999933,None,1.6698168000002624,[1.6698168000002624],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
41,0,41,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,1.543156518,1.883772966,None,440.8772620999989,None,442.7441670300001,442.7441670300001,442.76055832999975,None,[],['z'],[1.3181401999991067],444.74182649999966,None,z,3.3181401999991067,1,1,0.6190476190476191,None,446.3018597999999,None,446.3018597999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
42,0,42,0,,,,,,,,,,3,3.0,2.0,b,63.0,1.0,1.595506577,2.071213329,None,448.3108264000002,None,450.3606629299999,450.3606629299999,450.3771783299986,None,[],None,,452.35843399999976,None,None,[],0,3,0.6046511627906976,None,453.96835949999877,None,453.96835949999877,None,,,,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
43,0,43,0,,,,,,,,,,2,1.0,0.0,b,63.0,1.0,2.117809983,1.732943574,None,455.9775101999985,None,457.6934293299988,457.6934293299988,457.7098114299994,b,['b'],None,,459.7265235999985,None,b,1.3217303000001266,1,1,0.6136363636363636,None,461.8538198999995,None,461.8538198999995,None,1.3217303000001266,[1.3217303000001266],,,,,,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,463.86067959999855,None,,,,,,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468.8439645999988,None,None,468.8439645999988,473.8276146999997,,,,,,,,,,CBC_1003,3,5,3,3,2,0.95,2023-06-14_16h21.52.910,MSI_TV_v3,2022.1.1,59.9311630656484,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 2, 1, 3]",0.8181818181818182,0.6363636363636364,0.45454545454545453,0.5454545454545454,,,,,,,,,,,,
