trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.77034425507967,1.53243550275999,None,648.9317339000004,None,650.4482784900001,650.4482784900001,650.4648079899998,None,[],['z'],652.446934,None,z,3.5252717999997003,1,1,0.7272727272727273,None,657.2293563999997,None,657.2293563999997,None,,,,[1.5252717999997003],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
33,0,33,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,2.629554641171433,2.15533949826702,None,659.0317473,None,661.1649628900004,661.1649628900004,661.18175849,None,[],['z'],663.1703382000001,None,z,2.4376289999995606,1,1,0.7352941176470589,None,665.8001331,None,665.8001331,None,,,,[0.4376289999995606],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
34,0,34,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,2.82320408183943,1.21250262048173,None,667.6142708000002,None,668.7986380900002,668.7986380900002,668.8151528899998,None,[],['b'],670.8021826999998,None,b,3.154838999999356,1,1,0.7428571428571429,None,673.6211781999996,None,673.6211781999996,None,,,,[1.154838999999356],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
35,0,35,0,,,,,,,,,,1,2.0,3.0,b,63.0,1.0,4.190022164497369,1.38289892513751,None,675.4309451000004,None,676.7819550900003,676.7819550900003,676.79924029,None,[],['z'],678.7884271999997,None,z,3.0010173000005125,0,0,0.7222222222222222,None,682.9739483999997,None,682.9739483999997,None,,,,[1.0010173000005125],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
36,0,36,0,,,,,,,,,,1,0.0,2.0,z,27.0,1.0,3.68371079902891,1.34668860557497,None,684.7824437000004,None,686.0985726899999,686.0985726899999,686.1149967900001,None,[],['z'],688.0994595999996,None,z,3.6773610000004737,1,1,0.7297297297297297,None,691.8031483,None,691.8031483,None,,,,[1.6773610000004737],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
37,0,37,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,2.294664843639333,1.52290599571961,None,693.6151521999996,None,695.1151143899997,695.1151143899997,695.1318563900004,None,[],['z'],697.1211876000002,None,z,2.5054724999995415,1,1,0.7368421052631579,None,699.4225020999997,None,699.4225020999997,None,,,,[0.5054724999995415],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
38,0,38,0,,,,,,,,,,2,0.0,3.0,b,9.0,1.0,2.592312596923728,1.78643585472448,None,701.2308774999997,None,702.99920269,702.99920269,703.0154007900001,None,[],['b'],705.0033142999996,None,b,3.2837281999995866,1,1,0.7435897435897436,None,707.6060954,None,707.6060954,None,,,,[1.2837281999995866],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
39,0,39,0,,,,,,,,,,1,2.0,3.0,b,63.0,0.0,3.76873691643126,1.25817747924478,None,709.4148848,None,710.6484841900001,710.6484841900001,710.6653892900003,None,[],['z'],712.6541904000001,None,z,3.0999151999999413,0,1,0.725,None,716.4393228000004,None,716.4393228000004,None,,,,[1.0999151999999413],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
40,0,40,0,,,,,,,,,,2,0.0,1.0,b,63.0,1.0,3.73326136168326,1.94858485820231,None,718.2484596999998,None,720.1819879900004,720.1819879900004,720.1991929900005,None,[],['z'],722.1893813000002,None,z,2.8237911000001077,0,0,0.7073170731707317,None,725.9170361000001,None,725.9170361000001,None,,,,[0.8237911000001077],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
41,0,41,0,,,,,,,,,,0,2.0,3.0,z,63.0,1.0,4.7533305109883095,0.917519910446003,None,727.7321495000001,None,728.6324419900002,728.6324419900002,728.6492101900003,None,[],['z'],730.6388835000002,None,z,3.0391943000008723,1,1,0.7142857142857143,None,735.3779317000003,None,735.3779317000003,None,,,,[1.0391943000008723],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
42,0,42,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.2062024266105302,1.95130344756745,None,737.1824438999997,None,739.1153767900005,739.1153767900005,739.13216629,None,[],['z'],741.1214285000001,None,z,3.228398499999912,1,1,0.7209302325581395,None,744.3177106999997,None,744.3177106999997,None,,,,[1.228398499999912],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
43,0,43,0,,,,,,,,,,0,3.0,1.0,b,27.0,1.0,2.792365600763554,2.22427187882546,None,746.1322396,None,748.3321423899997,748.3321423899997,748.3490376899999,None,[],['b'],750.3406133000003,None,b,2.1226364999997713,1,1,0.7272727272727273,None,753.1291579000003,None,753.1291579000003,None,,,,[0.12263649999977133],,,,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,754.9312526999997,None,,,,,,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.9149781000001,None,None,759.9149781000001,764.8980464000001,,,,,,,,,,,,,CBC_1112,001,6,1,2,17,0.95,2024-09-06_16h58.36.381,MSI_TV_v3,2022.1.1,59.86554199262929,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[2, 3, 1, 0]",0.45454545454545453,0.9090909090909091,0.8181818181818182,0.7272727272727273,32,2,10,,,,,,,,,,,,
