trials_runs.thisRepN;trials_runs.thisTrialN;trials_runs.thisN;trials_runs.thisIndex;standbild_start.started;standbild_start.stopped;trigger.keys;trigger.rt;trigger.started;trigger.stopped;keys_2.keys;keys_2.started;keys_2.stopped;trials_runs.tactile_stim;trials_runs.visual_stim_left;trials_runs.visual_stim_right;trials_runs.correctKey;trials_runs.presentationFrequncy;trials_runs.FBaccuracy;trials_runs.ISI_s;trials_runs.ITI_s;keys_3.keys;keys_3.started;keys_3.stopped;image_stim_left.started;image_stim_right.started;tactile.started;response_4.keys;allKeys.keys;response_5.keys;response_5.rt;response_5.started;response_5.stopped;response_runs.keys;response_runs.rt;trials_runs.correct_answer;trials_runs.feedback_given;trials_runs.running_mean;feedback_6.stopped;feedback_6.started;keys_6.keys;keys_6.started;keys_6.stopped;response_4.rt;allKeys.rt;keys_6.rt;keys_7.keys;keys_7.started;keys_7.stopped;standbild_end.started;standbild_end.stopped;Stop_exp.keys;Stop_exp.started;Stop_exp.stopped;trials_runs.rightKey;trials_runs.leftKey;ts_difficulty;visualPair;tactilePair;trials_runs.mean_acc_1stFourth;trials_runs.mean_acc_2ndFourth;trials_runs.mean_acc_3rdFourth;trials_runs.mean_acc_4thFourth;nbCorrect;nbOmissions;nbIncorrect;participant;session;visual set [1-6];tactile set [1-3];trial structure [0-3 / 4-7];pairing [0-23];prob Feedback;date;expName;psychopyVersion;frameRate
20;0;20;0;;;;;;;;;;2;3;2;z;63;1;3.768736916;2.403787129;None;350.0043871;None;352.3737042;352.3737042;352.3907872;b;['b'];None;;354.4153915;None;b;1.8948564;0;0;0.619047619;None;358.1836193;None;358.1836193;None;1.8948564;[1.894856399998389];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
21;0;21;0;;;;;;;;;;1;3;1;b;27;1;3.206202427;2.224271879;None;359.9904632;None;362.1903279;362.1903279;362.2075636;None;[];['b'];[0.4511490999993839];364.1931825;None;b;2.4511491;1;1;0.636363636;None;367.392001;None;367.392001;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
22;0;22;0;;;;;;;;;;3;0;1;b;63;1;3.022342361;1.531228355;None;369.2071793;None;370.7238082;370.7238082;370.7405066;b;['b'];None;;372.7640946;None;b;1.8392794;1;1;0.652173913;None;375.7995124;None;375.7995124;None;1.8392794;[1.8392793999992136];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
23;0;23;0;;;;;;;;;;2;3;2;z;63;1;2.792365601;0.97977615;None;377.590952;None;378.5571593;378.5571593;378.5738289;None;[];['b'];[1.0023747999985062];380.560926;None;b;3.0023748;0;0;0.625;None;383.3557774;None;383.3557774;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
24;0;24;0;;;;;;;;;;3;0;2;b;27;1;2.294664844;1.607319379;None;385.1572044;None;386.7406787;386.7406787;386.7572556;b;['b'];None;;388.7814815;None;b;1.4506734;1;1;0.64;None;391.0846274;None;391.0846274;None;1.4506734;[1.4506733999987773];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
25;0;25;0;;;;;;;;;;0;1;0;b;63;1;2.91303524;0.974903167;None;392.9000858;None;393.8574832;393.8574832;393.8742074;None;[];['b'];[0.45945909999863943];395.860965;None;b;2.4594591;1;1;0.653846154;None;398.7793917;None;398.7793917;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
26;0;26;0;;;;;;;;;;0;0;1;z;63;1;3.733261362;2.498395274;None;400.5910982;None;403.0739312;403.0739312;403.0904694;None;[];['z'];[0.6094351999981882];405.0774154;None;z;2.6094352;1;1;0.666666667;None;408.8164395;['z'];408.8164395;None;;;[1.4199595999998564];;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
27;0;27;0;;;;;;;;;;2;3;2;z;63;1;3.643838655;0.777036402;None;410.6240194;None;411.3737399;411.3737399;411.3903101;b;['b'];None;;413.4128818;None;b;1.9760787;0;0;0.642857143;None;417.0666542;None;417.0666542;None;1.9760787;[1.9760786999995616];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
28;0;28;0;;;;;;;;;;1;3;1;b;27;1;2.629554641;1.258177479;None;418.8739843;None;420.1072759;420.1072759;420.1239482;None;[];['b'];[0.377951700000267];422.1107034;None;b;2.3779517;1;1;0.655172414;None;424.7309078;None;424.7309078;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
29;0;29;0;;;;;;;;;;2;1;2;z;9;1;3.372878561;3.331249833;None;426.5406865;None;429.8574689;429.8574689;429.8740584;None;[];['z'];[0.8204375999994227];431.8597448;None;z;2.8204376;1;1;0.666666667;None;435.2401034;None;435.2401034;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
30;0;30;0;;;;;;;;;;0;3;1;z;27;1;2.666404968;1.180657385;None;437.0406486;None;438.2074263;438.2074263;438.2248037;z;['z'];None;;440.2490496;None;z;1.477909;1;1;0.677419355;None;442.9189448;None;442.9189448;None;1.477909;[1.477908999999272];;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
31;0;31;0;;;;;;;;;;1;3;2;b;63;1;3.713727101;2.966530537;None;444.724048;None;447.6740135;447.6740135;447.690776;None;[];['z'];[0.48475239999970654];449.6771609;None;z;2.4847524;0;0;0.65625;None;453.3966849;None;453.3966849;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
32;0;32;0;;;;;;;;;;0;0;1;z;63;1;2.713456592;3.245693266;None;455.2076622;None;458.440808;458.440808;458.457473;None;[];['z'];[0.3110510999995313];460.4440259;None;z;2.3110511;1;1;0.666666667;None;463.1571808;None;463.1571808;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
33;0;33;0;;;;;;;;;;3;1;0;z;63;0;3.265390635;1.259201458;None;464.9577089;None;466.1908347;466.1908347;466.2080894;None;[];['z'];[0.2550929000008182];468.1964137;None;z;2.2550929;1;0;0.676470588;None;471.4636426;None;471.4636426;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
34;0;34;0;;;;;;;;;;2;2;3;b;63;1;2.693348633;3.196300833;None;473.2742071;None;476.4574941;476.4574941;476.4744302;None;[];['z'];[0.863031900000351];478.4628218;None;z;2.8630319;0;0;0.657142857;None;481.1470761;None;481.1470761;None;;;;;;;;;;;;;;;;;;;;;;;;CBC_1020;4;5;1;7;19;0.95;2023-06-28_16h55.43.253;MSI_TV_v3;01.01.2022;59.89272016
