trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
35,0,35,0,,,,,,,,,,1,2,0,b,27,1,2.526044641065533,3.4543169006169,None,399.48745959999997,None,402.9570721,None,402.9570721,None,402.9540334499998,None,None,402.9570721,None,['b'],[0.7345707999993465],404.9374082000004,None,b,2.7345707999993465,1,1,0.6666666666666666,407.4542197999999,None,None,407.4542197999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
36,0,36,0,,,,,,,,,,2,0,1,b,63,1,2.592312596923728,1.94858485820231,None,409.2541194000005,None,411.2238143000004,None,411.2238143000004,None,411.22089255,None,['z'],411.2238143000004,None,None,,413.2170997000003,None,z,1.7565008000001399,0,0,0.6486486486486487,415.8078512000002,None,None,415.8078512000002,None,,[1.7565008000001399],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
37,0,37,0,,,,,,,,,,3,1,3,b,27,1,2.294664843639333,2.15533949826702,None,417.62092589999975,None,419.78927829999975,None,419.78927829999975,None,419.7875230500004,None,None,419.78927829999975,None,['b'],[0.4083458999994036],421.77079980000053,None,b,2.4083458999994036,1,1,0.6578947368421053,424.05431750000025,None,None,424.05431750000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
38,0,38,0,,,,,,,,,,1,3,2,z,63,1,2.678526077912375,1.95130344756745,None,425.8544546000003,None,427.8249996000004,None,427.8249996000004,None,427.8207865499999,None,None,427.8249996000004,None,['z'],[2.100016699999287],429.8039540999998,None,z,4.100016699999287,1,1,0.6666666666666666,432.4745433999997,None,None,432.4745433999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
39,0,39,0,,,,,,,,,,0,3,2,b,63,1,2.792365600763554,1.25817747924478,None,434.2873681000001,None,435.5576292000005,None,435.5576292000005,None,435.55425995000047,None,['b'],435.5576292000005,None,None,,437.55235859999993,None,b,1.9413345999992089,1,1,0.675,440.3426405,None,None,440.3426405,None,,[1.9413345999992089],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
40,0,40,0,,,,,,,,,,3,0,1,z,63,1,4.77723667052879,3.06992456303453,None,442.15426730000036,None,445.2441220999999,None,445.2441220999999,None,445.25429200000036,None,None,445.2441220999999,None,['z'],[0.11716419999902428],447.2207840000001,None,z,2.1171641999990243,1,1,0.6829268292682927,451.99416740000015,None,None,451.99416740000015,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
41,0,41,0,,,,,,,,,,2,2,0,z,27,1,2.629554641171433,1.25920145784721,None,453.8039719999997,None,455.07885540000007,None,455.07885540000007,None,455.08790279999977,None,None,455.07885540000007,None,['z'],[0.5423217999996268],457.0541867000002,None,z,2.542321799999627,1,1,0.6904761904761905,459.67772650000006,None,None,459.67772650000006,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
42,0,42,0,,,,,,,,,,0,3,0,b,9,1,4.61004669244928,0.917519910446003,None,461.4877827,None,462.42580439999983,None,462.42580439999983,None,462.4377253999999,None,None,462.42580439999983,None,['z'],[1.5071579999994356],464.4043216,None,z,3.5071579999994356,0,0,0.6744186046511628,469.00132029999986,None,None,469.00132029999986,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
43,0,43,0,,,,,,,,,,1,3,2,z,63,1,4.77034425507967,2.96653053743745,None,470.8044209999998,None,473.7900457000005,None,473.7900457000005,None,473.78764504999987,None,['z'],473.7900457000005,None,None,,475.78482260000055,None,z,1.3643260999997437,1,1,0.6818181818181818,480.56174910000027,None,None,480.56174910000027,None,,[1.3643260999997437],,,,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,482.3711929000001,None,,,,,,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.3710080000001,None,None,487.3710080000001,None,,,,,,,,,,,,,CBC_1112,002,5,3,1,17,0.95,2024-09-06_17h07.21.236,MSI_AV_v3,2022.1.1,60.37713976562664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[2, 3, 1, 0]",0.5454545454545454,0.7272727272727273,0.6363636363636364,0.8181818181818182,30,1,13,,,,,,,,,,,,
