trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
9,0,9,0,,,,,,,,,,3,0,3,z,9,1,3.589438522,1.378098418,None,161.86505269999998,None,163.21514269,163.21514269,163.23192458999984,z,['z'],None,165.25738649999948,None,z,1.7859630000002653,1,1,0.5,None,168.84744939999928,None,168.84744939999928,None,,1.7859630000002653,[1.7859630000002653],,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
10,0,10,0,,,,,,,,,,0,3,2,z,63,1,4.21669271,1.086048241,None,170.8483852999998,None,171.91497248999985,171.91497248999985,171.93162868999934,None,[],['b'],173.91411929999958,None,b,2.482550500000798,0,0,0.45454545454545453,None,178.14565309999944,None,178.14565309999944,None,[0.4825505000007979],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
11,0,11,0,,,,,,,,,,2,1,0,b,63,1,1.90573091,0.971483559,None,180.1602527999994,None,181.09846838999965,181.09846838999965,181.11527578999994,None,[],['b'],183.10167699999965,None,b,2.7512067000006937,1,1,0.5,None,185.0150840999995,None,185.0150840999995,None,[0.7512067000006937],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
12,0,12,0,,,,,,,,,,3,3,2,b,63,1,2.397501916,1.554037824,None,187.0143780999997,None,188.54835658999946,188.54835658999946,188.5651457899994,None,[],['z'],190.55166370000006,None,z,2.4052609000000302,0,0,0.46153846153846156,None,192.95434059999934,None,192.95434059999934,None,[0.40526090000003023],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
13,0,13,0,,,,,,,,,,0,3,2,z,63,1,1.887650177,1.08099246,None,194.96500809999998,None,196.03180898999926,196.03180898999926,196.0484687899998,None,[],['b'],198.03482409999924,None,b,2.391054000000622,0,0,0.42857142857142855,None,199.93522159999975,None,199.93522159999975,None,[0.3910540000006222],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
14,0,14,0,,,,,,,,,,2,1,3,b,27,1,1.543156518,1.883772966,None,201.94800909999958,None,203.81518738999966,203.81518738999966,203.83178159,None,[],['z'],205.81759069999953,None,z,2.324367799999891,0,0,0.4,None,207.3596033999993,None,207.3596033999993,None,[0.32436779999989085],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
15,0,15,0,,,,,,,,,,1,3,0,z,9,1,1.6718976049999998,2.071213329,None,209.36538139999993,None,211.41553358999954,211.41553358999954,211.43218998999964,None,[],['b'],213.41713269999946,None,b,2.799828200000775,0,0,0.375,None,215.1004757999999,None,215.1004757999999,None,[0.7998282000007748],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
16,0,16,0,,,,,,,,,,3,3,2,b,63,1,1.109698721,1.448890429,None,217.1154145999999,None,218.54839248999997,218.54839248999997,218.56512079000004,None,[],None,220.56852979999985,None,None,[],0,3,0.35294117647058826,None,221.6906737999998,None,221.6906737999998,None,,,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
17,0,17,0,,,,,,,,,,0,2,0,b,27,1,1.899747326,3.274187802,None,223.69921019999947,None,226.94851288999962,226.94851288999962,226.96515739000006,b,['b'],None,228.9892037999998,None,b,1.9314087000002473,1,1,0.3888888888888889,None,230.89375689999997,None,230.89375689999997,None,,1.9314087000002473,[1.9314087000002473],,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
18,0,18,0,,,,,,,,,,1,1,0,z,63,1,3.278108735,1.483424551,None,232.8980744999999,None,234.3657405899994,234.3657405899994,234.3821999899992,None,[],['b'],236.36835410000003,None,b,2.3574643000001743,0,0,0.3684210526315789,None,239.67080739999983,None,239.67080739999983,None,[0.35746430000017426],,,,,,,,,,,,,,,,,,,,CBC_1006,2,4,3,6,8,0.9,2023-06-03_12h08.01.236,MSI_TV_v3,2022.1.1,60.07304882740825,
