trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
15,0,15,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,3.7500315165247198,1.52290599571961,None,233.50676480000038,None,235.0079917900006,235.0079917900006,235.024429290001,None,[],['z'],[0.6776725999989139],237.01185120000082,None,z,2.677672599998914,1,1,0.6875,None,240.7758563999996,None,240.7758563999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
16,0,16,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,4.61004669244928,0.974903167432984,None,242.59082359999957,None,243.53989288999983,243.53989288999983,243.55639709000062,None,[],['b'],[2.782331399997929],245.5363441999998,None,b,4.782331399997929,1,1,0.7058823529411765,None,250.13787989999946,None,250.13787989999946,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
17,0,17,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,4.53337421950507,1.25920145784721,None,251.94115799999963,None,253.17412879000076,253.17412879000076,253.19083999000068,None,[],['b'],[0.7027159999979631],255.17794800000047,None,b,2.702715999997963,0,0,0.6666666666666666,None,259.71868600000016,None,259.71868600000016,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
18,0,18,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,2.342239579230602,1.38289892513751,None,261.5237562000002,None,262.8910543900005,262.8910543900005,262.9078717899996,None,[],['b'],[0.4169960999988689],264.89670529999967,None,b,2.416996099998869,1,1,0.6842105263157895,None,267.2477916000007,None,267.2477916000007,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
19,0,19,0,,,,,,,,,,1,3.0,0.0,b,9.0,1.0,3.3728785608729996,1.90743690794447,None,269.0578939999996,None,270.941183790001,270.941183790001,270.95778649000056,None,[],['z'],[1.6861090999973385],272.9480540000004,None,z,3.6861090999973385,0,0,0.65,None,276.32505130000027,None,276.32505130000027,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
20,0,20,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.26539063535182,1.43470440954152,None,278.12413190000007,None,279.5402272899995,279.5402272899995,279.55722898999954,None,[],['b'],[0.6331805999980133],281.5356948000008,None,b,2.6331805999980133,0,0,0.6190476190476191,None,284.8001115999996,None,284.8001115999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
21,0,21,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,4.77034425507967,1.36309078069689,None,286.6075228000009,None,287.9578897899995,287.9578897899995,287.97443238999983,None,[],['b'],[0.48531219999858877],289.9583591999999,None,b,2.4853121999985888,1,1,0.6363636363636364,None,294.7340925999997,None,294.7340925999997,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
22,0,22,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,2.517541937862754,1.53243550275999,None,296.54088430000047,None,298.0578858900011,298.0578858900011,298.0745420900006,None,[],['b'],[0.5722340999982407],300.05684380000093,None,b,2.5722340999982407,0,0,0.6086956521739131,None,302.5828171000012,None,302.5828171000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
23,0,23,0,,,,,,,,,,0,2.0,0.0,z,27.0,1.0,2.678526077912375,2.49839527409216,None,304.39090130000113,None,306.87450989000024,306.87450989000024,306.8911779900012,None,[],None,,308.8797358000011,None,None,[],0,3,0.5833333333333334,None,311.56746960000055,['z'],311.56746960000055,None,[0.9229946999985259],,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
24,0,24,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,3.76873691643126,1.34668860557497,None,313.3743512000001,None,314.70790309000074,314.70790309000074,314.72461859000066,None,[],['z'],[0.9115947999980563],316.71355030000086,None,z,2.9115947999980563,1,1,0.6,None,320.4911940000002,None,320.4911940000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
25,0,25,0,,,,,,,,,,1,3.0,2.0,b,63.0,1.0,3.68371079902891,2.6299100644723,None,322.29159210000034,None,324.9079618899999,324.9079618899999,324.9246686900009,b,['b'],None,,326.95019090000096,None,b,1.5020933999985573,1,1,0.6153846153846154,None,330.62356250000084,None,330.62356250000084,None,,1.5020933999985573,[1.5020933999985573],,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
26,0,26,0,,,,,,,,,,3,2.0,1.0,z,9.0,1.0,4.40017271499661,2.15533949826702,None,332.4241639000011,None,334.5575968899997,334.5575968899997,334.5741568899997,None,[],['b'],[1.3977315999982238],336.5617911999998,None,b,3.397731599998224,0,0,0.5925925925925926,None,340.9570769000002,None,340.9570769000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
27,0,27,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,3.6438386551209,3.40155979865722,None,342.757791,None,346.1402525899997,346.1402525899997,346.1566165900007,None,[],['z'],[1.3121133000004193],348.1372647999997,None,z,3.3121133000004193,0,0,0.5714285714285714,None,351.779169200001,None,351.779169200001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
28,0,28,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.2062024266105302,1.12425433982333,None,353.59025830000064,None,354.6912471899999,354.6912471899999,354.70805488999974,None,[],['b'],[0.8336848999988433],356.69720510000116,None,b,2.8336848999988433,1,1,0.5862068965517241,None,359.9114516999998,None,359.9114516999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
29,0,29,0,,,,,,,,,,0,1.0,0.0,z,63.0,1.0,2.592312596923728,0.77703640172831,None,361.7240438000008,None,362.47431388999973,362.47431388999973,362.4911026900012,None,[],['z'],[0.5790077999990899],364.4800875000001,None,z,2.57900779999909,1,1,0.6,None,367.0846333999998,None,367.0846333999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
30,0,30,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,3.73326136168326,1.64421109900286,None,368.8914420000001,None,370.50820668999984,370.50820668999984,370.5244541899996,None,[],['b'],[0.7163312999982736],372.5124651999995,None,b,2.7163312999982736,1,1,0.6129032258064516,None,376.25581369999963,None,376.25581369999963,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
31,0,31,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.693348633324513,0.80788063606262,None,378.05802330000006,None,378.8414272900012,378.8414272900012,378.8580554900003,None,[],['b'],[1.2778887999975268],380.8444044000007,None,b,3.277888799997527,1,1,0.625,None,383.540539900001,None,383.540539900001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
32,0,32,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.01714354611405,2.96653053743745,None,385.3410275999995,None,388.2910339900012,388.2910339900012,388.30854709000084,None,[],['z'],[2.3117019000001164],390.2973294000003,None,z,4.311701900000116,1,1,0.6363636363636364,None,394.3166464999995,None,394.3166464999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
33,0,33,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.666404967794728,1.27538462653558,None,396.1244402000011,None,397.37398089000123,397.37398089000123,397.3902289900001,None,[],['z'],[0.910341699998753],399.37135579999995,None,z,2.910341699998753,1,1,0.6470588235294118,None,402.04144129999986,None,402.04144129999986,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
34,0,34,0,,,,,,,,,,3,1.0,3.0,b,27.0,1.0,2.792365600763554,1.78643585472448,None,403.8415165000006,None,405.6078722900005,405.6078722900005,405.62464788999966,None,[],['z'],[2.115160699999251],407.60729060000085,None,z,4.115160699999251,0,0,0.6285714285714286,None,410.4029018000001,None,410.4029018000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
35,0,35,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.2759877950103027,3.24569326556923,None,412.2078007,None,415.44002539000064,415.44002539000064,415.4566532900011,None,[],['z'],[1.2535935999985668],417.43599600000016,None,z,3.253593599998567,0,0,0.6111111111111112,None,419.71189290000075,None,419.71189290000075,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
36,0,36,0,,,,,,,,,,2,0.0,2.0,z,27.0,1.0,4.82531807167306,1.53122835510861,None,421.5244855000001,None,423.0403064900005,423.0403064900005,423.0572333900003,None,[],['b'],[3.5615129999987403],425.03773080000065,None,b,5.56151299999874,0,0,0.5945945945945946,None,429.85127099999954,None,429.85127099999954,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
37,0,37,0,,,,,,,,,,3,0.0,1.0,z,63.0,1.0,4.52047235037039,1.21250262048173,None,431.6579763999998,None,432.8581911900004,432.8581911900004,432.8748944900002,None,[],['z'],[2.056739199997537],434.8635942000001,None,z,4.056739199997537,1,1,0.6052631578947368,None,439.38611990000027,None,439.38611990000027,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
38,0,38,0,,,,,,,,,,0,0.0,3.0,b,9.0,1.0,4.7533305109883095,1.60731937853708,None,441.1910287999999,None,442.7748685900009,442.7748685900009,442.79134078999994,None,[],['b'],[0.2982473999982176],444.7775786000002,None,b,2.2982473999982176,1,1,0.6153846153846154,None,449.5409727999995,None,449.5409727999995,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
39,0,39,0,,,,,,,,,,2,2.0,3.0,b,63.0,0.0,4.11514536789087,0.761758675042088,None,451.34034640000027,None,452.0749002899996,452.0749002899996,452.09164179000106,None,[],['z'],[0.9039725999973598],454.0785565999995,None,z,2.90397259999736,0,1,0.6,None,458.1956041000012,None,458.1956041000012,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
40,0,40,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,2.496959177995529,2.78346932462847,None,460.0082233000012,None,462.77482948999966,462.77482948999966,462.7912735900012,None,[],['b'],[0.9860527999990154],464.7793750000001,None,b,2.9860527999990154,1,1,0.6097560975609756,None,467.2797625000003,None,467.2797625000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
41,0,41,0,,,,,,,,,,1,2.0,3.0,z,63.0,1.0,2.92731383428727,1.18065738546375,None,469.0915720000012,None,470.2580046900006,470.2580046900006,470.27457938999976,None,[],['z'],[0.7028208999981871],472.26229539999986,None,z,2.702820899998187,1,1,0.6190476190476191,None,475.1896101000002,None,475.1896101000002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
42,0,42,0,,,,,,,,,,2,3.0,2.0,z,63.0,1.0,4.46924002178158,0.952147612306987,None,476.9916129000012,None,477.9249959900011,477.9249959900011,477.9416608899995,None,[],['b'],[1.3059624999987136],479.9277997999998,None,b,3.3059624999987136,0,0,0.6046511627906976,None,484.39763760000096,None,484.39763760000096,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
43,0,43,0,,,,,,,,,,1,3.0,1.0,b,27.0,1.0,2.7134565917469198,3.4543169006169,None,486.207965900001,None,489.64108889000124,489.64108889000124,489.6580190900007,None,[],['b'],[1.3464369999983319],491.6469202999997,None,b,3.346436999998332,1,1,0.6136363636363636,None,494.3622945999996,None,494.3622945999996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,496.1745883000003,None,,,,,,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.15815420000035,None,None,501.15815420000035,506.1247024000004,,,,,,,,,,,,,CBC_1030,3,4,3,2,5,0.95,2023-08-23_15h54.43.458,MSI_TV_v3,2022.1.1,60.013635097357536,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[0, 3, 2, 1]",0.7272727272727273,0.5454545454545454,0.6363636363636364,0.5454545454545454,27,3,14,,,,,,,,,,,,
