trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,1,0,b,63,1,4.72585056748869,2.6299100644723,None,377.40869100000054,None,380.06192830000145,None,380.06192830000145,None,380.0587518500029,None,None,380.06192830000145,None,['b'],[0.5156601999951818],382.0421150000002,None,b,2.5156601999951818,1,1,0.8888888888888888,386.7650715000018,None,None,386.7650715000018,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
9,0,9,0,,,,,,,,,,1,1,3,z,27,1,2.629554641171433,0.77703640172831,None,388.575985200001,None,389.3681570000008,None,389.3681570000008,None,389.3755911000015,None,None,389.3681570000008,None,['b'],[1.661349699999846],391.34203139999954,None,b,3.661349699999846,0,0,0.8,393.9527945000009,None,None,393.9527945000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
10,0,10,0,,,,,,,,,,2,3,2,z,63,1,2.678526077912375,2.40378712856304,None,395.7588648000019,None,398.18311600000015,None,398.18311600000015,None,398.19207060000264,None,None,398.18311600000015,None,['b'],[0.7812472000005073],400.15878370000064,None,b,2.7812472000005073,0,0,0.7272727272727273,402.82920800000284,None,None,402.82920800000284,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
11,0,11,0,,,,,,,,,,3,1,0,b,63,1,2.496959177995529,3.06992456303453,None,404.6420012000017,None,407.73142279999956,None,407.73142279999956,None,407.74218600000023,None,None,407.73142279999956,None,['z'],[0.39244589999725576],409.7088423000023,None,z,2.3924458999972558,0,0,0.6666666666666666,412.1987647999995,None,None,412.1987647999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
12,0,12,0,,,,,,,,,,0,0,1,b,63,1,3.35133458220192,1.27538462653558,None,414.00884679999945,None,415.2967686000011,None,415.2967686000011,None,415.2927892500007,None,None,415.2967686000011,None,['z'],[1.2278531000010844],417.2755524999993,None,z,3.2278531000010844,0,0,0.6153846153846154,420.60837190000166,None,None,420.60837190000166,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
13,0,13,0,,,,,,,,,,2,1,2,z,9,1,4.12485271162806,0.952147612306987,None,422.40891349999947,None,423.3822282000001,None,423.3822282000001,None,423.3923170000024,None,None,423.3822282000001,None,['z'],[1.1170412999999826],425.3587879000006,None,z,3.1170412999999826,1,1,0.6428571428571429,429.4690991000025,None,None,429.4690991000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
14,0,14,0,,,,,,,,,,0,1,0,z,63,1,4.77034425507967,3.40155979865722,None,431.2756866000018,None,434.6961255999995,None,434.6961255999995,None,434.69230315000055,None,None,434.6961255999995,None,['z'],[0.776844699998037],436.67568460000257,None,z,2.776844699998037,1,1,0.6666666666666666,441.44167310000194,None,None,441.44167310000194,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
15,0,15,0,,,,,,,,,,1,3,1,b,27,1,4.77723667052879,3.1963008326951,None,443.2429136999999,None,446.4633315000028,None,446.4633315000028,None,446.45896455000144,None,None,446.4633315000028,None,['b'],[0.530467900000076],448.44224210000175,None,b,2.530467900000076,1,1,0.6875,453.20832350000273,None,None,453.20832350000273,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
16,0,16,0,,,,,,,,,,3,0,1,z,63,1,3.02234236141277,1.25920145784721,None,455.0089917000005,None,456.2810621000026,None,456.2810621000026,None,456.2924209000019,None,None,456.2810621000026,None,['z'],[1.8712777999971877],458.25952920000054,None,z,3.8712777999971877,1,1,0.7058823529411765,461.2805843999995,None,None,461.2805843999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
17,0,17,0,,,,,,,,,,2,2,3,b,63,0,2.433630701072358,0.761758675042088,None,463.09242839999933,None,463.88442430000214,None,463.88442430000214,None,463.8925387000025,None,None,463.88442430000214,None,['b'],[0.6890807999989192],465.8595413000003,None,b,2.6890807999989192,1,0,0.7222222222222222,468.2751425999995,None,None,468.2751425999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
18,0,18,0,,,,,,,,,,0,2,0,z,27,1,3.68371079902891,2.15533949826702,None,470.0765587999995,None,472.24747840000055,None,472.24747840000055,None,472.259017600002,None,None,472.24747840000055,None,['b'],[1.701479700001073],474.2255890000015,None,b,3.701479700001073,0,0,0.6842105263157895,477.89435720000256,None,None,477.89435720000256,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
19,0,19,0,,,,,,,,,,1,3,2,b,63,1,2.592312596923728,1.78643585472448,None,479.7087640999998,None,481.49627070000133,None,481.49627070000133,None,481.5087785499996,None,None,481.49627070000133,None,['z'],[1.2265564999979688],483.47594590000153,None,z,3.226556499997969,0,0,0.65,486.0666111999999,None,None,486.0666111999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
20,0,20,0,,,,,,,,,,3,3,1,z,27,1,2.91303524001082,1.18065738546375,None,487.87575819999984,None,489.0612669000002,None,489.0612669000002,None,489.05824229999996,None,None,489.0612669000002,None,['z'],[0.4081306999978551],491.04238480000276,None,z,2.408130699997855,1,1,0.6666666666666666,493.93980759999977,None,None,493.93980759999977,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
21,0,21,0,,,,,,,,,,2,3,2,z,63,1,3.31929419319838,2.78346932462847,None,495.7425163000007,None,498.54400630000237,None,498.54400630000237,None,498.5423464500014,None,None,498.54400630000237,None,['b'],[0.6313018999971973],500.52572409999993,None,b,2.6313018999971973,0,0,0.6363636363636364,503.84503210000184,None,None,503.84503210000184,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
22,0,22,0,,,,,,,,,,0,0,1,b,63,0,2.82320408183943,3.4543169006169,None,505.66009119999944,None,509.1332132000025,None,509.1332132000025,None,509.1433580000019,None,None,509.1332132000025,None,['b'],[0.23618539999733912],511.109193100001,None,b,2.236185399997339,1,0,0.6521739130434783,513.9333963000026,None,None,513.9333963000026,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
23,0,23,0,,,,,,,,,,3,2,1,z,9,1,4.7533305109883095,1.38289892513751,None,515.7427454999997,None,517.1313703000014,None,517.1313703000014,None,517.1424273500012,None,None,517.1313703000014,None,['z'],[1.6684848999975657],519.109064100001,None,z,3.6684848999975657,1,1,0.6666666666666666,523.8562134999993,None,None,523.8562134999993,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
24,0,24,0,,,,,,,,,,2,2,3,b,63,1,4.40017271499661,1.52290599571961,None,525.659988200001,None,527.1841301999993,None,527.1841301999993,None,527.1917943500008,None,None,527.1841301999993,None,['b'],[0.6794536999987031],529.1591378000012,None,b,2.679453699998703,1,1,0.68,533.5517915000019,None,None,533.5517915000019,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
25,0,25,0,,,,,,,,,,1,2,3,z,63,1,2.792365600763554,1.12425433982333,None,535.3595607000025,None,536.5017703000012,None,536.5017703000012,None,536.5093815000008,None,None,536.5017703000012,None,['z'],[1.334170300000551],538.4761228999996,None,z,3.334170300000551,1,1,0.6923076923076923,541.2586716000005,None,None,541.2586716000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
26,0,26,0,,,,,,,,,,3,0,1,z,63,1,3.71372710086949,2.22427187882546,None,543.0594853000002,None,545.2818184999996,None,545.2818184999996,None,545.2919245500012,None,None,545.2818184999996,None,['z'],[2.073229400000855],547.2759418999995,None,z,4.073229400000855,1,1,0.7037037037037037,550.9792655000019,None,None,550.9792655000019,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
27,0,27,0,,,,,,,,,,0,0,2,b,27,1,2.666404967794728,1.1243895841892,None,552.7919815999994,None,553.9282764000018,None,553.9282764000018,None,553.9259447500004,None,None,553.9282764000018,None,['b'],[1.0904045999996015],555.9095641999993,None,b,3.0904045999996015,1,1,0.7142857142857143,558.5709529000014,None,None,558.5709529000014,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
28,0,28,0,,,,,,,,,,1,1,3,z,27,1,3.3728785608729996,1.43470440954152,None,560.3757251000025,None,561.8300964000009,None,561.8300964000009,None,561.8261510500012,None,None,561.8300964000009,None,['z'],[0.42395529999703285],563.8096192000012,None,z,2.423955299997033,1,1,0.7241379310344828,567.1638691000007,None,None,567.1638691000007,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
29,0,29,0,,,,,,,,,,0,1,0,z,63,1,4.190022164497369,0.80788063606262,None,568.9763547000002,None,569.7956174999999,None,569.7956174999999,None,569.7928194500015,None,None,569.7956174999999,None,['z'],[0.2855585999968753],571.7763449000013,None,z,2.2855585999968753,1,1,0.7333333333333333,575.9550321000024,None,None,575.9550321000024,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
30,0,30,0,,,,,,,,,,2,2,0,b,27,1,3.6438386551209,3.1424449555106,None,577.7596217999999,None,580.9006781999997,None,580.9006781999997,None,580.908938250002,None,None,580.9006781999997,None,['b'],[1.1710728999969433],582.8762375000006,None,b,3.1710728999969433,1,1,0.7419354838709677,586.5213696999999,None,None,586.5213696999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
31,0,31,0,,,,,,,,,,1,2,3,z,63,1,3.2062024266105302,0.974903167432984,None,588.3261416000023,None,589.3116179000026,None,589.3116179000026,None,589.3096366500027,None,None,589.3116179000026,None,['z'],[0.5223188999989361],591.2921335000028,None,z,2.522318899998936,1,1,0.75,594.4834518000025,None,None,594.4834518000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
32,0,32,0,,,,,,,,,,3,1,0,b,63,1,4.01714354611405,1.25817747924478,None,596.2918688000027,None,597.5642676999996,None,597.5642676999996,None,597.5596790500018,None,None,597.5642676999996,None,['b'],[0.32263999999850057],599.5431953000007,None,b,2.3226399999985006,1,1,0.7575757575757576,603.5454831999996,None,None,603.5454831999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
33,0,33,0,,,,,,,,,,0,0,1,b,63,1,3.76873691643126,1.64421109900286,None,605.3604586000001,None,607.0188694000026,None,607.0188694000026,None,607.0266262000013,None,None,607.0188694000026,None,['b'],[1.2339501999958884],608.9921974999997,None,b,3.2339501999958884,1,1,0.7647058823529411,612.7552956,None,None,612.7552956,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
34,0,34,0,,,,,,,,,,1,2,3,z,63,0,2.294664843639333,1.94858485820231,None,614.5593367000001,None,616.5134574000003,None,616.5134574000003,None,616.5098033499995,None,None,616.5134574000003,None,None,,618.4930368999994,None,[],[],0,3,0.7428571428571429,620.8220787000027,None,['b'],620.8220787000027,None,[0.7366326000010304],,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
35,0,35,0,,,,,,,,,,2,2,0,b,27,1,4.46924002178158,0.917519910446003,None,622.5932506999998,None,623.5310329999993,None,623.5310329999993,None,623.5265849500025,None,None,623.5310329999993,None,['b'],[0.16909160000068368],625.5101570000006,None,b,2.1690916000006837,1,1,0.75,629.9645512000025,None,None,629.9645512000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
36,0,36,0,,,,,,,,,,0,0,1,b,63,1,4.11514536789087,2.10421507306074,None,631.7764884999997,None,633.8957063000016,None,633.8957063000016,None,633.8930949500024,None,None,633.8957063000016,None,['b'],[0.18586909999794443],635.8767234000006,None,b,2.1858690999979444,1,1,0.7567567567567568,639.9910845000013,None,None,639.9910845000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
37,0,37,0,,,,,,,,,,3,1,3,b,27,1,2.2759877950103027,1.96568735158996,None,641.7929920999995,None,643.7790368000024,None,643.7790368000024,None,643.7766782499999,None,None,643.7790368000024,None,['b'],[0.05673409999872092],645.7599480000026,None,b,2.056734099998721,1,1,0.7631578947368421,648.0356272000026,None,None,648.0356272000026,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
38,0,38,0,,,,,,,,,,2,3,2,z,63,1,2.6391747348430608,1.95130344756745,None,649.8433399999994,None,651.8145810000024,None,651.8145810000024,None,651.8106250500019,None,None,651.8145810000024,None,['b'],[0.8603404999994382],653.7930530000012,None,b,2.860340499999438,0,0,0.7435897435897436,656.4222499999996,None,None,656.4222499999996,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
39,0,39,0,,,,,,,,,,1,3,2,b,63,1,2.7134565917469198,1.36309078069689,None,658.2267162000026,None,659.6155550000003,None,659.6155550000003,None,659.6269553000028,None,None,659.6155550000003,None,['z'],[0.952677199999016],661.5934870000019,None,z,2.952677199999016,0,0,0.725,664.2973643000005,None,None,664.2973643000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
40,0,40,0,,,,,,,,,,3,0,1,z,63,1,2.517541937862754,0.979776149765883,None,666.110033500001,None,667.0963249000015,None,667.0963249000015,None,667.0932908499996,None,['z'],667.0963249000015,None,None,,669.0917714999996,None,z,1.7095255999993242,1,1,0.7317073170731707,671.6125127000014,None,None,671.6125127000014,None,,[1.7095255999993242],,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
41,0,41,0,,,,,,,,,,0,2,0,z,27,1,3.26539063535182,1.21250262048173,None,673.4258859000001,None,674.6474990999995,None,674.6474990999995,None,674.6433901500019,None,None,674.6474990999995,None,['z'],[0.6411523999995552],676.6266439000028,None,z,2.641152399999555,1,1,0.7380952380952381,679.8922939000004,None,None,679.8922939000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
42,0,42,0,,,,,,,,,,1,3,0,b,9,1,2.92731383428727,1.34668860557497,None,681.6930398000004,None,683.0593455000017,None,683.0593455000017,None,683.0599330500005,None,None,683.0593455000017,None,['b'],[0.5804898999995203],685.0430440000018,None,b,2.5804898999995203,1,1,0.7441860465116279,687.9656233000023,None,None,687.9656233000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
43,0,43,0,,,,,,,,,,2,3,2,z,63,1,4.61004669244928,1.90743690794447,None,689.7769671999995,None,691.6945536999992,None,691.6945536999992,None,691.693240850003,None,None,691.6945536999992,None,['z'],[0.46626649999961955],693.6756650000025,None,z,2.4662664999996196,1,1,0.75,698.2757889000022,None,None,698.2757889000022,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,700.0765883000022,None,,,,,,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705.0768319000017,None,None,705.0768319000017,None,,,,,,,,,,,,,CBC_1127,001,1,1,1,5,0.90,2024-06-26_16h04.31.880,MSI_AV_v3,2022.1.1,59.98663497852706,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[0, 3, 2, 1]",0.7272727272727273,0.5454545454545454,1.0,0.7272727272727273,30,1,13,,,,,,,,,,,,
