trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,,,,,,0,2,1,b,9,1,3.35133458220192,0.77703640172831,None,398.72506209999847,None,399.5144952999981,None,399.5144952999981,None,399.52599792001416,None,None,399.5144952999981,None,['z'],[1.0215938000037568],401.4926045000029,None,z,3.0215938000037568,0,0,0.37142857142857144,404.84050210000714,None,None,404.84050210000714,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
35,0,35,0,,,,,,,,,,2,1,0,b,63,1,2.82320408183943,1.1243895841892,None,406.64270560001023,None,407.78271400000085,None,407.78271400000085,None,407.79286792000636,None,None,407.78271400000085,None,['b'],[0.26918920000025537],409.7594111000071,None,b,2.2691892000002554,1,1,0.3888888888888889,412.5790946000052,None,None,412.5790946000052,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
36,0,36,0,,,,,,,,,,3,0,1,b,63,0,4.40017271499661,1.25920145784721,None,414.39287630000035,None,415.6594469999982,None,415.6594469999982,None,415.65943244000954,None,None,415.6594469999982,None,['b'],[0.5793898999982048],417.6428961000056,None,b,2.579389899998205,1,0,0.40540540540540543,422.0361827000015,None,None,422.0361827000015,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
37,0,37,0,,,,,,,,,,2,0,1,z,63,1,4.46924002178158,1.21250262048173,None,423.84292120000464,None,425.083578100006,None,425.083578100006,None,425.09297652000674,None,['b'],425.083578100006,None,None,,427.07769910000206,None,b,1.7990071000094758,0,0,0.39473684210526316,431.54817979999643,None,None,431.54817979999643,None,[1.7990071000094758],,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
38,0,38,0,,,,,,,,,,1,1,3,z,27,1,4.82531807167306,2.22427187882546,None,433.3597413000098,None,435.5989954000106,None,435.5989954000106,None,435.6095840200083,None,None,435.5989954000106,None,['b'],[0.3760980000079144],437.57641950000834,None,b,2.3760980000079144,0,0,0.38461538461538464,442.3846265000029,None,None,442.3846265000029,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
39,0,39,0,,,,,,,,,,0,3,2,z,63,1,2.294664843639333,3.40155979865722,None,444.1929913000058,None,447.61589300000924,None,447.61589300000924,None,447.62631252001444,None,None,447.61589300000924,None,['z'],[0.23723250000330154],449.59250150001026,None,z,2.2372325000033015,1,1,0.4,451.86548429999675,None,None,451.86548429999675,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
40,0,40,0,,,,,,,,,,3,0,2,b,27,1,2.433630701072358,1.90743690794447,None,453.6763789999968,None,455.6004222000047,None,455.6004222000047,None,455.60987352001536,None,None,455.6004222000047,None,['b'],[0.5821690000011586],457.57578700000886,None,b,2.5821690000011586,1,1,0.4146341463414634,459.9895888000028,None,None,459.9895888000028,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
41,0,41,0,,,,,,,,,,1,2,3,z,63,1,3.68371079902891,1.34668860557497,None,461.79366760000994,None,463.1647526000015,None,463.1647526000015,None,463.17632752001515,None,None,463.1647526000015,None,['b'],[0.14717260000179522],465.1427104000031,None,b,2.147172600001795,0,0,0.40476190476190477,468.82188240000687,None,None,468.82188240000687,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
42,0,42,0,,,,,,,,,,2,1,3,b,27,1,4.190022164497369,1.64421109900286,None,470.6264632000093,None,472.3008173999988,None,472.3008173999988,None,472.3098222200147,None,None,472.3008173999988,None,['b'],[0.40605580000556074],474.27663849999954,None,b,2.4060558000055607,1,1,0.4186046511627907,478.4616352000012,None,None,478.4616352000012,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
43,0,43,0,,,,,,,,,,0,3,2,z,63,1,2.92731383428727,0.761758675042088,None,480.2757217000035,None,481.0488639999967,None,481.0488639999967,None,481.06014662001104,None,None,481.0488639999967,None,['z'],[0.8967611000116449],483.02573510000366,None,z,2.896761100011645,1,1,0.4318181818181818,485.93912350000755,None,None,485.93912350000755,None,,,,,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,487.7430810000078,None,,,,,,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492.7433679000096,None,None,492.7433679000096,None,,,,,,,,,,,,,CBC_1117,002,2,3,6,22,0.90,2024-06-12_14h56.14.456,MSI_AV_v3,2022.1.1,59.78744367649312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,hard,"[0, 1, 2, 3]","[3, 2, 0, 1]",0.36363636363636365,0.45454545454545453,0.36363636363636365,0.5454545454545454,19,0,25,,,,,,,,,,,,
