trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
29,0,29,0,,,,,,,,,,0,1,0,z,63,1,2.7134565917469198,1.94858485820231,None,370.6586208000008,None,372.62877579999986,None,372.62877579999986,None,372.625254900001,None,None,,372.62877579999986,None,['z'],374.6082243000001,None,z,2.0975180999994336,1,1,0.6333333333333333,377.3035166000009,None,None,377.3035166000009,None,[0.09751809999943362],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
30,0,30,0,,,,,,,,,,2,2,3,z,63,1,2.433630701072358,0.974903167432984,None,379.10823340000024,None,380.0974846000008,None,380.0974846000008,None,380.10815809999986,None,['z'],[1.045181199999206],380.0974846000008,None,None,382.09329570000045,None,z,1.045181199999206,1,1,0.6451612903225806,384.53110639999977,None,None,384.53110639999977,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
31,0,31,0,,,,,,,,,,1,2,3,b,63,1,3.35133458220192,1.12425433982333,None,386.34174689999963,None,387.48112840000067,None,387.48112840000067,None,387.491624100001,None,['z'],[1.1214963000002172],387.48112840000067,None,['b'],389.4747889999999,None,z,1.1214963000002172,0,0,0.625,392.83210959999997,None,None,392.83210959999997,None,[0.06828689999929338],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
32,0,32,0,,,,,,,,,,2,3,1,b,27,1,3.31929419319838,3.24569326556923,None,394.6420278000005,None,397.897313200001,None,397.897313200001,None,397.90855550000015,None,['b'],[1.064406899999085],397.897313200001,None,None,399.8939736000011,None,b,1.064406899999085,1,1,0.6363636363636364,403.21494370000073,None,None,403.21494370000073,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
33,0,33,0,,,,,,,,,,1,0,2,z,27,1,4.82531807167306,2.96653053743745,None,405.02480490000016,None,408.01050140000007,None,408.01050140000007,None,408.00852209999994,None,None,,408.01050140000007,None,['z'],409.99219919999996,None,z,2.4319616999982827,1,1,0.6470588235294118,414.8159759000009,None,None,414.8159759000009,None,[0.4319616999982827],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
34,0,34,0,,,,,,,,,,2,2,3,z,63,0,4.61004669244928,1.34668860557497,None,416.6252424000013,None,417.9946075000007,None,417.9946075000007,None,417.99194140000054,None,None,,417.9946075000007,None,['z'],419.97514969999975,None,z,3.200592699997287,1,0,0.6571428571428571,424.5789703999999,None,None,424.5789703999999,None,[1.2005926999972871],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
35,0,35,0,,,,,,,,,,0,1,0,z,63,1,4.190022164497369,2.40378712856304,None,426.39218729999993,None,428.8117428000005,None,428.8117428000005,None,428.808680000001,None,['z'],[1.9160111999990477],428.8117428000005,None,None,430.812348200001,None,z,1.9160111999990477,1,1,0.6666666666666666,435.01452860000063,None,None,435.01452860000063,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
36,0,36,0,,,,,,,,,,1,2,3,b,63,1,4.72585056748869,1.1243895841892,None,436.82561970000097,None,437.96485180000127,None,437.96485180000127,None,437.975541400001,None,None,,437.96485180000127,None,['b'],439.9419822,None,b,2.5004372999992484,1,1,0.6756756756756757,444.64333500000066,None,None,444.64333500000066,None,[0.5004372999992484],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
37,0,37,0,,,,,,,,,,0,0,2,b,27,1,2.678526077912375,2.6299100644723,None,446.45875669999987,None,449.1095968999998,None,449.1095968999998,None,449.10833600000024,None,None,,449.1095968999998,None,['b'],451.0919673999997,None,b,2.9111650999984704,1,1,0.6842105263157895,453.75397780000094,None,None,453.75397780000094,None,[0.9111650999984704],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
38,0,38,0,,,,,,,,,,2,2,3,z,63,1,2.792365600763554,2.15533949826702,None,455.5586927000004,None,457.7132992000006,None,457.7132992000006,None,457.72461270000076,None,['z'],[1.5498469999984081],457.7132992000006,None,None,459.7110134000013,None,z,1.5498469999984081,1,1,0.6923076923076923,462.50780250000025,None,None,462.50780250000025,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
39,0,39,0,,,,,,,,,,2,3,2,b,63,1,2.629554641171433,0.979776149765883,None,464.3087993000008,None,465.2950082999996,None,465.2950082999996,None,465.3076673000005,None,"['z', 'b']","[1.035932499999035, 1.320914999998422]",465.2950082999996,None,None,467.2953765000002,None,z,1.035932499999035,0,0,0.675,469.932544700001,None,None,469.932544700001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
40,0,40,0,,,,,,,,,,3,3,1,z,27,1,3.73326136168326,1.53122835510861,None,471.7423192999995,None,473.29849079999985,None,473.29849079999985,None,473.30854180000097,None,None,,473.29849079999985,None,['z'],475.2743351000008,None,z,2.770389699999214,1,1,0.6829268292682927,478.9890264000005,None,None,478.9890264000005,None,[0.7703896999992139],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
41,0,41,0,,,,,,,,,,2,3,0,b,9,1,4.12485271162806,1.52290599571961,None,480.7916518000002,None,482.3304602999997,None,482.3304602999997,None,482.34195120000004,None,None,,482.3304602999997,None,['b'],484.30853580000075,None,b,4.705987499999537,1,1,0.6904761904761905,488.42343410000103,None,None,488.42343410000103,None,[2.7059874999995372],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
42,0,42,0,,,,,,,,,,3,0,1,z,63,1,4.11514536789087,2.49839527409216,None,490.2252561000005,None,492.74798999999985,None,492.74798999999985,None,492.7590342000003,None,['b'],[1.609741499998563],492.74798999999985,None,None,494.74433080000017,None,b,1.609741499998563,0,0,0.6744186046511628,498.8645661999999,None,None,498.8645661999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
43,0,43,0,,,,,,,,,,0,0,1,b,63,1,3.6438386551209,0.77703640172831,None,500.67519510000056,None,501.4465818000008,None,501.4465818000008,None,501.4576425000005,None,None,,501.4465818000008,None,['b'],503.44115729999976,None,b,2.090406899998925,1,1,0.6818181818181818,507.07376900000054,None,None,507.07376900000054,None,[0.09040689999892493],,,,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,508.87443220000023,None,,,,,,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513.8745424000008,None,None,513.8745424000008,None,,,,,,,,,,,,,CBC_1031,4,6,2,4,4,0.95,2023-10-20_12h20.15.905,MSI_AV_v3,2022.1.1,60.087523486655,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[0, 3, 1, 2]",0.7272727272727273,0.6363636363636364,0.5454545454545454,0.8181818181818182,30,0,14,,,,,,,,,,,,
