trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.rt,keys_6.started,keys_6.stopped,response_5.rt,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,1,0,z,63,1,2.592312596923728,1.96568735158996,None,377.7699913000006,None,379.7574773000006,None,379.7574773000006,None,379.7537628700006,None,None,379.7574773000006,None,['z'],381.73707750000085,None,z,2.478967999998531,1,1,0.5555555555555556,384.3244026000002,None,None,,384.3244026000002,None,[0.478967999998531],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
9,0,9,0,,,,,,,,,,3,0,2,z,27,1,2.496959177995529,1.60731937853708,None,386.13752770000065,None,387.7553906000003,None,387.7553906000003,None,387.75379167000074,None,None,387.7553906000003,None,['b'],389.73711230000026,None,b,3.080375899999126,0,0,0.5,392.2149521000001,None,None,,392.2149521000001,None,[1.080375899999126],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
10,0,10,0,,,,,,,,,,1,1,0,b,63,1,3.31929419319838,3.1424449555106,None,394.0202644000001,None,397.1728184000003,None,397.1728184000003,None,397.1700718700008,None,None,397.1728184000003,None,['z'],399.15355720000025,None,z,2.929472499999065,0,0,0.45454545454545453,402.4546652000008,None,None,,402.4546652000008,None,[0.9294724999990649],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
11,0,11,0,,,,,,,,,,2,1,0,z,63,1,2.792365600763554,3.4543169006169,None,404.2536237000004,None,407.7254434000006,None,407.7254434000006,None,407.73720416000015,None,None,407.7254434000006,None,['b'],409.70367410000017,None,b,3.2664617999989787,0,0,0.4166666666666667,412.48173750000024,None,None,,412.48173750000024,None,[1.2664617999989787],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
12,0,12,0,,,,,,,,,,3,2,3,b,63,1,2.294664843639333,2.40378712856304,None,414.28692050000063,None,416.6928420000004,None,416.6928420000004,None,416.7028494700003,None,None,416.6928420000004,None,['z'],418.68717650000053,None,z,2.558147399999143,0,0,0.38461538461538464,420.96387310000046,None,None,,420.96387310000046,None,[0.5581473999991431],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
13,0,13,0,,,,,,,,,,2,2,0,z,27,1,2.629554641171433,1.95130344756745,None,422.7703147000002,None,424.7429572000001,None,424.7429572000001,None,424.75389306000034,None,None,424.7429572000001,None,['b'],426.7191810000004,None,b,3.602570699998978,0,0,0.35714285714285715,429.33817100000033,None,None,,429.33817100000033,None,[1.602570699998978],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
14,0,14,0,,,,,,,,,,1,0,1,z,63,1,3.68371079902891,0.979776149765883,None,431.1537575000002,None,432.1564816,None,432.1564816,None,432.15372787000024,None,None,432.1564816,None,['z'],434.1362859000001,None,z,3.35227759999907,1,1,0.4,437.8083867000005,None,None,,437.8083867000005,None,[1.35227759999907],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
15,0,15,0,,,,,,,,,,1,1,0,b,63,1,3.7500315165247198,1.25817747924478,None,439.6196996000008,None,440.8905513000009,None,440.8905513000009,None,440.8871433700001,None,None,440.8905513000009,None,['b'],442.8699895000009,None,b,3.1793380999988585,1,1,0.4375,446.60878290000073,None,None,,446.60878290000073,None,[1.1793380999988585],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
16,0,16,0,,,,,,,,,,3,2,3,b,63,1,4.46924002178158,1.27538462653558,None,448.42046200000004,None,449.6932555000003,None,449.6932555000003,None,449.7031891700003,None,None,449.6932555000003,None,['z'],451.6873144000001,None,z,2.964072699999633,0,0,0.4117647058823529,456.1392760000008,None,None,,456.1392760000008,None,[0.9640726999996332],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
17,0,17,0,,,,,,,,,,0,1,3,z,27,1,3.3728785608729996,1.64421109900286,None,457.9537540000001,None,459.60913340000025,None,459.60913340000025,None,459.62061366000034,None,None,459.60913340000025,None,['b'],461.5868822000002,None,b,3.903350299999147,0,0,0.3888888888888889,464.9547252000002,None,None,,464.9547252000002,None,[1.903350299999147],,,,,,,,,,,,,,,,,,,,,,CBC_1110,001,4,1,0,15,0.95,2024-08-25_14h33.39.375,MSI_AV_v3,2022.1.1,59.95006159868488,
