trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,3,1,0,z,63,1,2.6391747348430608,1.64421109900286,None,167.26115400000072,None,168.9111339000001,None,168.9111339000001,None,168.91080751000007,None,None,168.9111339000001,None,['b'],[0.30635139999958483],170.8942700000007,None,b,2.306351399999585,0,0,0.5555555555555556,173.52411550000033,None,None,173.52411550000033,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
9,0,9,0,,,,,,,,,,2,0,2,z,27,1,2.666404967794728,2.6299100644723,None,175.32750060000035,None,177.98138650000055,None,177.98138650000055,None,177.97741621000003,None,None,177.98138650000055,None,['z'],[0.4074838999986241],179.96017090000078,None,z,2.407483899998624,1,1,0.6,182.61580420000064,None,None,182.61580420000064,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
10,0,10,0,,,,,,,,,,1,1,0,b,63,1,2.342239579230602,1.18065738546375,None,184.42757070000062,None,185.63205130000006,None,185.63205130000006,None,185.62766081000044,None,None,185.63205130000006,None,['z'],[0.6064380999996501],187.61111970000002,None,z,2.60643809999965,0,0,0.5454545454545454,189.9428454000008,None,None,189.9428454000008,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
11,0,11,0,,,,,,,,,,3,1,0,z,63,1,3.71372710086949,1.12425433982333,None,191.74451560000034,None,192.86959300000035,None,192.86959300000035,None,192.87769481000012,None,None,192.86959300000035,None,['b'],[0.44906489999993937],194.86082800000077,None,b,2.4490648999999394,0,0,0.5,198.55812190000051,None,None,198.55812190000051,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
12,0,12,0,,,,,,,,,,2,2,3,b,63,1,4.7533305109883095,2.10421507306074,None,200.3609363000005,None,202.48301690000062,None,202.48301690000062,None,202.4942035799999,None,None,202.48301690000062,None,['z'],[0.3854312999992544],204.4609616000007,None,z,2.3854312999992544,0,0,0.46153846153846156,209.2025293000006,None,None,209.2025293000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
13,0,13,0,,,,,,,,,,3,2,0,z,27,1,4.40017271499661,1.78643585472448,None,211.01067710000007,None,212.81756080000014,None,212.81756080000014,None,212.8277141800003,None,None,212.81756080000014,None,['b'],[0.08566399999926944],214.79464730000018,None,b,2.0856639999992694,0,0,0.42857142857142855,219.18681510000079,None,None,219.18681510000079,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
14,0,14,0,,,,,,,,,,1,0,1,z,63,1,2.91303524001082,2.22427187882546,None,220.99426060000042,None,223.23631700000078,None,223.23631700000078,None,223.2442663800006,None,None,223.23631700000078,None,['z'],[0.5240069999990737],225.21081960000083,None,z,2.5240069999990737,1,1,0.4666666666666667,228.12121040000056,None,None,228.12121040000056,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
15,0,15,0,,,,,,,,,,1,1,0,b,63,1,4.53337421950507,1.21250262048173,None,229.9275449000006,None,231.16393120000066,None,231.16393120000066,None,231.16080950999984,None,None,231.16393120000066,None,['b'],[0.6444230999995852],233.14427890000024,None,b,2.6444230999995852,1,1,0.5,237.67318570000043,None,None,237.67318570000043,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
16,0,16,0,,,,,,,,,,2,2,3,b,63,1,2.496959177995529,1.60731937853708,None,239.47784300000058,None,241.09750900000017,None,241.09750900000017,None,241.09425621000062,None,None,241.09750900000017,None,['z'],[0.33843139999953564],243.07755370000086,None,z,2.3384313999995356,0,0,0.47058823529411764,245.57186880000063,None,None,245.57186880000063,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
17,0,17,0,,,,,,,,,,0,1,3,z,27,1,2.678526077912375,1.90743690794447,None,247.3777086,None,249.2990043000009,None,249.2990043000009,None,249.3110631800004,None,None,249.2990043000009,None,['b'],[0.43688339999880554],251.27783220000038,None,b,2.4368833999988055,0,0,0.4444444444444444,253.94200630000068,None,None,253.94200630000068,None,,,,,,,,,,,,,,,,,,,,,,CBC_1022,002,4,1,0,21,0.95,2023-07-18_13h44.55.295,MSI_AV_v3,2022.1.1,59.923764986231205,
