trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
32,0,32,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,2.078483356,2.962224669,None,392.43530929999906,None,395.40752369999973,None,395.40752369999973,None,395.4185159999997,None,None,,395.40752369999973,None,['z'],397.3853080000008,None,z,2.4376448999992135,1,1,0.42424242424242425,399.4578445999996,None,None,399.4578445999996,None,[0.4376448999992135],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
33,0,33,0,,,,,,,,,,1,1.0,0.0,z,63.0,0.0,2.397501916,0.971483559,None,401.46904429999995,None,402.45712789999925,None,402.45712789999925,None,402.4685559999998,None,None,,402.45712789999925,None,['b'],404.43543839999984,None,b,3.1622126000002027,0,1,0.4117647058823529,406.8184600000004,None,None,406.8184600000004,None,[1.1622126000002027],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
34,0,34,0,,,,,,,,,,2,2.0,3.0,b,63.0,1.0,2.0845750460000003,2.757001452,None,408.81889520000004,None,411.5981558000003,None,411.5981558000003,None,411.6020807999994,None,None,,411.5981558000003,None,['z'],413.5679744000008,None,z,2.3713389999993524,0,0,0.4,415.6405422000007,None,None,415.6405422000007,None,[0.3713389999993524],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
35,0,35,0,,,,,,,,,,1,0.0,2.0,b,27.0,1.0,3.278108735,1.554037824,None,417.6524836999997,None,419.2254135000003,None,419.2254135000003,None,419.23530539999956,None,None,,419.2254135000003,None,['b'],421.20166620000055,None,b,2.947351799999524,1,1,0.4166666666666667,424.48021379999955,None,None,424.48021379999955,None,[0.9473517999995238],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
36,0,36,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,3.501824497,2.210349838,None,426.4849756000003,None,428.7063398999999,None,428.7063398999999,None,428.70214999999916,None,None,,428.7063398999999,None,['z'],430.68621279999934,None,z,2.2331739000001107,1,1,0.43243243243243246,434.1743612999999,None,None,434.1743612999999,None,[0.23317390000011073],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
37,0,37,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.67601813,1.142638656,None,436.1855369999994,None,437.3404358000007,None,437.3404358000007,None,437.3359937999994,None,None,,437.3404358000007,None,['z'],439.3185942,None,z,2.434248800000205,1,1,0.4473684210526316,441.9709084999995,None,None,441.9709084999995,None,[0.43424880000020494],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
38,0,38,0,,,,,,,,,,0,1.0,2.0,b,9.0,1.0,2.088920167,1.24796184,None,443.98571169999923,None,445.25720270000056,None,445.25720270000056,None,445.2688263,None,None,,445.25720270000056,None,['z'],447.2355028000002,None,z,3.482009900000776,0,0,0.4358974358974359,449.3159309999992,None,None,449.3159309999992,None,[1.4820099000007758],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
39,0,39,0,,,,,,,,,,3,1.0,3.0,z,27.0,1.0,2.117809983,2.349749758,None,451.31906639999943,None,453.6888146000001,None,453.6888146000001,None,453.68567189999885,None,None,,453.6888146000001,None,['b'],455.66966479999974,None,b,2.925671200000579,0,0,0.425,457.7746755999997,None,None,457.7746755999997,None,[0.9256712000005791],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
40,0,40,0,,,,,,,,,,1,1.0,0.0,z,63.0,1.0,4.309752164,1.883772966,None,459.7849480999994,None,461.6914285999992,None,461.6914285999992,None,461.70228809999935,None,None,,461.6914285999992,None,['b'],463.6692437999991,None,b,2.5132115999986127,0,0,0.4146341463414634,467.96179999999913,None,None,467.96179999999913,None,[0.5132115999986127],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
41,0,41,0,,,,,,,,,,1,0.0,1.0,b,63.0,1.0,4.334629553,2.573610938,None,469.9685917000006,None,472.5376981999998,None,472.5376981999998,None,472.53499100000045,None,None,,472.5376981999998,None,['z'],474.53586709999945,None,z,2.696454299999459,0,0,0.40476190476190477,478.8566174000007,None,None,478.8566174000007,None,[0.6964542999994592],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
42,0,42,0,,,,,,,,,,2,2.0,0.0,b,27.0,1.0,1.3262934849999999,2.297139377,None,480.8694601999996,None,483.1912407,None,483.1912407,None,483.2022528999987,None,None,,483.1912407,None,['z'],485.168637499999,None,z,2.4130710999997973,0,0,0.3953488372093023,486.4867997000001,None,None,486.4867997000001,None,[0.4130710999997973],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
43,0,43,0,,,,,,,,,,0,0.0,1.0,z,63.0,1.0,1.610581685,2.128027194,None,488.48626329999934,None,490.6223608,None,490.6223608,None,490.6186453999999,None,None,,490.6223608,None,['b'],492.61908799999946,None,b,2.5182406999992963,0,0,0.38636363636363635,494.2210562,None,None,494.2210562,None,[0.5182406999992963],,,,,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,496.23592520000057,None,,,,,,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501.2360109000001,None,None,501.2360109000001,None,,,,,,,,,,CBC_1005,001,5,2,7,6,0.95,2023-06-03_12h46.50.942,MSI_AV_v3,2022.1.1,60.00564052971802,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[1, 0, 2, 3]",0.5454545454545454,0.5454545454545454,0.18181818181818182,0.2727272727272727,,,,,,,,,,,,
