trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.tactile_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_stim_left.started,image_stim_right.started,tactile.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.stopped,feedback_6.started,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,tactilePair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
20,0,20,0,,,,,,,,,,1,3,1,b,27,1,4.82531807167306,0.952147612306987,None,489.3974960000005,None,490.3318285400004,490.3318285400004,490.34852503999934,None,[],['b'],[0.8957134000002043],492.3321999000009,None,b,2.8957134000002043,1,1,0.6190476190476191,None,497.1679568999998,None,497.1679568999998,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
21,0,21,0,,,,,,,,,,2,3,2,z,63,1,2.433630701072358,0.77703640172831,None,498.9818206000009,None,499.730767540001,499.730767540001,499.7474478400003,None,[],['z'],[0.7342983999997159],501.72932839999976,None,z,2.734298399999716,1,1,0.6363636363636364,None,504.16007869999976,None,504.16007869999976,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
22,0,22,0,,,,,,,,,,0,0,1,z,63,1,4.61004669244928,1.1243895841892,None,505.96512689999963,None,507.06504254000026,507.06504254000026,507.08175404000065,None,[],['b'],[1.0014211999996405],509.06838700000026,None,b,3.0014211999996405,0,0,0.6086956521739131,None,513.6905094000003,None,513.6905094000003,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
23,0,23,0,,,,,,,,,,3,0,2,b,27,1,2.7134565917469198,0.917519910446003,None,515.4972480999995,None,516.3985687400003,516.3985687400003,516.4152983400003,None,[],['b'],[0.9245330999992802],518.4032140999998,None,b,2.9245330999992802,1,1,0.625,None,521.1333660999999,None,521.1333660999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
24,0,24,0,,,,,,,,,,1,3,2,b,63,1,4.190022164497369,1.53122835510861,None,522.9472995000006,None,524.4484251399994,524.4484251399994,524.4651061400003,None,[],['z'],[0.934253099999296],526.4537888000004,None,z,2.934253099999296,0,0,0.6,None,530.6494102999995,None,530.6494102999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
25,0,25,0,,,,,,,,,,2,0,2,z,27,1,3.26539063535182,0.979776149765883,None,532.4486320000005,None,533.4145507399993,533.4145507399993,533.4306776399993,None,[],['z'],[0.6780004000002009],535.4114008000006,None,z,2.678000400000201,1,1,0.6153846153846154,None,538.6785310000005,None,538.6785310000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
26,0,26,0,,,,,,,,,,0,0,1,z,63,1,2.342239579230602,1.78643585472448,None,540.4820073000001,None,542.2486017400009,542.2486017400009,542.2653768399999,None,[],['b'],[0.7974192999981824],544.2545911000007,None,b,2.7974192999981824,0,0,0.5925925925925926,None,546.6028152999997,None,546.6028152999997,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
27,0,27,0,,,,,,,,,,3,1,0,z,63,1,2.792365600763554,2.09887870490381,None,548.4144100999993,None,550.4819071400001,550.4819071400001,550.4987558399993,None,[],['z'],[0.6706838999989486],552.4885007000003,None,z,2.6706838999989486,1,1,0.6071428571428571,None,555.2928708000009,None,555.2928708000009,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
28,0,28,0,,,,,,,,,,2,2,3,b,63,1,4.77034425507967,1.34668860557497,None,557.0983616000003,None,558.4321193399995,558.4321193399995,558.4484944399995,None,[],['b'],[0.7650750999991942],560.4363751999999,None,b,2.765075099999194,1,1,0.6206896551724138,None,565.2157127,None,565.2157127,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
29,0,29,0,,,,,,,,,,1,1,3,z,27,1,2.629554641171433,2.49839527409216,None,567.0150108000007,None,569.4988286400006,569.4988286400006,569.5154204400009,None,[],['z'],[0.8426678000005268],571.5035376999995,None,z,2.8426678000005268,1,1,0.6333333333333333,None,574.1321944000001,None,574.1321944000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1042,001,6,2,2,19,0.95,2024-07-26_15h40.22.663,MSI_TV_v3,2022.1.1,59.99826005074259,
