trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,,,,,,2,2,3,z,63,1,3.7500315165247198,0.80788063606262,None,307.4589344999995,None,308.2625522999997,None,308.2625522999997,None,308.27500158000015,None,None,308.2625522999997,None,['z'],[0.05199899999934132],310.2595922999999,None,z,2.0519989999993413,1,1,0.5,314.00424049999947,None,None,314.00424049999947,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
24,0,24,0,,,,,,,,,,1,1,3,b,27,1,3.73326136168326,0.979776149765883,None,315.8080259999997,None,316.79692160000013,None,316.79692160000013,None,316.8087350400003,None,None,316.79692160000013,None,['b'],[1.1028304999999818],318.77564579999944,None,b,3.102830499999982,1,1,0.52,322.49490929999956,None,None,322.49490929999956,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
25,0,25,0,,,,,,,,,,3,2,3,b,63,1,2.82320408183943,3.40155979865722,None,324.3095695000002,None,327.7264425000003,None,327.7264425000003,None,327.7253675800002,None,['z'],327.7264425000003,None,None,,329.72382990000006,None,z,1.645031499999277,0,0,0.5,332.5476189000001,None,None,332.5476189000001,None,[1.645031499999277],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
26,0,26,0,,,,,,,,,,3,2,0,b,27,1,2.693348633324513,2.09887870490381,None,334.3596915999997,None,336.4604712999999,None,336.4604712999999,None,336.4580535199999,None,['b'],336.4604712999999,None,None,,338.4574630999996,None,b,1.6101995999988503,1,1,0.5185185185185185,341.151065,None,None,341.151065,None,[1.6101995999988503],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
27,0,27,0,,,,,,,,,,1,0,1,z,63,1,4.11514536789087,0.761758675042088,None,342.95921569999973,None,343.74408779999976,None,343.74408779999976,None,343.74220038000016,None,None,343.74408779999976,None,['b'],[1.375217399999201],345.72588840000026,None,b,3.375217399999201,0,0,0.5,349.82886809999945,None,None,349.82886809999945,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
28,0,28,0,,,,,,,,,,3,2,3,b,63,1,2.678526077912375,3.06992456303453,None,351.64170019999983,None,354.73239360000025,None,354.73239360000025,None,354.74230363999976,None,None,354.73239360000025,None,['z'],[0.538589900000261],356.70855630000005,None,z,2.538589900000261,0,0,0.4827586206896552,359.3694244999997,None,None,359.3694244999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
29,0,29,0,,,,,,,,,,0,1,0,z,63,1,3.76873691643126,1.53122835510861,None,361.1761655,None,362.7312390999996,None,362.7312390999996,None,362.7423788399994,None,None,362.7312390999996,None,['b'],[0.5263344999993933],364.70880059999945,None,b,2.5263344999993933,0,0,0.4666666666666667,368.4700031000002,None,None,368.4700031000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
30,0,30,0,,,,,,,,,,2,2,3,z,63,1,2.342239579230602,2.96653053743745,None,370.27624469999955,None,373.2615641000002,None,373.2615641000002,None,373.2590366799995,None,['z'],373.2615641000002,None,None,,375.25953669999944,None,z,1.5460407999999006,1,1,0.4838709677419355,377.6093267999995,None,None,377.6093267999995,None,[1.5460407999999006],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
31,0,31,0,,,,,,,,,,3,2,3,b,63,1,3.3728785608729996,1.25817747924478,None,379.4099266000003,None,380.6811717999999,None,380.6811717999999,None,380.67657518000027,None,None,380.6811717999999,None,['b'],[0.49966049999966344],382.65871119999974,None,b,2.4996604999996634,1,1,0.5,386.0209783,None,None,386.0209783,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
32,0,32,0,,,,,,,,,,2,3,1,b,27,1,2.2759877950103027,3.24569326556923,None,387.8253767999995,None,391.08127629999944,None,391.08127629999944,None,391.07612298,None,['z'],391.08127629999944,None,None,,393.07737089999955,None,z,1.6730920999998489,0,0,0.48484848484848486,395.3586372,None,None,395.3586372,None,[1.6730920999998489],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
33,0,33,0,,,,,,,,,,3,0,2,z,27,1,2.629554641171433,1.36309078069689,None,397.1596463999995,None,398.54937319999954,None,398.54937319999954,None,398.55910934,None,None,398.54937319999954,None,['z'],[0.4044639999992796],400.52526039999975,None,z,2.4044639999992796,1,1,0.5,403.14874489999966,None,None,403.14874489999966,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
34,0,34,0,,,,,,,,,,2,2,3,z,63,0,4.77723667052879,1.64421109900286,None,404.95950319999974,None,406.6127588999998,None,406.6127588999998,None,406.60926227999965,None,None,406.6127588999998,None,['z'],[1.8596863000002486],408.5926985999995,None,z,3.8596863000002486,1,0,0.5142857142857142,413.3535646999999,None,None,413.3535646999999,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
35,0,35,0,,,,,,,,,,0,1,0,z,63,1,2.294664843639333,1.52290599571961,None,415.15958390000014,None,416.69648059999963,None,416.69648059999963,None,416.69275998000006,None,None,416.69648059999963,None,['z'],[0.4363010999995822],418.6761455999995,None,z,2.436301099999582,1,1,0.5277777777777778,420.9543101999998,None,None,420.9543101999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
36,0,36,0,,,,,,,,,,3,2,3,b,63,1,2.792365600763554,3.33124983260532,None,422.75971969999955,None,426.0964418000003,None,426.0964418000003,None,426.1086426800002,None,None,426.0964418000003,None,['z'],[0.5733163999993849],428.0763784999999,None,z,2.573316399999385,0,0,0.5135135135135135,430.85582350000004,None,None,430.85582350000004,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
37,0,37,0,,,,,,,,,,0,0,2,b,27,1,2.433630701072358,0.77703640172831,None,432.65945529999954,None,433.4481942000002,None,433.4481942000002,None,433.4589104799997,None,None,433.4481942000002,None,['z'],[0.7321306999992885],435.4262601999999,None,z,2.7321306999992885,0,0,0.5,437.84219570000005,None,None,437.84219570000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
38,0,38,0,,,,,,,,,,2,2,3,z,63,1,2.517541937862754,1.60731937853708,None,439.6435951000003,None,441.24590199999966,None,441.24590199999966,None,441.2589426799995,None,None,441.24590199999966,None,['z'],[0.491602399999465],443.2266116999999,None,z,2.491602399999465,1,1,0.5128205128205128,445.7297761,None,None,445.7297761,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
39,0,39,0,,,,,,,,,,2,3,2,b,63,1,2.92731383428727,2.15533949826702,None,447.54305620000014,None,449.7109137999996,None,449.7109137999996,None,449.7095001799998,None,['b'],449.7109137999996,None,None,,451.69432080000024,None,b,1.477478799999517,1,1,0.525,454.63242660000014,None,None,454.63242660000014,None,[1.477478799999517],,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
40,0,40,0,,,,,,,,,,1,3,1,z,27,1,4.7533305109883095,1.21250262048173,None,456.4421821999995,None,457.6676577999997,None,457.6676577999997,None,457.6761095399999,None,None,457.6676577999997,None,None,,459.6430518999996,None,[],[],0,3,0.5121951219512195,464.3759850999995,None,None,464.3759850999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
41,0,41,0,,,,,,,,,,2,3,0,b,9,1,3.2062024266105302,1.96568735158996,None,466.17672070000026,None,468.16244000000006,None,468.16244000000006,None,468.15957408000025,None,None,468.16244000000006,None,['z'],[2.380990099999508],470.14342399999987,None,z,4.380990099999508,0,0,0.5,473.33990429999994,None,None,473.33990429999994,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
42,0,42,0,,,,,,,,,,1,0,1,z,63,1,4.53337421950507,1.25920145784721,None,475.14348960000007,None,476.4155651000001,None,476.4155651000001,None,476.4268035400002,None,None,476.4155651000001,None,['z'],[3.5350143999994543],478.39388119999967,None,z,5.535014399999454,1,1,0.5116279069767442,482.9070327999998,None,None,482.9070327999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
43,0,43,0,,,,,,,,,,0,0,1,b,63,1,2.666404967794728,3.1963008326951,None,484.7089612999998,None,487.90785439999945,None,487.90785439999945,None,487.9096859800001,None,None,487.90785439999945,None,None,,489.89336619999995,None,[],[],0,3,0.5,492.54240539999955,None,['z'],492.54240539999955,None,,[1.0538435999997091],,,,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,494.3437723999996,None,,,,,,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.34377250000034,None,None,499.34377250000034,None,,,,,,,,,,,,,CBC_1026,2,3,2,4,1,0.95,2023-07-20_11h56.22.418,MSI_AV_v3,2022.1.1,60.023108896778204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z,b,easy,"[0, 1, 2, 3]","[0, 1, 3, 2]",0.5454545454545454,0.36363636363636365,0.5454545454545454,0.5454545454545454,20,2,22,,,,,,,,,,,,
