trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.auditory_stim,trials_runs.visual_stim_left,trials_runs.visual_stim_right,trials_runs.correctKey,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,ImageLeft_4.started,ImageLeft_4.stopped,ImageRight_4.started,ImageRight_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,trials_runs.rightKey,trials_runs.leftKey,ts_difficulty,visualPair,audioPair,trials_runs.mean_acc_1stFourth,trials_runs.mean_acc_2ndFourth,trials_runs.mean_acc_3rdFourth,trials_runs.mean_acc_4thFourth,participant,session,visual set [1-6],audio set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,1,2.0,0.0,b,27.0,1.0,2.278602942,1.142638656,None,161.19626629999993,None,162.3517579999998,None,162.3517579999998,None,162.36289431999975,None,None,162.3517579999998,None,['z'],[1.0862756999999874],164.32980959999986,None,z,3.0862756999999874,0,0,0.4444444444444444,166.5881872,None,None,166.5881872,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
9,0,9,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.818459073,0.977134615,None,168.5963001,None,169.5840263,None,169.5840263,None,169.59632261999977,None,['b'],169.5840263,None,None,,171.5796145999998,None,b,1.235711000000265,0,0,0.4,174.40267129999984,None,None,174.40267129999984,None,[1.235711000000265],,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
10,0,10,0,,,,,,,,,,2,1.0,0.0,b,63.0,0.0,2.518459073,1.313600181,None,176.41283989999965,None,177.7525671999997,None,177.7525671999997,None,177.76293921999977,None,None,177.7525671999997,None,['b'],[0.07027520000019649],179.7297226999999,None,b,2.0702752000001965,1,0,0.45454545454545453,182.23260289999962,None,None,182.23260289999962,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
11,0,11,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.884449499,1.448890429,None,184.24629749999986,None,185.71565089999967,None,185.71565089999967,None,185.7128976399999,None,None,185.71565089999967,None,['z'],[1.8623602000002393],187.69637049999983,None,z,3.8623602000002393,0,0,0.4166666666666667,191.56787469999972,None,None,191.56787469999972,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
12,0,12,0,,,,,,,,,,3,2.0,3.0,z,63.0,1.0,2.242058058,1.883772966,None,193.5797447,None,195.48545809999996,None,195.48545809999996,None,195.49625141999977,None,None,195.48545809999996,None,['z'],[0.6591439000003447],197.46290819999967,None,z,2.6591439000003447,1,1,0.46153846153846156,199.69214469999997,None,None,199.69214469999997,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
13,0,13,0,,,,,,,,,,1,2.0,0.0,b,27.0,0.0,1.610581685,1.732943574,None,201.6962728999997,None,203.4502321,None,203.4502321,None,203.46298502,None,None,203.4502321,None,None,,205.4294215,None,[],[],0,3,0.42857142857142855,207.03413079999973,None,['b'],207.03413079999973,None,,[1.3278067000001101],,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
14,0,14,0,,,,,,,,,,0,0.0,1.0,b,63.0,1.0,3.622505815,2.502774076,None,209.02950280000005,None,211.5495732999998,None,211.5495732999998,None,211.54636114000002,None,"['z', 'b']",211.5495732999998,None,None,,213.54650619999984,None,z,0.7825772999999572,0,0,0.4,217.16908399999966,None,None,217.16908399999966,None,"[0.7825772999999572, 1.8744267000001855]",,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
15,0,15,0,,,,,,,,,,2,1.0,3.0,b,27.0,1.0,2.078483356,2.495793893,None,219.17969259999973,None,221.69191769999998,None,221.69191769999998,None,221.69635531999992,None,None,221.69191769999998,None,['b'],[0.046302100000048085],223.6630401999996,None,b,2.046302100000048,1,1,0.4375,225.72548959999995,None,None,225.72548959999995,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
16,0,16,0,,,,,,,,,,1,3.0,2.0,z,63.0,1.0,3.278108735,2.935368129,None,227.73020259999976,None,230.68400249999968,None,230.68400249999968,None,230.6799306399998,None,None,230.68400249999968,None,['b'],[0.8754444999999578],232.6695990999997,None,b,2.8754444999999578,0,0,0.4117647058823529,235.92449249999981,None,None,235.92449249999981,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
17,0,17,0,,,,,,,,,,3,2.0,3.0,z,63.0,0.0,3.044827724,1.08099246,None,237.92970679999962,None,239.0327453,None,239.0327453,None,239.02958343999987,None,None,239.0327453,None,['z'],[0.1288430999998127],241.01308359999985,None,z,2.1288430999998127,1,0,0.4444444444444444,244.05229669999972,None,None,244.05229669999972,None,,,,,,,,,,,,,,,,,,,,CBC_1003,001,4,3,0,2,0.8,2023-06-14_14h56.33.053,MSI_AV_v3,2022.1.1,59.94909123168829,
