ID,filename,session,trial,visStimLeft,visStimRight,correctKey,leftCorrect,rightCorrect,secondStim,mod2Type,mod2Stim,frequency,rewardAccurate,stimPairLeft,stimPairRight,pCorrectLeft,pCorrectRight,key,reactionTime,choiceLeft,choiceRight,choiceAccurate,reward,chosenPair,otherPair,triplet,surprise,0A belief,1A belief,2A belief,3A belief,0B belief,1B belief,2B belief,3B belief,0C belief,1C belief,2C belief,3C belief,0D belief,1D belief,2D belief,3D belief,beliefPairNorm,beliefOtherPairNorm,beliefPair,beliefOtherPair,lik,corrLik,rewardPE,update2,rewardPEOP,update2OP,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_alpha12,fit_alpha2,fit_alpha22,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,10,3,0,b,1,0,2,tac,D,9,1,3D,0D,1,0,b,2.17954090000057,1,0,1,1,3D,0D,D30,3.2188758248682,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.445873000606366,0.995017464384593,0.5,0.489822775195915,0.445873000606366,0.5,0.999947014442317,0.445873000606366,0.5,0.5,0.43679750108388,0.995017464384593,0.665555746396702,0.334444253603298,0.995017464384593,0.5,0.653655346002938,0.968004614615242,0.00498253561540651,0.00493124426133307,0.5,-0.0541269993936339,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,11,2,3,b,1,0,1,tac,C,63,1,2C,3C,1,0,b,2.83385510000153,1,0,1,1,2C,3C,C23,3.25809653802148,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.445873000606366,0.995017464384593,0.5,0.489822775195915,0.445873000606366,0.5,0.999947014442317,0.445873000606366,0.445873000606366,0.5,0.43679750108388,0.999948708645927,0.691612375008273,0.308387624991727,0.999947014442317,0.445873000606366,0.275900289364213,0.981103255093225,5.29855576828497e-05,5.24401123093162e-05,0.445873000606366,-0.048267535266917,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,12,0,1,z,0,1,3,tac,B,63,1,0B,1B,0,1,z,1.85968610000054,0,1,1,1,1B,0B,B01,2.60268968544438,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.445873000606366,0.995017464384593,0.5,0.489822775195915,0.445873000606366,0.5,0.999999454554626,0.397605465339449,0.445873000606366,0.5,0.43679750108388,0.999948708645927,0.690557324488115,0.309442675511885,0.995017464384593,0.445873000606366,0.900707742088667,0.980690721506837,0.00498253561540651,0.00493124426133307,0.445873000606366,-0.048267535266917,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,13,2,3,z,0,1,2,tac,D,63,1,2D,3D,0,1,z,2.11237790000087,0,1,1,1,3D,2D,D23,2.63905732961526,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.397605465339449,0.999948708645927,0.5,0.489822775195915,0.445873000606366,0.5,0.999999454554626,0.397605465339449,0.445873000606366,0.5,0.43679750108388,0.999948708645927,0.695981448828027,0.304018551171973,0.999948708645927,0.43679750108388,0.767457489091317,0.982707938730324,5.12913540734461e-05,5.07633492169323e-05,0.43679750108388,-0.0472850761526159,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,14,2,3,b,1,0,1,tac,C,63,1,2C,3C,1,0,b,2.50117239999963,1,0,1,1,2C,3C,C23,2.67414864942653,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.397605465339449,0.999948708645927,0.5,0.489822775195915,0.445873000606366,0.5,0.999999454554626,0.397605465339449,0.445873000606366,0.5,0.389512424931264,0.999999471995143,0.715509397770592,0.284490602229408,0.999999454554626,0.397605465339449,0.432844016689502,0.988438756575984,5.45445373534292e-07,5.39830434888363e-07,0.397605465339449,-0.0430423815626677,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,15,3,1,z,0,1,3,tac,B,27,1,3B,1B,0,1,z,1.75963670000056,0,1,1,1,1B,3B,B31,3.40119738166216,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.397605465339449,0.999948708645927,0.5,0.489822775195915,0.445873000606366,0.5,0.999999994385061,0.354563083776781,0.445873000606366,0.5,0.389512424931264,0.999999471995143,0.671209456947885,0.328790543052115,0.999948708645927,0.489822775195915,0.753407065408279,0.971575141540754,5.12913540734461e-05,5.07633492169323e-05,0.489822775195915,-0.0530252741120346,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,16,0,3,b,1,0,0,tac,A,9,1,0A,3A,1,0,b,2.71860960000049,1,0,1,1,0A,3A,A03,3.43398720448515,0.995176780058386,0.479852702201255,0.445873000606366,0.5,0.397605465339449,0.999999471995143,0.5,0.43679750108388,0.445873000606366,0.5,0.999999994385061,0.354563083776781,0.445873000606366,0.5,0.389512424931264,0.999999471995143,0.66559138245815,0.33440861754185,0.995176780058386,0.5,0.346990034645848,0.96801125217955,0.00482321994161405,0.00477356861929647,0.5,-0.0541269993936339,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,17,2,3,z,0,1,2,tac,D,63,1,2D,3D,0,1,z,1.94528710000122,0,1,1,1,3D,2D,D23,2.36712361413162,0.999950348677682,0.479852702201255,0.445873000606366,0.445873000606366,0.397605465339449,0.999999471995143,0.5,0.43679750108388,0.445873000606366,0.5,0.999999994385061,0.354563083776781,0.445873000606366,0.5,0.389512424931264,0.999999471995143,0.719676797447461,0.280323202552539,0.999999471995143,0.389512424931264,0.983590357377253,0.989329959010119,5.28004856503728e-07,5.22569454504053e-07,0.389512424931264,-0.0421662775761348,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,18,0,2,z,0,1,1,tac,C,27,1,0C,2C,0,1,z,2.88618900000074,0,1,1,1,2C,0C,C02,2.80336038090653,0.999950348677682,0.479852702201255,0.445873000606366,0.445873000606366,0.397605465339449,0.999999471995143,0.5,0.43679750108388,0.445873000606366,0.5,0.999999994385061,0.354563083776781,0.445873000606366,0.5,0.347346147355129,0.999999994564598,0.691623675004035,0.308376324995965,0.999999994385061,0.445873000606366,0.254846543660716,0.981183959142799,5.61493862516471e-09,5.55713717077401e-09,0.445873000606366,-0.048267535266917,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
CBC_1007,CBC_1007_MSI_TV_v3_Vset1_Tset3_2023-06-21_16h50.43.207.csv,4,19,0,1,b,1,0,0,tac,A,63,1,0A,1A,1,0,b,3.09496350000154,1,0,1,1,0A,1A,A01,2.42774823594805,0.999950348677682,0.479852702201255,0.445873000606366,0.445873000606366,0.397605465339449,0.999999471995143,0.5,0.43679750108388,0.397605465339449,0.5,0.999999999942199,0.354563083776781,0.445873000606366,0.5,0.347346147355129,0.999999994564598,0.675732049669553,0.324267950330447,0.999950348677682,0.479852702201255,0.205211299882832,0.973943369717858,4.96513223176009e-05,4.91402003207341e-05,0.479852702201255,-0.0519459738421618,CBCbothPairsAsymRW,CBCdriftDiffusionLR,0.5,0.989705772716437,0.0203544496081708,0.108253998787268,0.0319748188652744,1.3281241486621,3.54780002799349,2.90547026218925,0.5,37.2924629564931
