ID,session,trialNr,visStimLeft,mod2Stim,match,correctKey,frequency,rewardAccurate,stimPair,probFB,surprise,0A belief,1A belief,2A belief,0B belief,1B belief,2B belief,0C belief,1C belief,2C belief,reactionTime,choice,beliefPair,choiceAccurate,reward,rewardPE,update2,sim_percModel,sim_respModel,sim_startBelief,sim_alpha1,sim_nonDecisionTime,sim_weight,sim_startingBoundary,sim_startingPoint,lik,corrLik,fit_percModel,fit_respModel,fit_startBelief,fit_alpha1,fit_nonDecisionTime,fit_weight,fit_startingBoundary,fit_startingPoint,fit_NLL
106,1,11,0,C,0,left,14,1,0C,1,2.94443897916644,0.999163215169706,0.0204546428750781,0.5,0.000836784830293969,0.979545357124922,0.5,0.5,0.0204546428750781,0.999965767730266,4.59511827438515,0,0.5,1,1,0.5,-0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.102441318222595,0.499480895307997,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,12,1,B,1,left,50,1,1B,1,2.30258509299405,0.999163215169706,0.0204546428750781,0.5,0.000836784830293969,0.979545357124922,0.5,0.0204546428750781,0.0204546428750781,0.999965767730266,2.82111827438515,1,0.979545357124922,1,1,0.0204546428750781,0.0196178580447842,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,14.4427669846704,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,13,2,A,0,left,36,1,2A,1,3.04452243772342,0.999163215169706,0.0204546428750781,0.5,0.000836784830293969,0.999163215169706,0.5,0.0204546428750781,0.0204546428750781,0.999965767730266,4.79111827438515,0,0.5,1,1,0.5,-0.479545357124922,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,0.0981624848527812,0.500011741499036,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,14,1,C,0,left,36,1,1C,1,2.39789527279837,0.999163215169706,0.0204546428750781,0.0204546428750781,0.000836784830293969,0.999163215169706,0.5,0.0204546428750781,0.0204546428750781,0.999965767730266,2.80811827438515,0,0.0204546428750781,1,1,0.0204546428750781,-0.0196178580447842,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,10.8951966184133,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,15,2,A,0,left,36,1,2A,1,2.4423470353692,0.999163215169706,0.0204546428750781,0.0204546428750781,0.000836784830293969,0.999163215169706,0.5,0.0204546428750781,0.000836784830293969,0.999965767730266,2.82911827438515,0,0.0204546428750781,1,1,0.0204546428750781,-0.0196178580447842,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,14.8647423131407,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,16,1,B,1,left,50,1,1B,1,2.07944154167984,0.999163215169706,0.0204546428750781,0.000836784830293969,0.000836784830293969,0.999163215169706,0.5,0.0204546428750781,0.000836784830293969,0.999965767730266,2.77911827438515,1,0.999163215169706,1,1,0.000836784830293924,0.000802552560560034,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,1.74297638129188,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,17,2,A,0,left,36,1,2A,1,2.12026353620009,0.999163215169706,0.0204546428750781,0.000836784830293969,0.000836784830293969,0.999965767730266,0.5,0.0204546428750781,0.000836784830293969,0.999965767730266,2.80911827438515,0,0.000836784830293969,1,1,0.000836784830293924,-0.000802552560560034,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,13.5471716061748,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,18,1,B,1,left,50,1,1B,1,1.87180217690159,0.999163215169706,0.0204546428750781,3.42322697339353e-05,0.000836784830293969,0.999965767730266,0.5,0.0204546428750781,0.000836784830293969,0.999965767730266,2.82411827438515,1,0.999965767730266,1,1,3.42322697338693e-05,3.283185202945e-05,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,15.7731148274167,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,19,0,A,1,left,50,1,0A,1,2.19722457733622,0.999163215169706,0.0204546428750781,3.42322697339353e-05,0.000836784830293969,0.999998599582296,0.5,0.0204546428750781,0.000836784830293969,0.999965767730266,2.84611827438515,1,0.999163215169706,1,1,0.000836784830293924,0.000802552560560034,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,10.6967656996616,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,20,2,C,1,left,50,1,2C,1,1.94591014905531,0.999965767730266,0.0204546428750781,3.42322697339353e-05,0.000836784830293969,0.999998599582296,0.5,0.0204546428750781,0.000836784830293969,0.999965767730266,2.82411827438515,1,0.999965767730266,1,1,3.42322697338693e-05,3.283185202945e-05,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,15.7725370343606,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
106,1,21,0,B,0,left,36,1,0B,1,2.26868354131836,0.999965767730266,0.0204546428750781,3.42322697339353e-05,0.000836784830293969,0.999998599582296,0.5,0.0204546428750781,0.000836784830293969,0.999998599582296,2.83911827438515,0,0.000836784830293969,1,1,0.000836784830293924,-0.000802552560560034,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.950411265582495,2.68411827438515,14.1106348855558,4.03556041449095,0.5,12.8829357626003,1,CBCsimpleRW,CBCdriftDiffusionLR,0.5,0.959090714249844,2.68635136698437,14.4311988152035,4.11826445057357,0.5,-54.5634833494291
