trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,2,0,36,1,2.260653249681576,2.71666458349534,None,349.3357821999998,None,352.11158109999997,None,352.11917981999943,None,['z'],352.11158109999997,None,None,,354.0526446999993,None,z,1.1084679000014148,0,0,0.3333333333333333,356.3257053999987,None,None,356.3257053999987,None,,[1.1084679000014148],,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
9,0,9,0,,,,,,,,,,0,0,0,36,1,2.9608932424063896,1.931001549337,None,358.13581840000006,None,360.1280528999996,None,360.13565922000055,None,None,360.1280528999996,None,['b'],[0.7283499000022857],362.06985539999914,None,b,2.7283499000022857,1,1,0.4,365.04502010000033,None,None,365.04502010000033,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
10,0,10,0,,,,,,,,,,2,2,0,36,1,3.3535975560099702,1.09364692357212,None,366.8526600999994,None,367.98788969999987,None,367.985947449999,None,None,367.98788969999987,None,None,,369.9360087999994,None,[],[],0,3,0.36363636363636365,373.30939450000005,None,None,373.30939450000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
11,0,11,0,,,,,,,,,,0,1,0,14,1,4.75208449114276,2.24098228083631,None,375.11926779999885,None,377.4015972999987,None,377.40249074999883,None,None,377.4015972999987,None,['z'],[0.5162853000019823],379.3525540999999,None,z,2.5162853000019823,0,0,0.3333333333333333,384.1181445000002,None,None,384.1181445000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
12,0,12,0,,,,,,,,,,1,0,1,50,1,2.096051788593735,1.92795341140246,None,385.91934109999966,None,387.89216529999976,None,387.9025140200007,None,None,387.89216529999976,None,['b'],[1.640230100001645],389.83606839999993,None,b,3.640230100001645,0,0,0.3076923076923077,391.9350658000003,None,None,391.9350658000003,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
13,0,13,0,,,,,,,,,,2,1,1,50,1,2.664345149861413,1.49618260131236,None,393.73610089999966,None,395.2911394999992,None,395.3024996199998,None,None,395.2911394999992,None,['z'],[0.25259770000229764],397.2359117999986,None,z,2.2525977000022976,1,1,0.35714285714285715,399.9113502,None,None,399.9113502,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
14,0,14,0,,,,,,,,,,0,0,0,36,1,2.269747919971076,3.25187717164471,None,401.71921440000006,None,405.02728919999936,None,405.0360749200005,None,['z'],405.02728919999936,None,None,,406.9686851999995,None,z,1.6832235000019864,0,0,0.3333333333333333,409.2603920999991,None,None,409.2603920999991,None,,[1.6832235000019864],,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
15,0,15,0,,,,,,,,,,2,1,1,50,0,4.79595120749692,0.859460502749755,None,411.0695543999991,None,411.970838199999,None,411.96999675000006,None,None,411.970838199999,None,['z'],[0.4690745000007155],413.91936389999864,None,z,2.4690745000007155,1,0,0.375,418.7263573,None,None,418.7263573,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
16,0,16,0,,,,,,,,,,0,2,1,50,1,3.9110799880328697,1.85507739556255,None,420.536226799999,None,422.4205947999999,None,422.4184835799992,None,['b'],422.4205947999999,None,"['z', 'z', 'z']","[2.7704603000020143, 3.417791900001248, 3.6576861000012286]",424.3695263999998,None,b,1.7831543000011152,0,0,0.35294117647058826,428.2922101000004,None,None,428.2922101000004,None,,[1.7831543000011152],,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
17,0,17,0,,,,,,,,,,1,1,0,36,1,3.78496720151373,2.9722947448457,None,430.1020837999986,None,433.1248341999999,None,433.1360793199998,None,None,433.1248341999999,None,"['z', 'b']","[0.29558880000149657, 0.33307350000177394]",435.068840599999,None,z,2.2955888000014966,0,0,0.3333333333333333,438.8591187999991,None,None,438.8591187999991,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
18,0,18,0,,,,,,,,,,0,2,1,50,1,4.85706913915242,2.31238477131615,None,440.66895920000024,None,443.00155470000027,None,443.0016982799993,None,"['b', 'z']",443.00155470000027,None,None,,444.9530060999987,None,b,1.0127659000027052,0,0,0.3157894736842105,449.82742399999916,None,None,449.82742399999916,None,,"[1.0127659000027052, 1.8806638000023668]",,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
19,0,19,0,,,,,,,,,,1,0,1,50,1,3.0795770157756097,0.760509851028298,None,451.63637050000034,None,452.4369138999991,None,452.43599514999914,None,None,452.4369138999991,None,['z'],[0.5768657000007806],454.38639129999865,None,z,2.5768657000007806,1,1,0.35,457.4786648999998,None,None,457.4786648999998,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
20,0,20,0,,,,,,,,,,0,1,0,14,1,2.143942873030107,1.14006717102905,None,459.28645159999905,None,460.4752506999994,None,460.48624881999933,None,None,460.4752506999994,None,['z'],[0.11099530000137747],462.419584199999,None,z,2.1109953000013775,0,0,0.3333333333333333,464.5775199999989,None,None,464.5775199999989,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
21,0,21,0,,,,,,,,,,1,0,1,50,1,3.08399219778019,1.49331160364633,None,466.3862317999992,None,467.92720499999996,None,467.9363418200006,None,['z'],467.92720499999996,None,None,,469.8698298999989,None,z,1.5032478000011906,1,1,0.36363636363636365,472.9607896999987,None,None,472.9607896999987,None,,[1.5032478000011906],,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
22,0,22,0,,,,,,,,,,2,1,1,50,1,2.435645686656409,0.823898895776125,None,474.7698270000001,None,475.63807519999864,None,475.6360849499997,None,None,475.63807519999864,None,"['z', 'b']","[0.4808937000016158, 0.5406477000015002]",477.58639500000027,None,z,2.480893700001616,1,1,0.391304347826087,480.04176949999965,None,None,480.04176949999965,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
23,0,23,0,,,,,,,,,,2,1,1,50,1,4.3560033776911595,2.19546497995913,None,481.85338779999984,None,484.08372769999914,None,484.085716779999,None,None,484.08372769999914,None,"['z', 'b']","[2.6116165000021283, 2.663565300003029]",486.0366615999992,None,z,4.611616500002128,1,1,0.4166666666666667,490.4110617999995,None,None,490.4110617999995,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
24,0,24,0,,,,,,,,,,1,2,0,14,1,2.8965037234387068,2.55132244875705,None,492.2196236,None,494.82558470000004,None,494.8363223199991,None,None,494.82558470000004,None,['b'],[1.0670811000018148],496.7689911999987,None,b,3.0670811000018148,1,1,0.44,499.67593560000023,None,None,499.67593560000023,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
25,0,25,0,,,,,,,,,,0,0,0,36,1,2.0691390047117237,1.52074017648695,None,501.48658859999887,None,503.0598546000001,None,503.06970392000005,None,None,503.0598546000001,None,['b'],[0.362106100001256],505.0032605999986,None,b,2.362106100001256,1,1,0.46153846153846156,507.0852505999992,None,None,507.0852505999992,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
26,0,26,0,,,,,,,,,,2,2,0,36,1,3.0109893695593497,2.79689535976632,None,508.8874834999988,None,511.74032329999864,None,511.75307122000015,None,['z'],511.74032329999864,None,"['b', 'b']","[0.9273398000004818, 1.441721500001222]",513.6870433999993,None,z,1.8641771000002336,0,0,0.4444444444444444,516.7112443999995,None,None,516.7112443999995,None,,[1.8641771000002336],,,,,,,,,,,,,,,,,,,,,CBC_1149,3,3,2,6,4,0.95,2024-11-02_14h39.25.429,MSI_AV_v1,2022.1.1,60.02862164701293,
