trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
34,0,34,0,,,,,,,,,,0,2,0,36,1,2.9608932424063896,1.09364692357212,None,669.3661964999997,None,670.5031322,None,670.4997073000004,None,None,670.5031322,None,['b'],[0.2062391999997999],672.4496922000003,None,b,2.2062391999998,0,0,0.4857142857142857,675.4211802000004,None,None,675.4211802000004,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
35,0,35,0,,,,,,,,,,2,0,1,50,1,4.89745263827305,0.767372347918183,None,677.2332623999996,None,678.0559676999997,None,678.0667126400004,None,None,678.0559676999997,None,None,,680.00009,None,[],[],0,3,0.4722222222222222,684.9064237999996,None,None,684.9064237999996,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
36,0,36,0,,,,,,,,,,0,2,0,36,1,2.0935163976022517,1.49331160364633,None,686.7154384999999,None,688.2474926,None,688.2496139000004,None,None,688.2474926,None,['z'],[0.3084524000005331],690.2000028999996,None,z,2.308452400000533,1,1,0.4864864864864865,692.3082995999998,None,None,692.3082995999998,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
37,0,37,0,,,,,,,,,,1,0,0,36,1,2.664345149861413,2.46643561303325,None,694.1155972000001,None,696.6204694000003,None,696.6333242399998,None,None,696.6204694000003,None,['b'],[0.4675197999995362],698.5664343000003,None,b,2.467519799999536,0,0,0.47368421052631576,701.2411305,None,None,701.2411305,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
38,0,38,0,,,,,,,,,,0,1,1,50,1,2.435645686656409,2.13476920223271,None,703.0501128999999,None,705.2349067,None,705.2335162999998,None,None,705.2349067,None,['z'],[0.705716499999653],707.1823558000001,None,z,2.705716499999653,0,0,0.46153846153846156,709.6319811999997,None,None,709.6319811999997,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
39,0,39,0,,,,,,,,,,1,0,0,36,1,4.08205346963855,2.71666458349534,None,711.4331003000002,None,714.203927,None,714.2000883999999,None,None,714.203927,None,['b'],[0.35257719999935944],716.1501849000001,None,b,2.3525771999993594,0,0,0.45,720.2406038000004,None,None,720.2406038000004,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
40,0,40,0,,,,,,,,,,0,1,1,50,1,3.75606544973216,2.24098228083631,None,722.0501271999997,None,724.3349100999999,None,724.3331306,None,None,724.3349100999999,None,['z'],[0.8512884000001577],726.2834600000001,None,z,2.8512884000001577,0,0,0.43902439024390244,730.0491262999999,None,None,730.0491262999999,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
41,0,41,0,,,,,,,,,,2,0,1,50,1,3.08399219778019,2.711340609857,None,731.8504119000004,None,734.6016025000004,None,734.5998657999999,None,None,734.6016025000004,None,['b'],[0.3124988999998095],736.5504642999999,None,b,2.3124988999998095,1,1,0.4523809523809524,739.6422680999999,None,None,739.6422680999999,None,,,,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,741.4499483000004,None,,,,,,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.4500972000001,None,None,746.4500972000001,None,,,,,,,,,,,,CBC_1116,1,5,1,1,21,0.95,2024-09-27_13h50.47.660,MSI_AV_v1,2022.1.1,59.91600973764874,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[1, 2, 0]",b,z,0.5,0.5,0.35714285714285715,19,2,21,,,,,,,,,,,,
