trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
23,0,23,0,,,,,,,,,,2.0,0,0.0,14.0,1.0,2.260653249681576,1.85507739556255,None,305.54150149999987,None,307.4447688,None,307.4575943200001,None,['b'],[0.7602077999999892],307.4447688,None,None,309.39088790000005,None,b,0.7602077999999892,0,0,0.2916666666666667,311.6639711000007,None,None,311.6639711000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
24,0,24,0,,,,,,,,,,0.0,2,1.0,50.0,0.0,2.664345149861413,2.9722947448457,None,313.47442130000036,None,316.49732140000015,None,316.5076573200007,None,['b'],[0.9459540999996534],316.49732140000015,None,None,318.44100550000076,None,b,0.9459540999996534,1,0,0.32,321.1113658000004,None,None,321.1113658000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
25,0,25,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,3.0109893695593497,0.872854310065634,None,322.92483660000016,None,323.84514880000006,None,323.8576851199999,None,['z'],[1.1383305999997901],323.84514880000006,None,None,325.79130090000035,None,z,1.1383305999997901,1,1,0.34615384615384615,328.81539150000026,None,None,328.81539150000026,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
26,0,26,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.435645686656409,2.41859016397919,None,330.62458360000073,None,333.0941449000002,None,333.0912642500002,None,['b'],[0.7984711999997671],333.0941449000002,None,None,335.04091320000043,None,b,0.7984711999997671,1,1,0.37037037037037035,337.4997772000006,None,None,337.4997772000006,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
27,0,27,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,3.9110799880328697,0.823898895776125,None,339.30775520000043,None,340.18589990000055,None,340.19140752000055,None,['b'],[1.6691424000000552],340.18589990000055,None,None,342.12514530000044,None,b,1.6691424000000552,0,0,0.35714285714285715,346.0480137000004,None,None,346.0480137000004,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
28,0,28,0,,,,,,,,,,2.0,0,0.0,14.0,1.0,3.00616914487701,2.711340609857,None,347.85774370000036,None,350.6328880000001,None,350.64136882000037,None,['b'],[1.8374862999999095],350.6328880000001,None,None,352.5745695000005,None,b,1.8374862999999095,0,0,0.3448275862068966,355.5963999000005,None,None,355.5963999000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
29,0,29,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.9608932424063896,1.49618260131236,None,357.40794000000005,None,358.96353720000025,None,358.9746880200004,None,['b'],[1.1643161999991207],358.96353720000025,None,None,360.90788430000066,None,b,1.1643161999991207,1,1,0.36666666666666664,363.8803103,None,None,363.8803103,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
30,0,30,0,,,,,,,,,,1.0,0,1.0,50.0,1.0,3.22645636662535,2.32696722275902,None,365.69127520000075,None,368.0615617000003,None,368.05815075000055,None,['b'],[1.026749499998914],368.0615617000003,None,None,370.00820230000045,None,b,1.026749499998914,1,1,0.3870967741935484,373.2494578000005,None,None,373.2494578000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
31,0,31,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.269747919971076,3.093067417437,None,375.0583151999999,None,378.19378030000007,None,378.19163755,None,['b'],[1.0935267999993812],378.19378030000007,None,None,380.1412218000005,None,b,1.0935267999993812,1,1,0.40625,382.43110049999996,None,None,382.43110049999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
32,0,32,0,,,,,,,,,,1.0,1,0.0,36.0,1.0,2.755584162388418,0.767372347918183,None,384.2413991000003,None,385.04206479999993,None,385.04045618000015,None,['z'],[0.7764460999997027],385.04206479999993,None,None,386.99135879999994,None,z,0.7764460999997027,1,1,0.42424242424242425,389.7659770999999,None,None,389.7659770999999,None,,,,,,,,,,,,,,,,,,,,,,CBC_1063,2,2,3,3,16,0.95,2024-02-17_10h54.14.818,MSI_AV_v1,2022.1.1,59.8817455291758,
