trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
11,0,11,0,,,,,,,,,,2,2,1,50,1,2.435645686656409,0.823898895776125,None,187.5488132999999,None,188.34905706999962,188.34905706999962,b,['b'],1.7057039000001168,[1.7057039000001168],None,190.35234089999994,None,b,1.7057039000001168,1,1,0.8333333333333334,192.81192050000027,None,None,192.81192050000027,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
12,0,12,0,,,,,,,,,,0,1,0,36,1,2.260653249681576,2.68012679460483,None,194.61561999999958,None,197.28289446999952,197.28289446999952,None,[],,,['z'],199.2867438000003,None,z,2.5464756999999736,1,1,0.8461538461538461,201.56322269999964,None,None,201.56322269999964,None,[0.5464756999999736],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
13,0,13,0,,,,,,,,,,1,0,0,14,1,3.0795770157756097,1.93473628110684,None,203.36554249999972,None,205.28287526999975,205.28287526999975,None,[],,,['z'],207.28873870000007,None,z,2.1761317000000417,1,1,0.8571428571428571,210.3967477999995,None,None,210.3967477999995,None,[0.17613170000004175],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
14,0,14,0,,,,,,,,,,2,2,1,50,1,2.664345149861413,0.760509851028298,None,212.19896179999978,None,212.93255446999956,212.93255446999956,b,['b'],1.2426169000009395,[1.2426169000009395],None,214.93784809999943,None,b,1.2426169000009395,1,1,0.8666666666666667,217.62818249999964,None,None,217.62818249999964,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
15,0,15,0,,,,,,,,,,1,1,1,50,1,3.9110799880328697,2.96697800987238,None,219.43218139999954,None,222.38231266999992,222.38231266999992,b,['b'],1.8592725000007704,[1.8592725000007704],None,224.3881408999996,None,b,1.8592725000007704,1,1,0.875,228.31177000000025,None,None,228.31177000000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
16,0,16,0,,,,,,,,,,2,2,1,50,1,3.19303509672656,2.32696722275902,None,230.11593650000032,None,232.41529206999985,232.41529206999985,b,['b'],1.399799200000416,[1.399799200000416],None,234.4180236000002,None,b,1.399799200000416,1,1,0.8823529411764706,237.62939540000025,None,None,237.62939540000025,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
17,0,17,0,,,,,,,,,,0,1,0,36,1,3.3535975560099702,1.1680331695907,None,239.43201690000024,None,240.5824959700003,240.5824959700003,None,[],,,['z'],242.58708109999952,None,z,2.063415000000532,1,1,0.8888888888888888,245.9633834999995,None,None,245.9633834999995,None,[0.06341500000053202],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
18,0,18,0,,,,,,,,,,2,0,0,36,1,4.89745263827305,0.872854310065634,None,247.76564820000021,None,248.61572977000014,248.61572977000014,None,[],,,['z'],250.61963959999957,None,z,2.32984740000029,1,1,0.8947368421052632,255.5462155999994,None,None,255.5462155999994,None,[0.3298474000002898],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
19,0,19,0,,,,,,,,,,0,2,0,14,1,4.75208449114276,1.90695111352951,None,257.34895659999984,None,259.23273186999995,259.23273186999995,None,[],,,['z'],261.2361867999998,None,z,2.465160900000228,1,1,0.9,266.01162120000026,None,None,266.01162120000026,None,[0.46516090000022814],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
20,0,20,0,,,,,,,,,,1,1,1,50,0,2.93061443445534,1.85507739556255,None,267.8157504999999,None,269.6491460699999,269.6491460699999,b,['b'],1.6663932999999815,[1.6663932999999815],None,271.65144989999953,None,b,1.6663932999999815,1,0,0.9047619047619048,274.5941904000001,None,None,274.5941904000001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
21,0,21,0,,,,,,,,,,0,0,1,50,1,4.79396941305267,2.55132244875705,None,276.3987138000002,None,278.93257236999943,278.93257236999943,None,[],,,['z'],280.93559149999965,None,z,2.4107499000001553,0,0,0.8636363636363636,285.74478699999963,None,None,285.74478699999963,None,[0.4107499000001553],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
22,0,22,0,,,,,,,,,,1,2,0,36,1,2.269747919971076,2.46643561303325,None,287.5490112999996,None,289.9994361700001,289.9994361700001,b,['b'],1.5834879000003639,[1.5834879000003639],['z'],292.0033950999996,None,b,1.5834879000003639,0,0,0.8260869565217391,294.2950396999995,None,None,294.2950396999995,None,[0.2863641000003554],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
23,0,23,0,,,,,,,,,,2,1,0,14,1,3.6791616380244196,3.093067417437,None,296.09942279999996,None,299.16611596999974,299.16611596999974,None,[],,,['b'],301.1708090000002,None,b,3.136614300000474,0,0,0.7916666666666666,304.8620154,None,None,304.8620154,None,[1.136614300000474],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
24,0,24,0,,,,,,,,,,0,0,1,50,1,2.755584162388418,1.52074017648695,None,306.66601079999964,None,308.1661128699998,308.1661128699998,None,[],,,['b'],310.1698300999997,None,b,2.2222664000000805,1,1,0.8,312.9464576999999,None,None,312.9464576999999,None,[0.22226640000008047],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
25,0,25,0,,,,,,,,,,1,1,1,50,1,4.08205346963855,0.864984636888209,None,314.7492665,None,315.5992237700002,315.5992237700002,b,['b'],1.9622172000008504,[1.9622172000008504],None,317.60388559999956,None,b,1.9622172000008504,1,1,0.8076923076923077,321.7125764000002,None,None,321.7125764000002,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
26,0,26,0,,,,,,,,,,2,0,0,36,1,2.096051788593735,2.31238477131615,None,323.51591069999995,None,325.7993259699997,325.7993259699997,None,[],,,['z'],327.80253489999996,None,z,2.5458548000005976,1,1,0.8148148148148148,329.9123303999995,None,None,329.9123303999995,None,[0.5458548000005976],,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
27,0,27,0,,,,,,,,,,0,1,0,36,1,2.9608932424063896,2.41859016397919,None,331.7159038,None,334.11594607000006,334.11594607000006,z,['z'],1.6271440999998958,[1.6271440999998958],None,336.11935059999996,None,z,1.6271440999998958,1,1,0.8214285714285714,339.09548339999947,None,None,339.09548339999947,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
28,0,28,0,,,,,,,,,,2,0,0,36,1,2.533372966674614,2.71666458349534,None,340.89922019999995,None,343.5993011700002,343.5993011700002,z,['z'],1.6840485000002445,[1.6840485000002445],None,345.6045478999995,None,z,1.6840485000002445,1,1,0.8275862068965517,348.1624936999997,None,None,348.1624936999997,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1065,002,1,2,1,18,0.95,2024-05-10_14h36.16.298,MSI_TV_v1,2022.1.1,59.95254156834246,
