trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,allKeys.rt,keys_3.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,2,2,0,36,1,3.35750049552731,2.96697800987238,None,566.5323799000034,None,569.4835613900046,569.4835613900046,None,[],['b'],[2.13894949999667],571.4827976000015,None,b,4.13894949999667,0,0,0.5555555555555556,574.8595354999998,None,None,574.8595354999998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
27,0,27,0,,,,,,,,,,0,0,0,36,1,2.0691390047117237,1.09364692357212,None,576.6653262000036,None,577.7331418900045,577.7331418900045,None,[],['z'],[1.5924846999987494],579.7421457000019,None,z,3.5924846999987494,1,1,0.5714285714285714,581.8157055000047,None,None,581.8157055000047,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
28,0,28,0,,,,,,,,,,2,2,0,36,1,3.9110799880328697,0.886051557539332,None,583.6168096000038,None,584.4824329899981,584.4824329899981,None,[],['b'],[0.2769394999995711],586.4787934999986,None,b,2.276939499999571,0,0,0.5517241379310345,590.4111893000008,None,None,590.4111893000008,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
29,0,29,0,,,,,,,,,,0,1,0,14,1,3.22645636662535,3.44771472893932,None,592.2155478999994,None,595.633645890002,595.633645890002,b,"['b', 'z']",['z'],[0.49596700000256533],597.6396343000015,None,b,1.0565962999971816,0,0,0.5333333333333333,600.8775199000011,None,None,600.8775199000011,None,1.0565962999971816,"[1.0565962999971816, 1.0688609999997425]",,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
30,0,30,0,,,,,,,,,,1,0,1,50,1,3.8484563543876202,2.68012679460483,None,602.6833477000037,None,605.3502473899986,605.3502473899986,b,"['b', 'b', 'b']",['b'],[0.11481409999396419],607.3500469999999,None,b,1.0288602000000537,1,1,0.5483870967741935,611.2119812000019,None,None,611.2119812000019,None,1.0288602000000537,"[1.0288602000000537, 1.5805237999957171, 1.8819401000000653]",,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
31,0,31,0,,,,,,,,,,1,0,1,50,1,2.8965037234387068,1.93473628110684,None,613.0165586000003,None,614.932707990001,614.932707990001,None,[],['b'],[0.2684244999982184],616.9283523999984,None,b,2.2684244999982184,1,1,0.5625,619.846303899998,None,None,619.846303899998,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
32,0,32,0,,,,,,,,,,2,1,1,50,0,2.9608932424063896,3.19646747994707,None,621.6503709000026,None,624.8333284899978,624.8333284899978,None,[],['z'],[0.2863059000010253],626.8390317000012,None,z,2.2863059000010253,0,1,0.5454545454545454,629.812679900002,None,None,629.812679900002,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
33,0,33,0,,,,,,,,,,1,2,0,14,1,3.8873543302872697,2.55132244875705,None,631.616866700002,None,634.150102090001,634.150102090001,None,[],['z'],[0.5786423000026844],636.1541465000046,None,z,2.5786423000026844,1,1,0.5588235294117647,640.0634394000008,None,None,640.0634394000008,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
34,0,34,0,,,,,,,,,,0,0,0,36,1,3.0109893695593497,1.90695111352951,None,641.8669630000004,None,643.7505216900005,643.7505216900005,None,[],['z'],[0.7474560999980895],645.7505716000014,None,z,2.7474560999980895,1,1,0.5714285714285714,648.7800226000036,None,None,648.7800226000036,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
35,0,35,0,,,,,,,,,,2,1,1,50,1,3.6791616380244196,2.24098228083631,['b'],650.5835606000037,None,652.8004280900037,652.8004280900037,b,"['b', 'b']",['b'],[0.12966659999801777],654.8062930000015,None,b,1.0812502999979188,1,1,0.5833333333333334,658.4992764999988,None,None,658.4992764999988,None,1.0812502999979188,"[1.0812502999979188, 1.706310299996403]",[0.42418110000289744],,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
36,0,36,0,,,,,,,,,,0,0,0,36,1,2.143942873030107,0.760509851028298,None,660.3001239000005,None,661.0330807900006,661.0330807900006,None,[],['z'],[0.28448419999767793],663.0280334999989,None,z,2.284484199997678,1,1,0.5945945945945946,665.1956991000043,None,None,665.1956991000043,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
37,0,37,0,,,,,,,,,,1,1,0,36,1,4.79595120749692,0.872854310065634,None,667.0001923000018,None,667.8507091900007,667.8507091900007,b,['b'],None,,669.8566837000035,None,b,1.696691799996188,0,0,0.5789473684210527,674.6773098000049,None,None,674.6773098000049,None,1.696691799996188,[1.696691799996188],,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
38,0,38,0,,,,,,,,,,0,2,1,50,1,2.755584162388418,0.767372347918183,None,676.482952600003,None,677.2336826900042,677.2336826900042,b,"['b', 'b', 'b']",None,,679.232768300004,None,b,0.147390500002075,1,1,0.5897435897435898,682.0099122000029,None,None,682.0099122000029,None,0.147390500002075,"[0.147390500002075, 0.9607977999985451, 1.9728064000009908]",,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
39,0,39,0,,,,,,,,,,1,1,0,36,1,2.096051788593735,3.25187717164471,None,683.8174192000006,None,687.0496832900004,687.0496832900004,b,['b'],None,,689.045292200004,None,b,1.7031590999977197,0,0,0.575,691.1606899000035,None,None,691.1606899000035,None,1.7031590999977197,[1.7031590999977197],,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
40,0,40,0,,,,,,,,,,0,2,1,50,1,2.269747919971076,2.71666458349534,None,692.9669594000006,None,695.6672446900026,695.6672446900026,None,[],['z'],[1.095404999992752],697.6713365000032,None,z,3.095404999992752,0,0,0.5609756097560976,699.9614731000038,None,None,699.9614731000038,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
41,0,41,0,,,,,,,,,,2,1,1,50,1,4.08205346963855,0.864984636888209,None,701.7671400000036,None,702.6172810900003,702.6172810900003,None,[],['b'],[0.9825196999954642],704.6149785000016,None,b,2.982519699995464,1,1,0.5714285714285714,708.7138994999987,None,None,708.7138994999987,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,710.5172596000048,None,,,,,,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715.5175291999985,None,None,715.5175291999985,None,,,,,,,,,,,,CBC_1057,3,2,3,1,10,0.95,2024-02-07_17h02.19.501,MSI_TV_v1,2022.1.1,59.99937600610367,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[2, 0, 1]",b,z,0.5714285714285714,0.5714285714285714,0.5714285714285714,24,0,18,,,,,,,,,,,,
