trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_4.rt,allKeys.rt,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,1,0,0,36,1,2.0691390047117237,1.49331160364633,None,172.36471209999945,None,173.83140812000073,173.83140812000073,None,[],,,['b'],175.83660710000004,None,b,2.047931700000845,1,1,0.6666666666666666,177.91387020000002,None,None,177.91387020000002,None,[0.04793170000084501],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
9,0,9,0,,,,,,,,,,2,1,0,36,1,4.85706913915242,2.46471651569721,None,179.71477740000046,None,182.16486011999967,182.16486011999967,None,[],,,['z'],184.16986700000052,None,z,2.6065579000005528,0,0,0.6,189.04184700000042,None,None,189.04184700000042,None,[0.6065579000005528],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
10,0,10,0,,,,,,,,,,1,2,1,50,1,2.143942873030107,0.886051557539332,None,190.84707379999963,None,191.71482101999953,191.71482101999953,None,[],,,['z'],193.7205482999998,None,z,2.5627354999996896,1,1,0.6363636363636364,195.8641158999999,None,None,195.8641158999999,None,[0.5627354999996896],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
11,0,11,0,,,,,,,,,,2,1,0,36,1,3.8873543302872697,3.25187717164471,None,197.66473029999906,None,200.89755752000036,200.89755752000036,None,[],,,['z'],202.89433950000057,None,z,2.582869700001538,0,0,0.5833333333333334,206.79340500000035,None,None,206.79340500000035,None,[0.5828697000015381],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
12,0,12,0,,,,,,,,,,0,2,0,36,1,2.9608932424063896,0.864984636888209,None,208.59802990000026,None,209.44813751999953,209.44813751999953,None,[],,,['z'],211.44792319999942,None,z,2.7610774000004312,0,0,0.5384615384615384,214.4146280999994,None,None,214.4146280999994,None,[0.7610774000004312],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
13,0,13,0,,,,,,,,,,1,1,0,14,1,4.75208449114276,2.9722947448457,None,216.214950399999,None,219.16489261999976,219.16489261999976,None,[],,,['b'],221.1678236000007,None,b,2.252624000000651,1,1,0.5714285714285714,225.94353279999996,None,None,225.94353279999996,None,[0.252624000000651],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
14,0,14,0,,,,,,,,,,2,0,1,50,1,2.396355568442425,2.79689535976632,None,227.74827019999975,None,230.53166851999976,230.53166851999976,None,[],,,['z'],232.535241399999,None,z,2.3190254000001005,1,1,0.6,234.94421739999962,None,None,234.94421739999962,None,[0.3190254000001005],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
15,0,15,0,,,,,,,,,,1,2,1,50,0,4.3560033776911595,1.90695111352951,None,236.74811129999944,None,238.63175401999996,238.63175401999996,None,[],,,['z'],240.6357898999995,None,z,4.901622400000633,1,0,0.625,245.00968119999925,None,None,245.00968119999925,None,[2.901622400000633],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
16,0,16,0,,,,,,,,,,2,0,1,50,1,2.533372966674614,1.09364692357212,None,246.8149427999997,None,247.88177161999937,247.88177161999937,None,[],,,None,249.8856068999994,None,None,[],0,3,0.5882352941176471,252.47360029999982,None,['z'],252.47360029999982,None,,[0.824318900000435],,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
17,0,17,0,,,,,,,,,,0,2,0,36,1,2.0935163976022517,0.872854310065634,None,254.24804539999968,None,255.0984409199993,255.0984409199993,None,[],,,"['z', 'z']",257.1034245999999,None,z,2.4217394000006607,0,0,0.5555555555555556,259.2094964000007,None,None,259.2094964000007,None,"[0.4217394000006607, 1.1764023000014276]",,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
18,0,18,0,,,,,,,,,,2,1,0,36,1,3.00616914487701,1.93473628110684,None,261.01496829999996,None,262.93180951999983,262.93180951999983,None,[],,,['b'],264.9351435000008,None,b,2.1525636999995186,1,1,0.5789473684210527,267.960219999999,None,None,267.960219999999,None,[0.15256369999951858],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
19,0,19,0,,,,,,,,,,1,2,1,50,1,4.08205346963855,1.49618260131236,None,269.7652137999994,None,271.2483999199996,271.2483999199996,None,[],,,['z'],273.2524042999994,None,z,2.716516700000284,1,1,0.6,277.3597442999999,None,None,277.3597442999999,None,[0.7165167000002839],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
20,0,20,0,,,,,,,,,,0,0,0,14,1,3.75606544973216,0.823898895776125,None,279.1651689999999,None,279.965169719999,279.965169719999,None,[],,,['z'],281.9680963999999,None,z,2.270421500001248,0,0,0.5714285714285714,285.7422814999991,None,None,285.7422814999991,None,[0.2704215000012482],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
21,0,21,0,,,,,,,,,,1,2,1,50,1,4.79396941305267,2.31238477131615,None,287.5484594999998,None,289.8484781200006,289.8484781200006,None,[],,,['z'],291.85294539999995,None,z,2.0123739000009664,1,1,0.5909090909090909,296.6600832000004,None,None,296.6600832000004,None,[0.012373900000966387],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
22,0,22,0,,,,,,,,,,0,1,1,50,1,2.260653249681576,3.093067417437,None,298.4649466999999,None,301.53192141999915,301.53192141999915,None,[],,,['b'],303.53487829999904,None,b,2.6673726000008173,0,0,0.5652173913043478,305.8100223000001,None,None,305.8100223000001,None,[0.6673726000008173],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
23,0,23,0,,,,,,,,,,0,1,1,50,1,3.9110799880328697,2.32696722275902,None,307.61523750000015,None,309.9153846200008,309.9153846200008,None,[],,,"['z', 'z']",311.91887230000066,None,z,3.8705241000006936,1,1,0.5833333333333334,315.8423622999999,None,None,315.8423622999999,None,"[1.8705241000006936, 3.012255699999514]",,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
24,0,24,0,,,,,,,,,,2,2,0,14,1,4.638307379983409,1.23760834810881,None,317.6485025999991,None,318.8653155199992,318.8653155199992,b,['b'],1.9400269000016124,[1.9400269000016124],['b'],320.8718090000002,None,b,1.9400269000016124,1,1,0.6,325.52683479999905,None,None,325.52683479999905,None,[1.2758430000012595],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
25,0,25,0,,,,,,,,,,1,0,0,36,1,2.664345149861413,2.24098228083631,None,327.3319883999993,None,329.5486562200005,329.5486562200005,b,['b'],1.6799965999998676,[1.6799965999998676],None,331.5525108999991,None,b,1.6799965999998676,1,1,0.6153846153846154,334.2437714000007,None,None,334.2437714000007,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
26,0,26,0,,,,,,,,,,2,1,0,36,1,2.269747919971076,2.93253104700369,None,336.04853379999986,None,338.965436319999,338.965436319999,z,['z'],1.9326240999998845,[1.9326240999998845],None,340.9708577000001,None,z,1.9326240999998845,0,0,0.5925925925925926,343.25877220000075,None,None,343.25877220000075,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
27,0,27,0,,,,,,,,,,0,2,0,36,1,4.18755802100366,2.71666458349534,None,345.065329699999,None,347.7653204199998,347.7653204199998,None,[],,,"['b', 'b']",349.76872320000075,None,b,3.191617700000279,1,1,0.6071428571428571,353.9775704999993,None,None,353.9775704999993,None,"[1.191617700000279, 3.507683100000577]",,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
28,0,28,0,,,,,,,,,,2,1,0,36,1,2.096051788593735,2.13476920223271,None,355.7819801000005,None,357.89867941999927,357.89867941999927,None,[],,,['z'],359.9021871999994,None,z,2.590815900000962,0,0,0.5862068965517241,362.0088152999997,None,None,362.0088152999997,None,[0.5908159000009618],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
29,0,29,0,,,,,,,,,,0,0,0,14,1,4.057112590273469,0.859460502749755,None,363.8155999999999,None,364.6492910199997,364.6492910199997,None,[],,,['b'],366.65250620000006,None,b,2.3074374999996508,1,1,0.6,370.72740949999934,None,None,370.72740949999934,None,[0.30743749999965075],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
30,0,30,0,,,,,,,,,,1,2,1,50,1,3.19303509672656,1.85507739556255,None,372.5321031000003,None,374.3654382200004,374.3654382200004,z,['z'],1.8704244000000472,[1.8704244000000472],None,376.3691419000006,None,z,1.8704244000000472,1,1,0.6129032258064516,379.5772830999995,None,None,379.5772830999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
31,0,31,0,,,,,,,,,,1,2,1,50,1,2.8965037234387068,2.18142366553255,None,381.3822421999994,None,383.54891162000075,383.54891162000075,None,[],,,['z'],385.5570176000001,None,z,2.286736000000019,1,1,0.625,388.4782919999998,None,None,388.4782919999998,None,[0.286736000000019],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
32,0,32,0,,,,,,,,,,2,0,1,50,0,3.3535975560099702,2.46643561303325,None,390.28230470000017,None,392.7322925200007,392.7322925200007,z,['z'],1.5049017000001186,[1.5049017000001186],None,394.7369015999993,None,z,1.5049017000001186,1,0,0.6363636363636364,398.1083923999995,None,None,398.1083923999995,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
33,0,33,0,,,,,,,,,,1,1,0,14,1,2.070770331037005,1.14006717102905,None,399.9154858999991,None,401.03229861999915,401.03229861999915,b,['b'],1.3386853000010888,[1.3386853000010888],None,403.03767379999954,None,b,1.3386853000010888,1,1,0.6470588235294118,405.12661990000015,None,None,405.12661990000015,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
34,0,34,0,,,,,,,,,,0,2,0,36,1,3.0795770157756097,2.99272735241982,None,406.9322859999993,None,409.8991611200001,409.8991611200001,None,[],,,['z'],411.90348470000026,None,z,3.2774191000007704,0,0,0.6285714285714286,414.9924398999992,None,None,414.9924398999992,None,[1.2774191000007704],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
35,0,35,0,,,,,,,,,,2,0,1,50,1,2.93061443445534,2.96697800987238,None,416.7988867999993,None,419.74907292000006,419.74907292000006,None,[],,,['b'],421.75293860000056,None,b,2.393962400001328,0,0,0.6111111111111112,424.69302099999913,None,None,424.69302099999913,None,[0.3939624000013282],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
36,0,36,0,,,,,,,,,,0,2,0,36,1,3.00565230777806,2.19546497995913,None,426.49916569999914,None,428.68313271999995,428.68313271999995,None,[],,,['z'],430.68700589999935,None,z,3.3252004999994824,0,0,0.5945945945945946,433.70977069999935,None,None,433.70977069999935,None,[1.3252004999994824],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
37,0,37,0,,,,,,,,,,1,0,0,36,1,2.661399651610695,2.55132244875705,None,435.515815499999,None,438.04915572000044,438.04915572000044,b,['b'],1.2216145000002143,[1.2216145000002143],None,440.0525682999996,None,b,1.2216145000002143,1,1,0.6052631578947368,442.7278664000005,None,None,442.7278664000005,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
38,0,38,0,,,,,,,,,,0,1,1,50,1,3.0109893695593497,2.68012679460483,None,444.53262729999915,None,447.19926612000035,447.19926612000035,None,[],,,['b'],449.20514829999956,None,b,2.2752541999998357,0,0,0.5897435897435898,452.2258863999996,None,None,452.2258863999996,None,[0.2752541999998357],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
39,0,39,0,,,,,,,,,,1,0,0,36,1,3.22645636662535,2.41859016397919,None,454.0323888999992,None,456.43263852000035,456.43263852000035,b,['b'],1.1463562000008096,[1.1463562000008096],None,458.43941169999925,None,b,1.1463562000008096,1,1,0.6,461.6780361000001,None,None,461.6780361000001,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
40,0,40,0,,,,,,,,,,0,1,1,50,1,3.08399219778019,3.19646747994707,None,463.48284500000045,None,466.6659366200003,466.6659366200003,None,[],,,['z'],468.6690828999999,None,z,2.0329164000013407,1,1,0.6097560975609756,471.77801910000017,None,None,471.77801910000017,None,[0.03291640000134066],,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
41,0,41,0,,,,,,,,,,2,0,1,50,1,3.35750049552731,2.2926827756088,None,473.58260039999914,None,475.8492785199998,475.8492785199998,z,['z'],1.6133998000004794,[1.6133998000004794],None,477.8540202000004,None,z,1.6133998000004794,1,1,0.6190476190476191,481.2278411999996,None,None,481.2278411999996,None,,,,,,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,483.03258669999923,None,,,,,,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488.03264209999907,None,None,488.03264209999907,None,,,,,,,,,,,,CBC_1074,2,6,2,5,3,0.95,2024-03-13_16h33.01.840,MSI_TV_v1,2022.1.1,59.797311035032834,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[1, 2, 0]",z,b,0.5714285714285714,0.6428571428571429,0.6428571428571429,24,1,17,,,,,,,,,,,,
