trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
28,0,28,0,,,,,,,,,,2,0,0,36,1,3.00565230777806,1.85507739556255,None,525.605897200001,None,527.5180834000003,None,527.5233082400002,None,None,527.5180834000003,None,None,,529.4553609000013,None,[],[],0,3,0.5517241379310345,532.4785831000008,None,None,532.4785831000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
29,0,29,0,,,,,,,,,,0,2,0,14,1,2.143942873030107,1.49331160364633,['b'],534.2885549000002,None,535.8248932000006,None,535.8229414999996,None,['z'],535.8248932000006,None,None,,537.7728546000017,None,z,0.16594319999785512,1,1,0.5666666666666667,539.9298702000015,None,None,539.9298702000015,None,[0.16594319999785512],,[1.2923055999999633],,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
30,0,30,0,,,,,,,,,,1,1,1,50,1,2.0935163976022517,3.25187717164471,None,541.7394743000004,None,545.0500044,None,545.0564442400002,None,None,545.0500044,None,None,,546.9885750000012,None,[],[],0,3,0.5483870967741935,549.0955335000017,None,['z'],549.0955335000017,None,,[0.0007621999993716599],,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
31,0,31,0,,,,,,,,,,1,1,1,50,1,2.260653249681576,0.886051557539332,None,550.9060022000012,None,551.843155300001,None,551.8398146999998,None,None,551.843155300001,None,['b'],[0.6352303999992728],553.7900636000013,None,b,2.6352303999992728,1,1,0.5625,556.0609691000009,None,None,556.0609691000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
32,0,32,0,,,,,,,,,,2,2,1,50,0,4.08205346963855,1.23760834810881,None,557.8728123000001,None,559.1601790000004,None,559.156483400001,None,None,559.1601790000004,None,"['b', 'z', 'z', 'z', 'z', 'z']","[0.5064493999998376, 1.4364574999999604, 1.9882218000002467, 2.4740050000000338, 3.0165538000001106, 3.6000100999990536]",561.1065013000007,None,b,2.5064493999998376,1,0,0.5757575757575758,565.1887833000001,None,"['z', 'z', 'z']",565.1887833000001,None,,"[0.19278039999881003, 0.8867552999981854, 1.5957404999990104]",,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
33,0,33,0,,,,,,,,,,1,0,0,14,1,3.75606544973216,0.859460502749755,['z'],566.990025000001,None,567.8727850000014,None,567.87256126,None,None,567.8727850000014,None,['z'],[0.6566033999988576],569.8396683999999,None,z,2.6566033999988576,1,1,0.5882352941176471,573.6113706000015,None,None,573.6113706000015,None,,,[0.48168279999845254],,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
34,0,34,0,,,,,,,,,,0,1,0,36,1,2.269747919971076,2.9722947448457,None,575.4224031000012,None,578.4445456000012,None,578.4569397400003,None,None,578.4445456000012,None,['b'],[0.23467409999830124],580.3890525000006,None,b,2.2346740999983012,0,0,0.5714285714285714,582.6789402000013,None,None,582.6789402000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
35,0,35,0,,,,,,,,,,2,2,1,50,1,3.0795770157756097,1.09364692357212,None,584.4899841000006,None,585.6081600000016,None,585.6055454599999,None,None,585.6081600000016,None,['b'],[0.5361460999993142],587.5567598000016,None,b,2.536146099999314,1,1,0.5833333333333334,590.6385204000017,None,None,590.6385204000017,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
36,0,36,0,,,,,,,,,,0,1,0,36,1,2.533372966674614,1.14006717102905,None,592.4400752000001,None,593.6125133000005,None,593.6226307999996,None,None,593.6125133000005,None,['b'],[0.6923414999982924],595.5569415000009,None,b,2.6923414999982924,0,0,0.5675675675675675,598.093539200001,None,None,598.093539200001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
37,0,37,0,,,,,,,,,,1,2,0,36,1,2.096051788593735,2.93253104700369,None,599.9063364000012,None,602.8907492000017,None,602.8897970000007,None,None,602.8907492000017,None,['b'],[0.20278549999784445],604.8395024000001,None,b,2.2027854999978445,0,0,0.5526315789473685,606.9436634000012,None,None,606.9436634000012,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
38,0,38,0,,,,,,,,,,0,0,1,50,1,3.3535975560099702,1.931001549337,None,608.7557009000011,None,610.733058400001,None,610.7399946399994,None,None,610.733058400001,None,['b'],[0.47902139999678184],612.6730302000014,None,b,2.479021399996782,1,1,0.5641025641025641,616.0449987000011,None,None,616.0449987000011,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
39,0,39,0,,,,,,,,,,1,2,0,36,1,2.93061443445534,1.92795341140246,None,617.8568224999999,None,619.8261538000006,None,619.8232742000009,None,None,619.8261538000006,None,['b'],[0.2721829999991314],621.7731031000003,None,b,2.2721829999991314,0,0,0.55,624.7135546000009,None,None,624.7135546000009,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
40,0,40,0,,,,,,,,,,0,0,1,50,1,4.79595120749692,2.19546497995913,None,626.5222021000009,None,628.7606312000007,None,628.7568481999997,None,None,628.7606312000007,None,['b'],[0.9185892999976204],630.706600200001,None,b,2.9185892999976204,1,1,0.5609756097560976,635.515163,None,None,635.515163,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
41,0,41,0,,,,,,,,,,2,2,1,50,1,2.070770331037005,1.90695111352951,None,637.3234693000013,None,639.2639932000002,None,639.2729578999997,None,None,639.2639932000002,None,['b'],[0.3927825999980996],641.2069475000008,None,b,2.3927825999980996,1,1,0.5714285714285714,643.2973514000005,None,None,643.2973514000005,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,645.1067813000009,None,,,,,,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.1070864000012,None,None,650.1070864000012,None,,,,,,,,,,,,CBC_1089,3,2,1,1,18,0.95,2024-10-02_15h20.49.443,MSI_AV_v1,2022.1.1,59.758325380553124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[0, 1, 2]",b,z,0.5,0.6428571428571429,0.5714285714285714,22,2,18,,,,,,,,,,,,
