trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.rt,response_4.started,response_4.stopped,response_5.keys,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_5.rt,keys_6.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
8,0,8,0,,,,,,,,,,2,2,0,36,1,3.0109893695593497,3.19646747994707,None,518.4337304000001,None,521.694017400001,None,521.7006332800007,None,None,,521.694017400001,None,['b'],523.6338520000008,None,b,2.228879500000403,1,1,0.6666666666666666,526.6583178000001,None,None,526.6583178000001,None,[0.2288795000004029],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
9,0,9,0,,,,,,,,,,0,0,0,36,1,3.00616914487701,1.1680331695907,None,528.4675801000012,None,529.6901883999999,None,529.7006341800003,None,None,,529.6901883999999,None,['b'],531.6337909000013,None,b,4.6432641000010335,1,1,0.7,534.6602715000008,None,None,534.6602715000008,None,[2.6432641000010335],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
10,0,10,0,,,,,,,,,,2,2,0,36,1,2.9608932424063896,0.886051557539332,None,536.4680023000001,None,537.4055340000014,None,537.41719548,None,"['b', 'b']","[1.3023083999996743, 1.8360126000006858]",537.4055340000014,None,None,539.3506734000002,None,b,1.3023083999996743,1,1,0.7272727272727273,542.3251515000011,None,None,542.3251515000011,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
11,0,11,0,,,,,,,,,,1,0,1,50,1,4.89745263827305,1.931001549337,None,544.1341416000014,None,546.1013143,None,546.0994687200003,None,None,,546.1013143,None,['r'],548.0506046999999,None,r,3.4935627000013483,1,1,0.75,552.9576981999999,None,None,552.9576981999999,None,[1.4935627000013483],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
12,0,12,0,,,,,,,,,,0,2,1,50,1,2.8965037234387068,3.25187717164471,None,554.7673520999997,None,558.074119500001,None,558.0838408800006,None,['r'],[1.7816813999997976],558.074119500001,None,None,560.0173107999999,None,r,1.7816813999997976,1,1,0.7692307692307693,562.9258867000008,None,None,562.9258867000008,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
13,0,13,0,,,,,,,,,,2,1,1,50,1,4.79595120749692,0.760509851028298,None,564.7339214000003,None,565.5411161000011,None,565.5506216800001,None,None,,565.5411161000011,None,['b'],567.4844078000006,None,b,2.7873393000008946,0,0,0.7142857142857143,572.2919166000011,None,None,572.2919166000011,None,[0.7873393000008946],,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
14,0,14,0,,,,,,,,,,0,0,0,36,1,2.93061443445534,2.93253104700369,None,574.1001558000007,None,577.0790316000002,None,577.0839343800013,None,['r'],[1.3620762999998988],577.0790316000002,None,None,579.0161668000001,None,r,1.3620762999998988,0,0,0.6666666666666666,581.961078100001,None,None,581.961078100001,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
15,0,15,0,,,,,,,,,,2,1,1,50,1,2.661399651610695,2.71666458349534,None,583.7672609000001,None,586.5350963000001,None,586.5339544500002,None,"['r', 'r']","[1.3650278999994043, 1.9064380999989226]",586.5350963000001,None,None,588.4844251000013,None,r,1.3650278999994043,1,1,0.6875,591.1568653000013,None,None,591.1568653000013,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
16,0,16,0,,,,,,,,,,0,2,1,50,1,2.096051788593735,3.44771472893932,None,592.9673412000011,None,596.4715979000011,None,596.4838545800009,None,['r'],[1.3094644000011613],596.4715979000011,None,None,598.4172806000006,None,r,1.3094644000011613,1,1,0.7058823529411765,600.522712,None,None,600.522712,None,,,,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
17,0,17,0,,,,,,,,,,1,1,0,36,1,2.260653249681576,1.90695111352951,None,602.3329116000004,None,604.2912757000013,None,604.3007205800001,None,"['r', 'b']","[0.9983656000003975, 1.4122676000006322]",604.2912757000013,None,"['b', 'b', 'b', 'b', 'b', 'b']",606.2340240000012,None,r,0.9983656000003975,0,0,0.6666666666666666,608.5053779999998,None,"['b', 'b', 'b']",608.5053779999998,None,"[0.11472700000012992, 0.8496227999985422, 1.1385542999996687, 1.3747131000000081, 1.5713587999998708, 2.0358768999994936]","[0.021839099999851896, 0.2682438000010734, 0.5276444999999512]",,,,,,,,,,,,,,,,,,,,,CBC_1101,004,3,3,6,4,0.95,2024-05-26_12h37.06.924,MSI_AV_v1,2022.1.1,59.9623196784719,
