trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.auditory_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,image_4.stopped,sound_4.started,sound_4.stopped,response_4.keys,response_4.started,response_4.stopped,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,response_4.rt,keys_6.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,audioPair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],audio set [1-3 / 4-6],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
31,0,31,0,,,,,,,,,,1,0,0,14,1,3.78496720151373,2.96697800987238,None,605.2073499999997,None,608.2250069000011,None,608.2244739500002,None,['z'],608.2250069000011,None,None,,610.1737483000006,None,z,1.0723884999979418,1,1,0.78125,613.9641478000003,None,None,613.9641478000003,None,[1.0723884999979418],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
32,0,32,0,,,,,,,,,,2,2,1,50,1,4.638307379983409,1.93473628110684,None,615.7741274000009,None,617.7602233000007,None,617.75739995,None,['b'],617.7602233000007,None,None,,619.7074382000001,None,b,1.6003980999985288,1,1,0.7878787878787878,624.3644066999996,None,None,624.3644066999996,None,[1.6003980999985288],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
33,0,33,0,,,,,,,,,,0,0,1,50,0,2.93061443445534,1.52074017648695,None,626.1737992999997,None,627.7485270000006,None,627.7575166,None,None,627.7485270000006,None,['z'],[0.40597129999969184],629.6907171000012,None,z,2.405971299999692,0,1,0.7647058823529411,632.6305565000011,None,None,632.6305565000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
34,0,34,0,,,,,,,,,,1,2,0,36,1,4.85706913915242,3.19646747994707,None,634.4406690999995,None,637.6941228999995,None,637.6906068500011,None,['z'],637.6941228999995,None,None,,639.6407337999999,None,z,1.4746983999984877,1,1,0.7714285714285715,644.5130378000003,None,None,644.5130378000003,None,[1.4746983999984877],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
35,0,35,0,,,,,,,,,,2,0,0,36,1,2.038421555814887,2.9722947448457,None,646.3241963999999,None,649.3461135999996,None,649.3575562,None,['z'],649.3461135999996,None,None,,651.2906379000005,None,z,1.6570166999999856,1,1,0.7777777777777778,653.3462466999999,None,None,653.3462466999999,None,[1.6570166999999856],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
36,0,36,0,,,,,,,,,,1,1,1,50,1,3.9110799880328697,2.2926827756088,None,655.1572232000008,None,657.4973834000002,None,657.5075559999999,None,['b'],657.4973834000002,None,None,,659.4407696999997,None,b,0.9718128999984401,1,1,0.7837837837837838,663.3662339000011,None,None,663.3662339000011,None,[0.9718128999984401],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
37,0,37,0,,,,,,,,,,2,0,0,36,1,2.0691390047117237,2.13476920223271,None,665.1736608000001,None,667.3614652000006,None,667.3575524500011,None,['z'],667.3614652000006,None,None,,669.3074968999999,None,z,1.2899975999998787,1,1,0.7894736842105263,671.3989967999996,None,None,671.3989967999996,None,[1.2899975999998787],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
38,0,38,0,,,,,,,,,,0,1,0,36,1,3.22645636662535,1.1680331695907,None,673.2075460999995,None,674.4310030000006,None,674.4410068999999,None,['b'],674.4310030000006,None,"['z', 'z']","[0.2441728999992847, 0.8068522000003213]",676.3741539000011,None,b,0.9032434999980978,0,0,0.7692307692307693,679.6148531999997,None,None,679.6148531999997,None,[0.9032434999980978],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
39,0,39,0,,,,,,,,,,2,2,1,50,1,4.3560033776911595,0.872854310065634,None,681.4242093000003,None,682.345179500001,None,682.3576005000008,None,None,682.345179500001,None,['z'],[1.4696850999980597],684.2907559000005,None,z,3.4696850999980597,0,0,0.75,688.6646435000011,None,None,688.6646435000011,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
40,0,40,0,,,,,,,,,,1,1,1,50,1,3.8873543302872697,2.79689535976632,None,690.4741820000008,None,693.3303373000008,None,693.3409605999999,None,['b'],693.3303373000008,None,None,,695.2740693999995,None,b,1.2057168999990608,1,1,0.7560975609756098,699.1789326000007,None,None,699.1789326000007,None,[1.2057168999990608],,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
41,0,41,0,,,,,,,,,,0,0,1,50,1,2.533372966674614,0.859460502749755,None,700.9909111999996,None,701.8943195000002,None,701.89077645,None,None,701.8943195000002,None,['b'],[1.4854740000000675],703.840726200001,None,b,3.4854740000000675,1,1,0.7619047619047619,706.3805444,None,None,706.3805444,None,,,,,,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,708.1905293999998,None,,,,,,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.1908719000012,None,None,713.1908719000012,None,,,,,,,,,,,,CBC_1065,003,3,1,2,18,0.95,2024-05-10_15h29.15.145,MSI_AV_v1,2022.1.1,60.175169919720815,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[0, 1, 2]",b,z,0.6428571428571429,0.8571428571428571,0.7857142857142857,32,0,10,,,,,,,,,,,,
