trials_runs.thisRepN,trials_runs.thisTrialN,trials_runs.thisN,trials_runs.thisIndex,standbild_start.started,standbild_start.stopped,trigger.keys,trigger.rt,trigger.started,trigger.stopped,keys_2.keys,keys_2.started,keys_2.stopped,trials_runs.visual_stim,trials_runs.tactile_stim,trials_runs.correctPair,trials_runs.presentationFrequncy,trials_runs.FBaccuracy,trials_runs.ISI_s,trials_runs.ITI_s,keys_3.keys,keys_3.started,keys_3.stopped,image_4.started,tactile_4.started,response_4.keys,allKeys.keys,response_5.keys,response_5.rt,response_5.started,response_5.stopped,response_runs.keys,response_runs.rt,trials_runs.correct_answer,trials_runs.feedback_given,trials_runs.running_mean,feedback_6.started,feedback_6.stopped,keys_6.keys,keys_6.started,keys_6.stopped,keys_6.rt,response_4.rt,allKeys.rt,keys_3.rt,keys_7.keys,keys_7.started,keys_7.stopped,standbild_end.started,standbild_end.stopped,Stop_exp.keys,Stop_exp.started,Stop_exp.stopped,ts_difficulty,visualPair,tactilePair,yesKey,noKey,trials_runs.mean_acc_1stThird,trials_runs.mean_acc_2ndThird,trials_runs.mean_acc_3rdThird,nbCorrect,nbOmissions,nbIncorrect,participant,session,visual set [1-6],tactile set [1-3],trial structure [0-3 / 4-7],pairing [0-23],prob Feedback,date,expName,psychopyVersion,frameRate,
26,0,26,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,2.260653249681576,2.24098228083631,None,337.84813550000035,None,340.0655395400002,340.0655395400002,None,[],['z'],[0.5389650999995865],342.0700618999999,None,z,2.5389650999995865,0,0,0.5555555555555556,344.34237740000026,None,None,344.34237740000026,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
27,0,27,0,,,,,,,,,,1.0,2,0.0,14.0,1.0,2.93061443445534,1.93473628110684,None,346.14881700000024,None,348.0655563399999,348.0655563399999,b,['b'],None,,350.06971479999993,None,b,1.5399365000002945,1,1,0.5714285714285714,353.02762190000067,None,None,353.02762190000067,None,,1.5399365000002945,[1.5399365000002945],,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
28,0,28,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,2.038421555814887,1.23760834810881,None,354.8318427000004,None,356.04775034000005,356.04775034000005,None,[],['z'],[0.5186979999998584],358.0435526000001,None,z,2.5186979999998584,0,0,0.5517241379310345,360.0927552000003,None,None,360.0927552000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
29,0,29,0,,,,,,,,,,2.0,0,1.0,50.0,1.0,4.79595120749692,1.09364692357212,None,361.89882450000005,None,362.9655501400005,362.9655501400005,None,[],['b'],[0.35768709999956627],364.96996560000025,None,b,2.3576870999995663,0,0,0.5333333333333333,369.77645660000053,None,None,369.77645660000053,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
30,0,30,0,,,,,,,,,,2.0,0,1.0,50.0,1.0,3.22645636662535,2.9722947448457,None,371.5810044,None,374.5319873400006,374.5319873400006,z,['z'],None,,376.5315034000005,None,z,1.0036251000001357,1,1,0.5483870967741935,379.7770220000002,None,None,379.7770220000002,None,,1.0036251000001357,[1.0036251000001357],,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
31,0,31,0,,,,,,,,,,1.0,1,1.0,50.0,0.0,3.00565230777806,2.31238477131615,None,381.5816783,None,383.86547163999995,383.86547163999995,z,['z'],None,,385.8708148000005,None,z,1.6925408999995852,1,0,0.5625,388.8926526000005,None,None,388.8926526000005,None,,1.6925408999995852,[1.6925408999995852],,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
32,0,32,0,,,,,,,,,,2.0,0,1.0,50.0,1.0,2.269747919971076,2.46471651569721,['b'],390.6987089000004,None,393.14919184,393.14919184,None,[],['b'],[0.2848923999999897],395.15281719999984,None,b,2.2848923999999897,0,0,0.5454545454545454,397.44259779999993,None,None,397.44259779999993,None,,,,[2.1187731999998505],,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
33,0,33,0,,,,,,,,,,0.0,1,0.0,36.0,1.0,3.0795770157756097,2.711340609857,None,399.2490211000004,None,401.9477854400005,401.9477854400005,None,[],['b'],[0.26656569999977364],403.94314810000014,None,b,2.2665656999997736,1,1,0.5588235294117647,407.03110150000066,None,None,407.03110150000066,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
34,0,34,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,2.661399651610695,0.886051557539332,None,408.83227630000056,None,409.6981583400005,409.6981583400005,None,[],['z'],[0.4366679999993721],411.69370849999996,None,z,2.436667999999372,0,0,0.5428571428571428,414.3773996,None,None,414.3773996,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
35,0,35,0,,,,,,,,,,1.0,0,0.0,36.0,1.0,3.75606544973216,2.55132244875705,None,416.1824058000002,None,418.7154682399999,418.7154682399999,b,['b'],None,,420.72053740000047,None,b,1.5539443999996365,1,1,0.5555555555555556,424.49369209999986,None,None,424.49369209999986,None,,1.5539443999996365,[1.5539443999996365],,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
36,0,36,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.8965037234387068,2.96697800987238,None,426.2992896000005,None,429.2492174400007,429.2492174400007,None,[],['b'],[0.5446619999993345],431.2533647999999,None,b,2.5446619999993345,0,0,0.5405405405405406,434.15986690000045,None,None,434.15986690000045,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
37,0,37,0,,,,,,,,,,1.0,1,1.0,50.0,1.0,3.9110799880328697,0.864984636888209,None,435.9657530000004,None,436.81559664000025,436.81559664000025,None,[],['z'],[0.9442326999997022],438.82053859999996,None,z,2.944232699999702,1,1,0.5526315789473685,442.7448400000003,None,None,442.7448400000003,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
38,0,38,0,,,,,,,,,,2.0,2,0.0,36.0,1.0,3.0109893695593497,2.19546497995913,None,444.5491058000007,None,446.7156215400003,446.7156215400003,z,['z'],None,,448.72137310000016,None,z,1.7809873999995034,0,0,0.5384615384615384,451.7426525000001,None,None,451.7426525000001,None,,1.7809873999995034,[1.7809873999995034],,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
39,0,39,0,,,,,,,,,,0.0,0,0.0,14.0,1.0,4.3560033776911595,2.13476920223271,None,453.5490107000005,None,455.66470323999994,455.66470323999994,None,[],['b'],[0.0010060999993584119],457.6613527999998,None,b,2.0010060999993584,1,1,0.55,462.0449533000001,None,None,462.0449533000001,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
40,0,40,0,,,,,,,,,,2.0,1,0.0,14.0,1.0,4.75208449114276,2.18142366553255,None,463.84912780000013,None,466.0154514400004,466.0154514400004,None,[],['z'],[0.31404440000005707],468.01048850000006,None,z,2.314044400000057,0,0,0.5365853658536586,472.77639249999993,None,None,472.77639249999993,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
41,0,41,0,,,,,,,,,,0.0,2,1.0,50.0,1.0,2.9608932424063896,3.19646747994707,None,474.5823725,None,477.76577974,477.76577974,None,[],['b'],[0.27604930000052263],479.76853200000005,None,b,2.2760493000005226,0,0,0.5238095238095238,482.74284500000067,None,None,482.74284500000067,None,,,,,,,,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,484.5492382000002,None,,,,,,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489.5491413999998,None,None,489.5491413999998,None,,,,,,,,,,,,CBC_1046,001,6,3,4,23,0.95,2024-01-27_09h58.22.092,MSI_TV_v1,2022.1.1,60.0154719886983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easy,"[0, 1, 2, 3]","[2, 1, 0]",z,b,0.5714285714285714,0.5714285714285714,0.42857142857142855,20,3,19,,,,,,,,,,,,
